,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,31,Sub,Manchester City,Everton,5,0,2021-05-23,14811,2020,473418,0,0,0,0,0,0,0,Alex Iwobi
1,0,0,0,13,Sub,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470520,0,0,0,0,0,0,0,Alex Iwobi
2,0,2,0.09908490628004074,79,AMR,Everton,Aston Villa,1,2,2021-05-01,14769,2020,467191,0.0269908644258976,0,1,0,0.09908490628004074,0.3282797336578369,0.20220395922660828,Alex Iwobi
3,0,1,0.06248283013701439,64,DMR,Everton,Tottenham,2,2,2021-04-16,14748,2020,462563,0,0,0,0,0.06248283013701439,0.15256769955158234,0.09008486568927765,Alex Iwobi
4,0,1,0.07871675491333008,31,Sub,Brighton,Everton,0,0,2021-04-12,14735,2020,462495,0,0,0,0,0.07871675491333008,0.14771346747875214,0.06899671256542206,Alex Iwobi
5,0,1,0.03036576509475708,90,AMC,Everton,Burnley,1,2,2021-03-13,14707,2020,456551,0.08528462052345276,0,2,0,0.03036576509475708,0.7059667110443115,0.6136218309402466,Alex Iwobi
6,0,0,0,57,MR,Chelsea,Everton,2,0,2021-03-08,14698,2020,455563,0.022960178554058075,0,1,0,0,0.05148919299244881,0.028529014438390732,Alex Iwobi
7,0,0,0,59,MR,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454209,0,0,0,0,0,0.13879570364952087,0.13879570364952087,Alex Iwobi
8,0,0,0,1,Sub,Everton,Southampton,1,0,2021-03-01,14686,2020,453450,0,0,0,0,0,0,0,Alex Iwobi
9,0,0,0,1,Sub,Liverpool,Everton,0,2,2021-02-20,14680,2020,450904,0,0,0,0,0,0.025908932089805603,0.025908932089805603,Alex Iwobi
10,0,0,0,71,MR,Everton,Manchester City,1,3,2021-02-17,14593,2020,450257,0.08548465371131897,0,1,0,0,0.13211026787757874,0.04662560671567917,Alex Iwobi
11,0,0,0,14,Sub,Manchester United,Everton,3,3,2021-02-06,14660,2020,447951,0,0,0,0,0,0,0,Alex Iwobi
12,0,1,0.0121366698294878,89,AMR,Leeds,Everton,1,2,2021-02-03,14648,2020,447025,0.0893138125538826,0,1,0,0.0121366698294878,0.0893138125538826,0,Alex Iwobi
13,0,0,0,66,AMR,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445387,0,0,0,0,0,0,0,Alex Iwobi
14,0,0,0,7,Sub,Everton,Leicester,1,1,2021-01-27,14627,2020,445186,0,0,0,0,0,0,0,Alex Iwobi
15,1,3,0.29151269793510437,90,MR,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441893,0,0,0,1,0.29151269793510437,0.29151269793510437,0.09030364453792572,Alex Iwobi
16,0,1,0.034280505031347275,90,AMR,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438177,0,0,0,0,0.034280505031347275,0.3561076819896698,0.3218271732330322,Alex Iwobi
17,0,2,0.06905817985534668,84,AMR,Everton,Arsenal,2,1,2020-12-19,14569,2020,436187,0.20105665922164917,0,1,0,0.06905817985534668,0.29137954115867615,0.09032288938760757,Alex Iwobi
18,0,1,0.06084515154361725,90,FWR,Leicester,Everton,0,2,2020-12-16,14559,2020,434689,0.2735429108142853,1,3,0,0.06084515154361725,0.2735429108142853,0,Alex Iwobi
19,0,0,0,89,FWR,Everton,Chelsea,1,0,2020-12-12,14546,2020,433295,0,0,0,0,0,0.07002606242895126,0.07002606242895126,Alex Iwobi
20,0,1,0.05170174315571785,90,DMR,Burnley,Everton,1,1,2020-12-05,14537,2020,431060,0.6672682166099548,0,2,0,0.05170174315571785,1.5224813222885132,0.803511381149292,Alex Iwobi
21,0,0,0,69,DML,Everton,Leeds,0,1,2020-11-28,14531,2020,429852,0.043929554522037506,0,1,0,0,0.5746562480926514,0.5307266712188721,Alex Iwobi
22,0,0,0,90,DMR,Fulham,Everton,2,3,2020-11-22,14517,2020,428370,0,0,0,0,0,0.7383538484573364,0.7383538484573364,Alex Iwobi
23,0,0,0,20,Sub,Everton,Manchester United,1,3,2020-11-07,14509,2020,426045,0.08057226985692978,0,1,0,0,0.11713908612728119,0.03656681999564171,Alex Iwobi
24,0,0,0,12,Sub,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425208,0.08795475959777832,0,1,0,0,0.08795475959777832,0,Alex Iwobi
25,0,1,0.05344681441783905,47,FWL,Southampton,Everton,2,0,2020-10-25,14492,2020,423565,0,0,0,0,0.05344681441783905,0.06971462070941925,0.016267800703644753,Alex Iwobi
26,0,0,0,9,Sub,Everton,Liverpool,2,2,2020-10-17,14477,2020,420862,0,0,0,0,0,0,0,Alex Iwobi
27,0,0,0,66,Sub,Everton,Brighton,4,2,2020-10-03,14468,2020,419527,0.49099040031433105,1,1,0,0,1.05390202999115,0.5629116892814636,Alex Iwobi
28,0,0,0,1,Sub,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417396,0,0,0,0,0,0,0,Alex Iwobi
29,0,0,0,16,Sub,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415582,0,0,0,0,0,0,0,Alex Iwobi
