,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,GK,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472305,0,0,0,0,0,0.06317993998527527,0.06317993998527527,Alphonse Areola
1,0,0,0,90,GK,Southampton,Fulham,3,1,2021-05-15,14792,2020,470987,0,0,0,0,0,0.345314621925354,0.345314621925354,Alphonse Areola
2,0,0,0,90,GK,Fulham,Burnley,0,2,2021-05-10,14777,2020,469806,0,0,0,0,0,0,0,Alphonse Areola
3,0,0,0,90,GK,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467108,0,0,0,0,0,0,0,Alphonse Areola
4,0,0,0,90,GK,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463329,0,0,0,0,0,0,0,Alphonse Areola
5,0,0,0,90,GK,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460819,0,0,0,0,0,0.23930081725120544,0.23930081725120544,Alphonse Areola
6,0,0,0,90,GK,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460393,0,0,0,0,0,0,0,Alphonse Areola
7,0,0,0,90,GK,Fulham,Leeds,1,2,2021-03-19,14718,2020,457846,0,0,0,0,0,0.0760059729218483,0.0760059729218483,Alphonse Areola
8,0,0,0,90,GK,Fulham,Manchester City,0,3,2021-03-13,14708,2020,456625,0,0,0,0,0,0,0,Alphonse Areola
9,0,0,0,90,GK,Liverpool,Fulham,0,1,2021-03-07,14699,2020,455146,0,0,0,0,0,0.33188503980636597,0.33188503980636597,Alphonse Areola
10,0,0,0,90,GK,Fulham,Tottenham,0,1,2021-03-04,14757,2020,454164,0,0,0,0,0,0.029899287968873978,0.029899287968873978,Alphonse Areola
11,0,0,0,90,GK,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452681,0,0,0,0,0,0.08169957250356674,0.08169957250356674,Alphonse Areola
12,0,0,0,90,GK,Fulham,Sheffield United,1,0,2021-02-20,14679,2020,450967,0,0,0,0,0,0,0,Alphonse Areola
13,0,0,0,90,GK,Burnley,Fulham,1,1,2021-02-17,14602,2020,450177,0,0,0,0,0,0,0,Alphonse Areola
14,0,0,0,90,GK,Everton,Fulham,0,2,2021-02-14,14669,2020,449915,0,0,0,0,0,0.9945206046104431,0.9945206046104431,Alphonse Areola
15,0,0,0,90,GK,Fulham,West Ham,0,0,2021-02-06,14657,2020,447810,0,0,0,0,0,0.03846623748540878,0.03846623748540878,Alphonse Areola
16,0,0,0,90,GK,Fulham,Leicester,0,2,2021-02-03,14647,2020,446950,0,0,0,0,0,0.061995457857847214,0.061995457857847214,Alphonse Areola
17,0,0,0,90,GK,West Bromwich Albion,Fulham,2,2,2021-01-30,14640,2020,445663,0,0,0,0,0,0,0,Alphonse Areola
18,0,0,0,90,GK,Brighton,Fulham,0,0,2021-01-27,14625,2020,445130,0,0,0,0,0,0,0,Alphonse Areola
19,0,0,0,90,GK,Fulham,Manchester United,1,2,2021-01-20,14607,2020,443627,0,0,0,0,0,0.04873738810420036,0.04873738810420036,Alphonse Areola
20,0,0,0,90,GK,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442417,0,0,0,0,0,0.12655921280384064,0.12655921280384064,Alphonse Areola
21,0,0,0,90,GK,Tottenham,Fulham,1,1,2021-01-13,14589,2020,441942,0,0,0,0,0,0.06495177745819092,0.06495177745819092,Alphonse Areola
22,0,0,0,90,GK,Fulham,Southampton,0,0,2020-12-26,14577,2020,438074,0,0,0,0,0,0.11823603510856628,0.11823603510856628,Alphonse Areola
23,0,0,0,90,GK,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436283,0,0,0,0,0,0,0,Alphonse Areola
24,0,0,0,90,GK,Fulham,Brighton,0,0,2020-12-16,14557,2020,435392,0,0,0,0,0,0,0,Alphonse Areola
25,0,0,0,90,GK,Fulham,Liverpool,1,1,2020-12-13,14547,2020,433934,0,0,0,0,0,0,0,Alphonse Areola
26,0,0,0,90,GK,Manchester City,Fulham,2,0,2020-12-05,14540,2020,431285,0,0,0,0,0,0,0,Alphonse Areola
27,0,0,0,90,GK,Leicester,Fulham,1,2,2020-11-30,14532,2020,430820,0,0,0,0,0,0,0,Alphonse Areola
28,0,0,0,90,GK,Fulham,Everton,2,3,2020-11-22,14517,2020,428352,0,0,0,0,0,0,0,Alphonse Areola
29,0,0,0,90,GK,West Ham,Fulham,1,0,2020-11-07,14514,2020,426586,0,0,0,0,0,0.14336822926998138,0.14336822926998138,Alphonse Areola
30,0,0,0,90,GK,Fulham,West Bromwich Albion,2,0,2020-11-02,14497,2020,425628,0,0,0,0,0,0,0,Alphonse Areola
31,0,0,0,90,GK,Fulham,Crystal Palace,1,2,2020-10-24,14489,2020,422849,0,0,0,0,0,0.0797777846455574,0.0797777846455574,Alphonse Areola
32,0,0,0,90,GK,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421675,0,0,0,0,0,0,0,Alphonse Areola
33,0,0,0,90,GK,Wolverhampton Wanderers,Fulham,1,0,2020-10-04,14474,2020,420326,0,0,0,0,0,0.6164644956588745,0.6164644956588745,Alphonse Areola
34,0,0,0,90,GK,Fulham,Aston Villa,0,3,2020-09-28,14114,2020,418632,0,0,0,0,0,0.09496793895959854,0.09496793895959854,Alphonse Areola
35,0,0,0,90,GK,Leeds,Fulham,4,3,2020-09-19,14097,2020,415792,0,0,0,0,0,0,0,Alphonse Areola
