goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,15,Sub,West Ham,Everton,0,1,2021-05-09,14783,2020,469520,0,0,0,0,0,0.03130069375038147,0.03130069375038147,Andriy Yarmolenko
0,0,0,34,Sub,Fulham,West Ham,0,0,2021-02-06,14657,2020,447835,0,0,0,0,0,0,0,Andriy Yarmolenko
0,0,0,27,Sub,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446424,0,0,0,0,0,0,0,Andriy Yarmolenko
0,0,0,5,Sub,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,445003,0,0,0,0,0,0,0,Andriy Yarmolenko
0,1,0.06199917197227478,26,Sub,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443167,0.5281550884246826,1,1,0,0.06199917197227478,0.6432870030403137,0.5812878012657166,Andriy Yarmolenko
0,2,0.14171846210956573,7,Sub,West Ham,Burnley,1,0,2021-01-16,14623,2020,442284,0.08904127031564713,0,1,0,0.14171846210956573,0.20377132296562195,0,Andriy Yarmolenko
0,0,0,15,Sub,Everton,West Ham,0,1,2021-01-01,14595,2020,438867,0.08394699543714523,0,1,0,0,0.08394699543714523,0,Andriy Yarmolenko
0,0,0,73,MR,Southampton,West Ham,0,0,2020-12-29,14588,2020,438449,0,0,0,0,0,0.0882628858089447,0.0882628858089447,Andriy Yarmolenko
0,0,0,43,Sub,West Ham,Brighton,2,2,2020-12-27,14583,2020,438251,0.04911964014172554,0,1,0,0,0.1568528264760971,0.10773319005966187,Andriy Yarmolenko
0,0,0,8,Sub,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435377,0,0,0,0,0,0.07450447231531143,0.07450447231531143,Andriy Yarmolenko
0,0,0,14,Sub,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424668,0,0,0,0,0,0,0,Andriy Yarmolenko
0,1,0.02416982874274254,37,Sub,West Ham,Manchester City,1,1,2020-10-24,14493,2020,422621,0.031181126832962036,0,1,0,0.02416982874274254,0.055350955575704575,0,Andriy Yarmolenko
0,0,0,11,Sub,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422071,0,0,0,0,0,0,0,Andriy Yarmolenko
0,0,0,6,Sub,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416077,0,0,0,0,0,0.048303283751010895,0.048303283751010895,Andriy Yarmolenko
0,3,0.08212030678987503,22,Sub,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414746,0,0,0,0,0.08212030678987503,0.06815025210380554,0,Andriy Yarmolenko
