,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,3,0.35664477944374084,90,FWR,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473386,0.3470202088356018,0,1,0,0.35664477944374084,0.3099586069583893,0,Andros Townsend
1,0,2,0.04057935252785683,90,FWR,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472523,0.5105462670326233,1,4,0,0.04057935252785683,0.08240469545125961,0.041825346648693085,Andros Townsend
2,0,4,0.17264051735401154,90,FWR,Crystal Palace,Aston Villa,3,2,2021-05-16,14794,2020,471333,0.15593580901622772,0,3,0,0.17264051735401154,0.24050545692443848,0,Andros Townsend
3,0,3,0.09319012612104416,76,FWR,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468710,0.11732614785432816,0,2,0,0.09319012612104416,0.21617825329303741,0.07955702394247055,Andros Townsend
4,0,0,0,82,FWR,Crystal Palace,Manchester City,0,2,2021-05-01,14768,2020,466833,0.059506237506866455,0,1,0,0,0.059506237506866455,0,Andros Townsend
5,0,0,0,10,Sub,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466553,0,0,0,0,0,0,0,Andros Townsend
6,0,0,0,13,Sub,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461405,0,0,0,0,0,0,0,Andros Townsend
7,0,0,0,4,Sub,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456346,0,0,0,0,0,0,0,Andros Townsend
8,0,0,0,67,MR,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455414,0.040048468858003616,0,1,0,0,0.3501359522342682,0.3501359522342682,Andros Townsend
9,0,3,0.13479886949062347,90,MR,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454143,0.08583834767341614,0,1,0,0.13479886949062347,0.5004618167877197,0.42186686396598816,Andros Townsend
10,0,0,0,90,FWL,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452679,0.01760062389075756,0,1,0,0,0,0,Andros Townsend
11,0,0,0,90,FWL,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451711,0.030776169151067734,1,1,0,0,0.030776169151067734,0,Andros Townsend
12,0,2,0.07890403270721436,27,Sub,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449038,0.03546304255723953,0,1,0,0.07890403270721436,0.05876154825091362,0.015894193202257156,Andros Townsend
13,0,1,0.036628976464271545,43,Sub,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448698,0.045657701790332794,0,1,0,0.036628976464271545,0.2690851092338562,0.2234273999929428,Andros Townsend
14,0,1,0.49263864755630493,30,Sub,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446793,0,0,0,0,0.49263864755630493,0.49263864755630493,0,Andros Townsend
15,0,1,0.040125906467437744,8,Sub,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445690,0,0,0,0,0.040125906467437744,0,0,Andros Townsend
16,0,0,0,68,MR,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,444983,0,0,0,0,0,0.053006164729595184,0.053006164729595184,Andros Townsend
17,0,0,0,80,MR,Manchester City,Crystal Palace,4,0,2021-01-17,14621,2020,442937,0,0,0,0,0,0,0,Andros Townsend
18,0,1,0.01755128987133503,90,MR,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441975,0.10210494697093964,0,2,0,0.01755128987133503,0.06531243771314621,0.03498378023505211,Andros Townsend
19,0,3,0.2391034960746765,90,MR,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439110,0.022273041307926178,0,1,0,0.2391034960746765,0.32545408606529236,0.08635058999061584,Andros Townsend
20,0,1,0.11469162255525589,90,MR,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438327,0.11732184141874313,1,2,0,0.11469162255525589,0.24426382780075073,0.08933418244123459,Andros Townsend
21,0,0,0,4,Sub,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438127,0.02406187541782856,0,1,0,0,0.07837555557489395,0.05431367829442024,Andros Townsend
22,0,0,0,87,MR,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435384,0.5608356595039368,0,2,0,0,0.8087962865829468,0.7600734233856201,Andros Townsend
23,0,0,0,1,Sub,Crystal Palace,Tottenham,1,1,2020-12-13,14545,2020,433770,0,0,0,0,0,0,0,Andros Townsend
24,0,0,0,68,AMR,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429235,0.030831657350063324,0,1,0,0,0.049763672053813934,0.049763672053813934,Andros Townsend
25,0,3,0.06729084253311157,90,MR,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429099,0.18784363567829132,0,3,0,0.06729084253311157,0.16347430646419525,0.03150608018040657,Andros Townsend
26,0,1,0.019906850531697273,73,MR,Crystal Palace,Leeds,4,1,2020-11-07,14508,2020,426315,0,0,0,0,0.019906850531697273,0.08611173927783966,0.06620489060878754,Andros Townsend
27,0,3,0.0610530860722065,74,MR,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424181,0.0888315886259079,0,2,0,0.0610530860722065,0.17542022466659546,0.09251990169286728,Andros Townsend
28,0,0,0,90,MR,Fulham,Crystal Palace,1,2,2020-10-24,14489,2020,422868,0.3333098888397217,0,2,0,0,1.2041364908218384,0.8708266019821167,Andros Townsend
29,0,0,0,90,MR,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421906,0,0,0,0,0,0,0,Andros Townsend
30,0,0,0,90,MR,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419265,0.0188349187374115,0,1,0,0,0.020112819969654083,0.020112819969654083,Andros Townsend
31,0,0,0,90,MR,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417375,0.2247118055820465,1,2,0,0,0.1252613514661789,0.1252613514661789,Andros Townsend
32,1,4,0.506249725818634,90,MR,Manchester United,Crystal Palace,1,3,2020-09-19,14098,2020,415920,0.12234576791524887,0,2,1,0.506249725818634,0.7501071691513062,0.163277730345726,Andros Townsend
33,0,0,0,90,MR,Crystal Palace,Southampton,1,0,2020-09-12,14087,2020,414564,0.8674679398536682,1,2,0,0,0.5024706125259399,0,Andros Townsend
