goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,4,Sub,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472498,0,0,0,0,0,0,0,André Gomes
0,0,0,10,Sub,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471886,0,0,0,0,0,0.05473913997411728,0.05473913997411728,André Gomes
0,2,0.13782937824726105,21,Sub,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470521,0.04488024115562439,0,1,0,0.13782937824726105,0.31575506925582886,0.13304544985294342,André Gomes
0,0,0,73,DMC,Everton,Aston Villa,1,2,2021-05-01,14769,2020,467190,0.014734301716089249,0,1,0,0,0.5795667767524719,0.5648324489593506,André Gomes
0,1,0.018605651333928108,67,MC,Arsenal,Everton,0,1,2021-04-23,14755,2020,465054,0,0,0,0,0.018605651333928108,0.22389541566371918,0.22389541566371918,André Gomes
0,0,0,30,MC,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460616,0.3562034070491791,0,1,0,0,0.4218346178531647,0.065631203353405,André Gomes
0,2,0.0473313182592392,90,MC,Everton,Burnley,1,2,2021-03-13,14707,2020,456549,0.31249845027923584,0,3,0,0.0473313182592392,0.666391909122467,0.5858457684516907,André Gomes
0,1,0.022960178554058075,77,MC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455565,0,0,0,0,0.022960178554058075,0.05148919299244881,0.028529014438390732,André Gomes
0,2,0.03321973234415054,90,MC,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454211,0.029597140848636627,0,1,0,0.03321973234415054,0.3334559500217438,0.2706390619277954,André Gomes
0,0,0,89,MC,Everton,Southampton,1,0,2021-03-01,14686,2020,453446,0,0,0,0,0,0,0,André Gomes
0,0,0,63,MC,Liverpool,Everton,0,2,2021-02-20,14680,2020,450899,0,0,0,0,0,0.28487923741340637,0.28487923741340637,André Gomes
0,1,0.02283191867172718,90,MC,Everton,Fulham,0,2,2021-02-14,14669,2020,449907,0,0,0,0,0.02283191867172718,0.17599260807037354,0.1531606912612915,André Gomes
0,0,0,90,MC,Manchester United,Everton,3,3,2021-02-06,14660,2020,447945,0.03686433658003807,0,1,0,0,0.03686433658003807,0,André Gomes
0,0,0,90,DMC,Leeds,Everton,1,2,2021-02-03,14648,2020,447024,0.03232857584953308,0,1,0,0,0.4646942615509033,0.43236568570137024,André Gomes
0,1,0.01657877489924431,24,Sub,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445391,0,0,0,0,0.01657877489924431,0.01657877489924431,0,André Gomes
0,0,0,90,MC,Everton,Leicester,1,1,2021-01-27,14627,2020,445179,0,0,0,0,0,0.16357430815696716,0.16357430815696716,André Gomes
0,0,0,25,Sub,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441901,0.019201727584004402,1,1,0,0,0.09030364453792572,0.09030364453792572,André Gomes
0,1,0.009314061142504215,24,Sub,Everton,West Ham,0,1,2021-01-01,14595,2020,438853,0,0,0,0,0.009314061142504215,0.009314061142504215,0,André Gomes
0,0,0,16,Sub,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438183,0,0,0,0,0,0,0,André Gomes
0,0,0,50,Sub,Leicester,Everton,0,2,2020-12-16,14559,2020,434692,0,0,0,0,0,0,0,André Gomes
0,0,0,4,Sub,Everton,Chelsea,1,0,2020-12-12,14546,2020,433298,0.016882771626114845,0,1,0,0,0,0,André Gomes
0,2,0.04378315433859825,62,Sub,Burnley,Everton,1,1,2020-12-05,14537,2020,431068,0.094173863530159,0,1,0,0.04378315433859825,0.5998689532279968,0.47738513350486755,André Gomes
0,0,0,21,Sub,Everton,Leeds,0,1,2020-11-28,14531,2020,429859,0,0,0,0,0,0,0,André Gomes
0,0,0,61,AMC,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425205,0.013997821137309074,0,1,0,0,0.013997821137309074,0,André Gomes
0,0,0,75,MC,Everton,Liverpool,2,2,2020-10-17,14477,2020,420857,0.019357923418283463,0,1,0,0,0.12004900723695755,0.10069108754396439,André Gomes
0,0,0,80,MC,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417391,0,0,0,0,0,0.4914083480834961,0.4914083480834961,André Gomes
0,0,0,90,MC,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415576,0.06373031437397003,0,1,0,0,0.10001303255558014,0.03628271445631981,André Gomes
0,1,0.07467453181743622,68,MC,Tottenham,Everton,0,1,2020-09-13,14093,2020,415140,0,0,0,0,0.07467453181743622,0.2937529385089874,0.21907839179039001,André Gomes
