,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,1,Sub,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472443,0,0,0,0,0,0,0,Andy Carroll
1,0,0,0,1,Sub,Newcastle United,West Ham,3,2,2021-04-17,14752,2020,462659,0,0,0,0,0,0,0,Andy Carroll
2,0,0,0,1,Sub,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455948,0,0,0,0,0,0.14736083149909973,0.14736083149909973,Andy Carroll
3,0,0,0,1,Sub,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,455011,0,0,0,0,0,0,0,Andy Carroll
4,0,0,0,8,Sub,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450130,0,0,0,0,0,0.0463670939207077,0.0463670939207077,Andy Carroll
5,0,1,0.07316767424345016,1,Sub,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446778,0,0,0,0,0.07316767424345016,0.1637418270111084,0.1637418270111084,Andy Carroll
6,0,2,0.0636366456747055,73,FW,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444405,0,0,0,0,0.0636366456747055,0.0636366456747055,0.028075899928808212,Andy Carroll
7,0,1,0.024144470691680908,69,FW,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443057,0.039525993168354034,0,1,0,0.024144470691680908,0.06367046386003494,0,Andy Carroll
8,0,0,0,12,Sub,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441814,0,0,0,0,0,0,0,Andy Carroll
9,1,2,0.09867104887962341,6,Sub,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439623,0,0,0,1,0.09867104887962341,0.015125845558941364,0,Andy Carroll
10,0,1,0.035877980291843414,17,Sub,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438209,0,0,0,0,0.035877980291843414,0.05736028775572777,0.021482307463884354,Andy Carroll
11,0,1,0.04961108788847923,15,Sub,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427656,0,0,0,0,0.04961108788847923,0.04961108788847923,0,Andy Carroll
12,0,0,0,11,Sub,Southampton,Newcastle United,2,0,2020-11-06,14512,2020,426005,0,0,0,0,0,0,0,Andy Carroll
13,0,0,0,2,Sub,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425193,0,0,0,0,0,0,0,Andy Carroll
14,0,0,0,1,Sub,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25,14494,2020,423716,0,0,0,0,0,0,0,Andy Carroll
15,0,1,0.012982690706849098,10,Sub,Tottenham,Newcastle United,1,1,2020-09-27,14111,2020,418061,0,0,0,0,0.012982690706849098,0,0,Andy Carroll
16,0,0,0,51,FW,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416330,0,0,0,0,0,0.010180237703025341,0.010180237703025341,Andy Carroll
17,0,4,0.24522525072097778,89,FW,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414756,0.02349383942782879,0,1,0,0.24522525072097778,0.37196052074432373,0.1249198466539383,Andy Carroll
