,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DC,West Ham,Southampton,3,0,2021-05-23,14813,2020,473449,0,0,0,0,0,0.07829926162958145,0.07829926162958145,Angelo Ogbonna
1,1,2,0.5502496361732483,90,DC,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472584,0,0,0,1,0.5502496361732483,0.058799467980861664,0.058799467980861664,Angelo Ogbonna
2,0,0,0,90,DC,Brighton,West Ham,1,1,2021-05-15,14785,2020,471077,0,0,0,0,0,0.5742391347885132,0.5742391347885132,Angelo Ogbonna
3,0,0,0,90,DC,West Ham,Chelsea,0,1,2021-04-24,14763,2020,465565,0,0,0,0,0,0,0,Angelo Ogbonna
4,0,1,0.06578104943037033,90,DC,Newcastle United,West Ham,3,2,2021-04-17,14752,2020,462664,0,0,0,0,0.06578104943037033,0,0,Angelo Ogbonna
5,0,0,0,90,DC,Fulham,West Ham,0,0,2021-02-06,14657,2020,447826,0,0,0,0,0,0,0,Angelo Ogbonna
6,0,0,0,90,DC,Aston Villa,West Ham,1,3,2021-02-03,14645,2020,447229,0,0,0,0,0,0.07983043789863586,0.07983043789863586,Angelo Ogbonna
7,0,0,0,90,DC,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446415,0,0,0,0,0,0,0,Angelo Ogbonna
8,0,0,0,90,DC,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,444994,0,0,0,0,0,0.2406691163778305,0.2406691163778305,Angelo Ogbonna
9,0,0,0,90,DC,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443157,0,0,0,0,0,0.05555553361773491,0.05555553361773491,Angelo Ogbonna
10,0,3,0.20185665786266327,90,DC,West Ham,Burnley,1,0,2021-01-16,14623,2020,442274,0,0,0,0,0.20185665786266327,0,0,Angelo Ogbonna
11,0,0,0,90,DC,Everton,West Ham,0,1,2021-01-01,14595,2020,438857,0,0,0,0,0,0,0,Angelo Ogbonna
12,0,0,0,90,DC,Southampton,West Ham,0,0,2020-12-29,14588,2020,438445,0,0,0,0,0,0.04379373788833618,0.04379373788833618,Angelo Ogbonna
13,0,0,0,90,DC,West Ham,Brighton,2,2,2020-12-27,14583,2020,438240,0,0,0,0,0,0.1498347818851471,0.1498347818851471,Angelo Ogbonna
14,0,1,0.05839081481099129,90,DC,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437121,0,0,0,0,0.05839081481099129,0,0,Angelo Ogbonna
15,0,0,0,90,DC,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435368,0,0,0,0,0,0.26472941040992737,0.26472941040992737,Angelo Ogbonna
16,1,1,0.42871835827827454,90,DC,Leeds,West Ham,1,2,2020-12-11,14548,2020,432684,0.26198500394821167,0,2,1,0.42871835827827454,0.32215920090675354,0.09966425597667694,Angelo Ogbonna
17,0,0,0,90,DC,West Ham,Manchester United,1,3,2020-12-05,14544,2020,431513,0.019875751808285713,0,1,0,0,0.3708404004573822,0.3708404004573822,Angelo Ogbonna
18,1,1,0.22472676634788513,90,DC,West Ham,Aston Villa,2,1,2020-11-30,14526,2020,430864,0,0,0,1,0.22472676634788513,0,0,Angelo Ogbonna
19,0,1,0.030524788424372673,90,DC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428537,0,0,0,0,0.030524788424372673,0.8251968622207642,0.8251968622207642,Angelo Ogbonna
20,0,0,0,63,DC,West Ham,Fulham,1,0,2020-11-07,14514,2020,426573,0,0,0,0,0,0.07216227799654007,0.07216227799654007,Angelo Ogbonna
21,0,0,0,90,DC,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424657,0,0,0,0,0,0,0,Angelo Ogbonna
22,0,0,0,90,DC,West Ham,Manchester City,1,1,2020-10-24,14493,2020,422611,0,0,0,0,0,0,0,Angelo Ogbonna
23,0,0,0,90,DC,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422061,0.14660999178886414,0,1,0,0,0.10819108784198761,0.10819108784198761,Angelo Ogbonna
24,0,0,0,90,DC,Leicester,West Ham,0,3,2020-10-04,14470,2020,419942,0,0,0,0,0,0.31960922479629517,0.31960922479629517,Angelo Ogbonna
25,0,1,0.07503218203783035,90,DC,West Ham,Wolverhampton Wanderers,4,0,2020-09-27,14113,2020,418455,0,0,0,0,0.07503218203783035,0.39563047885894775,0.39563047885894775,Angelo Ogbonna
26,0,1,0.04890695586800575,90,DC,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416067,0,0,0,0,0.04890695586800575,0.048303283751010895,0.048303283751010895,Angelo Ogbonna
27,0,1,0.01188643742352724,90,DC,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414736,0,0,0,0,0.01188643742352724,0,0,Angelo Ogbonna
