,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DC,Manchester City,Everton,5,0,2021-05-23,14811,2020,473409,0,0,0,0,0,0.10400882363319397,0.10400882363319397,Ben Godfrey
1,0,1,0.037034109234809875,90,DR,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472488,0.07518373429775238,0,1,0,0.037034109234809875,0.2858954071998596,0.17367756366729736,Ben Godfrey
2,0,3,0.056582674384117126,90,DC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471875,0,0,0,0,0.056582674384117126,0.16690346598625183,0.15319223701953888,Ben Godfrey
3,0,1,0.06442666798830032,90,DC,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470512,0,0,0,0,0.06442666798830032,0.05806021764874458,0.05806021764874458,Ben Godfrey
4,0,0,0,90,DC,West Ham,Everton,0,1,2021-05-09,14783,2020,469527,0.32546138763427734,1,1,0,0,0.32546138763427734,0,Ben Godfrey
5,0,0,0,90,DC,Everton,Aston Villa,1,2,2021-05-01,14769,2020,467186,0,0,0,0,0,0.15057961642742157,0.15057961642742157,Ben Godfrey
6,0,0,0,90,DC,Arsenal,Everton,0,1,2021-04-23,14755,2020,465049,0,0,0,0,0,0.09680698066949844,0.09680698066949844,Ben Godfrey
7,0,3,0.18475022912025452,90,DC,Everton,Tottenham,2,2,2021-04-16,14748,2020,462561,0,0,0,0,0.18475022912025452,0.02299518510699272,0,Ben Godfrey
8,0,1,0.021367451176047325,90,DC,Brighton,Everton,0,0,2021-04-12,14735,2020,462488,0,0,0,0,0.021367451176047325,0.10164513438940048,0.08027768135070801,Ben Godfrey
9,0,0,0,12,Sub,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460623,0,0,0,0,0,0.13897447288036346,0.13897447288036346,Ben Godfrey
10,0,0,0,90,DC,Everton,Burnley,1,2,2021-03-13,14707,2020,456545,0,0,0,0,0,0.6136218309402466,0.6136218309402466,Ben Godfrey
11,0,0,0,90,DC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455561,0,0,0,0,0,0.09197220206260681,0.09197220206260681,Ben Godfrey
12,0,1,0.018441177904605865,90,DC,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454206,0,0,0,0,0.018441177904605865,0.08684200793504715,0.06840083748102188,Ben Godfrey
13,0,1,0.08564359694719315,90,DC,Everton,Southampton,1,0,2021-03-01,14686,2020,453441,0,0,0,0,0.08564359694719315,0.6845400929450989,0.6845400929450989,Ben Godfrey
14,0,0,0,90,DC,Liverpool,Everton,0,2,2021-02-20,14680,2020,450895,0,0,0,0,0,0,0,Ben Godfrey
15,0,0,0,90,DL,Everton,Manchester City,1,3,2021-02-17,14593,2020,450256,0,0,0,0,0,0,0,Ben Godfrey
16,0,1,0.07392871379852295,90,DC,Everton,Fulham,0,2,2021-02-14,14669,2020,449903,0,0,0,0,0.07392871379852295,0.027529992163181305,0.027529992163181305,Ben Godfrey
17,0,0,0,90,DC,Manchester United,Everton,3,3,2021-02-06,14660,2020,447942,0,0,0,0,0,0,0,Ben Godfrey
18,0,1,0.1700398474931717,90,DC,Leeds,Everton,1,2,2021-02-03,14648,2020,447021,0.5511705279350281,1,1,0,0.1700398474931717,0.1700398474931717,0,Ben Godfrey
19,0,0,0,90,DL,Everton,Leicester,1,1,2021-01-27,14627,2020,445177,0,0,0,0,0,0.056281208992004395,0.056281208992004395,Ben Godfrey
20,0,0,0,90,DL,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441892,0,0,0,0,0,0.29151269793510437,0.29151269793510437,Ben Godfrey
21,0,0,0,90,DL,Everton,West Ham,0,1,2021-01-01,14595,2020,438845,0,0,0,0,0,0.14169226586818695,0.14169226586818695,Ben Godfrey
22,0,1,0.08090026676654816,90,DL,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438174,0,0,0,0,0.08090026676654816,0.2930050790309906,0.2930050790309906,Ben Godfrey
23,0,0,0,90,DL,Everton,Arsenal,2,1,2020-12-19,14569,2020,436184,0,0,0,0,0,0.25253960490226746,0.25253960490226746,Ben Godfrey
24,0,0,0,90,DL,Leicester,Everton,0,2,2020-12-16,14559,2020,434685,0,0,0,0,0,0.019462794065475464,0.019462794065475464,Ben Godfrey
25,0,0,0,90,DL,Everton,Chelsea,1,0,2020-12-12,14546,2020,433291,0,0,0,0,0,0.10433284193277359,0.10433284193277359,Ben Godfrey
26,0,0,0,90,DC,Burnley,Everton,1,1,2020-12-05,14537,2020,431059,0,0,0,0,0,0.04658091440796852,0.04658091440796852,Ben Godfrey
27,0,0,0,90,DC,Everton,Leeds,0,1,2020-11-28,14531,2020,429849,0,0,0,0,0,0.3488890826702118,0.3488890826702118,Ben Godfrey
28,0,0,0,90,DC,Fulham,Everton,2,3,2020-11-22,14517,2020,428369,0,0,0,0,0,0.7738272547721863,0.7738272547721863,Ben Godfrey
29,0,0,0,90,DR,Southampton,Everton,2,0,2020-10-25,14492,2020,423556,0,0,0,0,0,0.06971462070941925,0.06971462070941925,Ben Godfrey
30,0,0,0,60,Sub,Everton,Liverpool,2,2,2020-10-17,14477,2020,420863,0.026667600497603416,0,1,0,0,0.026667600497603416,0.026667600497603416,Ben Godfrey
