,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,6,0.2636248767375946,90,AMC,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472299,0.014647945761680603,1,1,0,0.2636248767375946,0.7266832590103149,0.5996819138526917,Bruno Fernandes
1,1,6,0.36556729674339294,90,AMC,Manchester United,Liverpool,2,4,2021-05-13,14770,2020,470590,0.47926193475723267,0,2,1,0.36556729674339294,0.8298248648643494,0.1091957688331604,Bruno Fernandes
2,0,1,0.06144723668694496,11,Sub,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469906,0,0,0,0,0.06144723668694496,0.0926533043384552,0.031206071376800537,Bruno Fernandes
3,1,4,1.0192543268203735,87,AMC,Aston Villa,Manchester United,1,3,2021-05-09,14776,2020,469409,0.048688460141420364,0,3,0,0.2581222951412201,0.43837136030197144,0.27269449830055237,Bruno Fernandes
4,0,5,0.42672669887542725,90,AMC,Leeds,Manchester United,0,0,2021-04-25,14758,2020,466028,0.12024029344320297,0,2,0,0.42672669887542725,0.5041165947914124,0.21492663025856018,Bruno Fernandes
5,0,4,0.44403740763664246,90,AMC,Manchester United,Burnley,3,1,2021-04-18,14751,2020,463682,0,0,0,0,0.44403740763664246,2.277935743331909,1.861519694328308,Bruno Fernandes
6,0,1,0.02332528680562973,90,AMC,Tottenham,Manchester United,1,3,2021-04-11,14742,2020,462073,0.7584046721458435,0,1,0,0.02332528680562973,1.2942423820495605,0.5125124454498291,Bruno Fernandes
7,0,4,0.3155498802661896,90,AMC,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460503,0.4075785279273987,1,4,0,0.3155498802661896,0.7589711546897888,0.09043530374765396,Bruno Fernandes
8,0,4,0.4597628712654114,90,AMC,Manchester United,West Ham,1,0,2021-03-14,14711,2020,457312,0.40182095766067505,0,5,0,0.4597628712654114,1.350693941116333,0.6833910346031189,Bruno Fernandes
9,1,1,0.7611688375473022,90,AMC,Manchester City,Manchester United,0,2,2021-03-07,14700,2020,455297,0.05811040848493576,0,1,0,0,0.05811040848493576,0,Bruno Fernandes
10,0,0,0,90,AMC,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454159,0.13194149732589722,0,4,0,0,0.31652936339378357,0.2390119582414627,Bruno Fernandes
11,0,2,0.04772854596376419,90,AMC,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453228,0.016167284920811653,0,1,0,0.04772854596376419,0.1934540569782257,0.1295582354068756,Bruno Fernandes
12,1,2,0.7922426462173462,90,AMC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451546,0.3907240331172943,1,3,0,0.03107377514243126,0.522048830986023,0.10025101155042648,Bruno Fernandes
13,1,3,0.13706940412521362,90,AMC,West Bromwich Albion,Manchester United,1,1,2021-02-14,14673,2020,449659,0,0,0,1,0.13706940412521362,0.1985539048910141,0.06148448958992958,Bruno Fernandes
14,1,4,0.3250137269496918,90,AMC,Manchester United,Everton,3,3,2021-02-06,14660,2020,447934,0.16004182398319244,0,3,1,0.3250137269496918,1.030471682548523,0.8930982947349548,Bruno Fernandes
15,1,6,1.0288612842559814,90,AMC,Manchester United,Southampton,9,0,2021-02-02,14651,2020,446747,1.2065446376800537,2,5,0,0.2676924467086792,1.4491671323776245,0.6226614117622375,Bruno Fernandes
