goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,16,Sub,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473516,0,0,0,0,0,0,0,Bukayo Saka
0,0,0,68,AML,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472537,0.021011479198932648,0,1,0,0,0.3965623378753662,0.37555086612701416,Bukayo Saka
0,0,0,67,DMR,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470425,0,0,0,0,0,0,0,Bukayo Saka
0,1,0.0918750911951065,90,DL,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469635,0.42627689242362976,1,2,0,0.0918750911951065,0.509035050868988,0.41715991497039795,Bukayo Saka
0,2,0.16658608615398407,90,AMR,Arsenal,Everton,0,1,2021-04-23,14755,2020,465040,0.09688327461481094,0,2,0,0.16658608615398407,0.33967673778533936,0.16178062558174133,Bukayo Saka
0,2,0.03326400741934776,90,AMR,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463322,0.162975013256073,0,2,0,0.03326400741934776,0.8237623572349548,0.737760603427887,Bukayo Saka
0,1,0.04722508043050766,70,AMC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462225,0.05600304156541824,0,2,0,0.04722508043050766,0.5941798686981201,0.5201915502548218,Bukayo Saka
0,2,0.17156951129436493,76,AML,West Ham,Arsenal,3,3,2021-03-21,14724,2020,458726,0.01016155444085598,0,1,0,0.17156951129436493,0.31496620178222656,0.1332351416349411,Bukayo Saka
0,0,0,48,AMR,Arsenal,Tottenham,2,1,2021-03-14,14705,2020,457191,0.12458174675703049,0,1,0,0,0.5763099193572998,0.5763099193572998,Bukayo Saka
0,4,0.8473031520843506,90,AMR,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454390,0.3543184697628021,0,1,0,0.8473031520843506,1.612330675125122,0.7650275826454163,Bukayo Saka
0,3,0.19464462995529175,90,AML,Arsenal,Manchester City,0,1,2021-02-21,14675,2020,451427,0,0,0,0,0.19464462995529175,0.2471800148487091,0.05253538489341736,Bukayo Saka
0,1,0.028364786878228188,90,AMR,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449792,0,0,0,0,0.028364786878228188,0.584163248538971,0.5557984113693237,Bukayo Saka
0,1,0.05896123871207237,90,AMR,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447380,0.09446649998426437,0,3,0,0.05896123871207237,0.12589780986309052,0.04252716526389122,Bukayo Saka
0,3,0.41711345314979553,90,AMR,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446704,0,0,0,0,0.41711345314979553,0.42983970046043396,0.012726240791380405,Bukayo Saka
1,2,0.5599640011787415,90,AMR,Southampton,Arsenal,1,3,2021-01-26,14632,2020,445027,0.9808120131492615,1,2,1,0.5599640011787415,1.819008708000183,0.34520775079727173,Bukayo Saka
1,4,0.32331520318984985,90,AMR,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443040,0.4527187645435333,0,3,1,0.32331520318984985,1.3787623643875122,1.0554471015930176,Bukayo Saka
0,2,0.08121837675571442,90,AMR,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441963,0.07413995265960693,0,2,0,0.08121837675571442,0.08121837675571442,0,Bukayo Saka
1,4,0.9989936947822571,73,AMR,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439300,0.04632124304771423,0,1,1,0.9989936947822571,1.6655969619750977,0.6666033267974854,Bukayo Saka
0,2,0.25302693247795105,81,AMR,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438396,0.7968072891235352,1,3,0,0.25302693247795105,0.9620762467384338,0,Bukayo Saka
1,2,0.1075361892580986,90,AMR,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438135,0,0,0,1,0.1075361892580986,0.1075361892580986,0,Bukayo Saka
0,4,0.15663541853427887,90,DML,Everton,Arsenal,2,1,2020-12-19,14569,2020,436199,0.02822965383529663,0,1,0,0.15663541853427887,0.2706774175167084,0.16833795607089996,Bukayo Saka
0,1,0.030623579397797585,90,DML,Arsenal,Southampton,1,1,2020-12-16,14555,2020,434824,0.02447856217622757,0,1,0,0.030623579397797585,0.6117293238639832,0.5811057686805725,Bukayo Saka
0,4,0.4810200035572052,90,AML,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434063,0.07852108031511307,0,1,0,0.4810200035572052,1.0018596649169922,0.4423186182975769,Bukayo Saka
0,2,0.08540698140859604,90,ML,Tottenham,Arsenal,2,0,2020-12-06,14542,2020,432195,0.05916943773627281,0,1,0,0.08540698140859604,0.13302293419837952,0.04761595278978348,Bukayo Saka
0,1,0.43396851420402527,90,AML,Arsenal,Wolverhampton Wanderers,1,2,2020-11-29,14525,2020,430667,0.21738691627979279,0,3,0,0.43396851420402527,0.5288336277008057,0,Bukayo Saka
0,1,0.2911226451396942,33,Sub,Leeds,Arsenal,0,0,2020-11-22,14518,2020,428845,0.18252214789390564,0,2,0,0.2911226451396942,0.47364479303359985,0.11539288610219955,Bukayo Saka
0,0,0,90,DML,Arsenal,Aston Villa,0,3,2020-11-08,14505,2020,427380,0,0,0,0,0,0.23957708477973938,0.23957708477973938,Bukayo Saka
0,2,0.06750702857971191,90,DML,Manchester United,Arsenal,0,1,2020-11-01,14500,2020,425378,0,0,0,0,0.06750702857971191,0.05805268511176109,0,Bukayo Saka
0,4,0.19088837504386902,67,FWL,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423818,0.08223390579223633,0,1,0,0.19088837504386902,0.2889077961444855,0.18599727749824524,Bukayo Saka
0,2,0.4350222051143646,90,MC,Manchester City,Arsenal,1,0,2020-10-17,14480,2020,421386,0.010084745474159718,0,1,0,0.4350222051143646,0.4350222051143646,0.04690073803067207,Bukayo Saka
1,2,0.44773590564727783,88,MC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420291,0,0,0,1,0.44773590564727783,0.44773590564727783,0,Bukayo Saka
0,2,0.16828149557113647,90,DML,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416055,0.1316869705915451,0,1,0,0.16828149557113647,1.2353001832962036,0.9353317022323608,Bukayo Saka
