,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.026243798434734344,43,Sub,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470420,0.12437039613723755,0,2,0,0.026243798434734344,0.22667162120342255,0.07605743408203125,Callum Hudson-Odoi
1,0,0,0,11,Sub,Manchester City,Chelsea,1,2,2021-05-08,14781,2020,468865,0,0,0,0,0,0.14040224254131317,0.14040224254131317,Callum Hudson-Odoi
2,0,0,0,21,Sub,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464167,0.06123775988817215,0,1,0,0,0.09403055906295776,0.09403055906295776,Callum Hudson-Odoi
3,0,2,0.14537490904331207,77,DMR,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461410,0.33557814359664917,1,5,0,0.14537490904331207,1.8056455850601196,1.4840887784957886,Callum Hudson-Odoi
4,0,1,0.09289374947547913,10,Sub,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456114,0,0,0,0,0.09289374947547913,0.09289374947547913,0,Callum Hudson-Odoi
5,0,2,0.07817953824996948,67,AMC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455554,0,0,0,0,0.07817953824996948,0.49707701802253723,0.41889747977256775,Callum Hudson-Odoi
6,0,1,0.05832311138510704,48,DMR,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453210,0.5690121054649353,0,2,0,0.05832311138510704,0.6273351907730103,0.5464611649513245,Callum Hudson-Odoi
7,0,0,0,30,Sub,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450517,0,0,0,0,0,0,0,Callum Hudson-Odoi
8,0,0,0,81,DMR,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450108,0.15290915966033936,0,2,0,0,0.5500872135162354,0.397178053855896,Callum Hudson-Odoi
9,0,0,0,27,Sub,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448552,0.08401978015899658,0,2,0,0,0.08401978015899658,0,Callum Hudson-Odoi
10,0,3,0.10804520547389984,67,AMC,Tottenham,Chelsea,0,1,2021-02-04,14653,2020,447263,0,0,0,0,0.10804520547389984,0.10804520547389984,0.03239086642861366,Callum Hudson-Odoi
11,0,2,0.14839909970760345,74,DMR,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446002,0.3106173276901245,1,3,0,0.14839909970760345,0.8505027890205383,0.5240488052368164,Callum Hudson-Odoi
12,0,2,0.062460001558065414,90,AMR,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445069,0.05496362969279289,0,2,0,0.062460001558065414,0.24762265384197235,0.16395507752895355,Callum Hudson-Odoi
13,0,1,0.052242327481508255,70,FWR,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443293,0.030899401754140854,0,1,0,0.052242327481508255,0.08314172923564911,0.030899401754140854,Callum Hudson-Odoi
14,0,0,0,14,Sub,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442444,0,0,0,0,0,0.030647747218608856,0.030647747218608856,Callum Hudson-Odoi
15,1,1,0.31149575114250183,24,Sub,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439709,0.05967958644032478,0,2,1,0.31149575114250183,0.4049437940120697,0.09344805032014847,Callum Hudson-Odoi
16,0,1,0.022383537143468857,90,FWR,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438357,0.05894599109888077,0,2,0,0.022383537143468857,0.21226561069488525,0.1734585165977478,Callum Hudson-Odoi
17,0,1,0.04073387756943703,43,Sub,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438155,0.7787638902664185,1,2,0,0.04073387756943703,0.897545576095581,0.7807865738868713,Callum Hudson-Odoi
18,0,1,0.04985687509179115,13,Sub,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427670,0,0,0,0,0.04985687509179115,0.09302322566509247,0.043166350573301315,Callum Hudson-Odoi
19,0,0,0,16,Sub,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424518,0.04103732109069824,0,1,0,0,0.04103732109069824,0,Callum Hudson-Odoi
20,0,2,0.06003952398896217,84,AMR,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419254,0.39697569608688354,0,2,0,0.06003952398896217,0.56706702709198,0.4570789039134979,Callum Hudson-Odoi
21,1,2,0.11301794648170471,42,Sub,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417611,0.04513159021735191,0,2,1,0.11301794648170471,0.17035254836082458,0.012203008867800236,Callum Hudson-Odoi
22,0,0,0,6,Sub,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415384,0,0,0,0,0,0,0,Callum Hudson-Odoi
