goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.04236947372555733,90,DC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473423,0,0,0,0,0.04236947372555733,0.0241007748991251,0.0241007748991251,Chris Basham
0,0,0,90,DC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472449,0.021300144493579865,0,1,0,0,0.1361890733242035,0.1361890733242035,Chris Basham
0,0,0,90,DC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471890,0,0,0,0,0,0.023563019931316376,0.023563019931316376,Chris Basham
0,1,0.08928319811820984,90,DC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468691,0,0,0,0,0.08928319811820984,0.43903848528862,0.43903848528862,Chris Basham
0,0,0,90,DC,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467834,0.07784219086170197,0,1,0,0,0.12467364221811295,0.12467364221811295,Chris Basham
0,0,0,90,DC,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456875,0,0,0,0,0,0,0,Chris Basham
0,0,0,52,MC,Fulham,Sheffield United,1,0,2021-02-20,14679,2020,450988,0,0,0,0,0,0,0,Chris Basham
0,1,0.0202868040651083,90,DC,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450036,0,0,0,0,0.0202868040651083,0.6774206757545471,0.6774206757545471,Chris Basham
0,0,0,90,DC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448527,0,0,0,0,0,0,0,Chris Basham
0,0,0,90,DC,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446713,0.10117251425981522,1,2,0,0,0.4598194658756256,0.358646959066391,Chris Basham
0,0,0,79,DC,Manchester City,Sheffield United,1,0,2021-01-30,14642,2020,445638,0,0,0,0,0,0,0,Chris Basham
0,0,0,90,DC,Manchester United,Sheffield United,1,2,2021-01-27,14628,2020,445217,0,0,0,0,0,0,0,Chris Basham
0,0,0,76,DC,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442744,0.09383510053157806,0,1,0,0,0.09383510053157806,0,Chris Basham
0,0,0,52,DC,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441790,0,0,0,0,0,0.24892276525497437,0.24892276525497437,Chris Basham
0,1,0.10197020322084427,90,MC,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439125,0.1034446656703949,0,1,0,0.10197020322084427,0.2625342607498169,0.16056406497955322,Chris Basham
0,0,0,90,DC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438418,0,0,0,0,0,0.22876274585723877,0.22876274585723877,Chris Basham
0,1,0.01693226955831051,90,DC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438159,0,0,0,0,0.01693226955831051,0.8064729571342468,0.8064729571342468,Chris Basham
0,0,0,90,DC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436433,0,0,0,0,0,0.5306947231292725,0.5306947231292725,Chris Basham
0,1,0.14689770340919495,90,DC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435622,0,0,0,0,0.14689770340919495,0.3219946026802063,0.17509688436985016,Chris Basham
0,0,0,72,DC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433449,0,0,0,0,0,0,0,Chris Basham
0,0,0,90,DC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432028,0.08602159470319748,0,1,0,0,0.08602159470319748,0,Chris Basham
0,2,0.0808505117893219,90,DC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429954,0.06728532165288925,0,1,0,0.0808505117893219,1.354870319366455,1.206734538078308,Chris Basham
0,0,0,76,DC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428524,0.10666719824075699,0,1,0,0,0.25711899995803833,0.15045180916786194,Chris Basham
0,0,0,90,DC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426502,0,0,0,0,0,0.05587024241685867,0.05587024241685867,Chris Basham
0,0,0,90,DC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424225,0,0,0,0,0,0.1747056394815445,0.1747056394815445,Chris Basham
0,1,0.06729706376791,90,DC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423227,0,0,0,0,0.06729706376791,0.08840315788984299,0.021106092259287834,Chris Basham
0,1,0.05367949977517128,84,DC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421664,0.35424450039863586,0,2,0,0.05367949977517128,0.7952231764793396,0.38729920983314514,Chris Basham
0,0,0,77,DC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420301,0,0,0,0,0,0,0,Chris Basham
0,0,0,90,DC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417852,0.0547233521938324,0,1,0,0,0.1780584156513214,0.12333506345748901,Chris Basham
0,0,0,72,DC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416905,0,0,0,0,0,0,0,Chris Basham
0,0,0,72,DC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415302,0,0,0,0,0,0,0,Chris Basham
