goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473478,0,0,0,0,0,0.18509596586227417,0.18509596586227417,Conor Coady
0,0,0,90,DC,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472503,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Tottenham,Wolverhampton Wanderers,2,0,2021-05-16,14793,2020,471460,0,0,0,0,0,0.16928084194660187,0.16928084194660187,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469084,0,0,0,0,0,0.09773898869752884,0.09773898869752884,Conor Coady
0,0,0,90,DC,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467981,0,0,0,0,0,0.1987815648317337,0.1987815648317337,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Burnley,0,4,2021-04-25,14764,2020,465771,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463104,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460836,0,0,0,0,0,0,0,Conor Coady
0,1,0.02912149578332901,90,DC,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460672,0,0,0,0,0.02912149578332901,0.7797591090202332,0.7797591090202332,Conor Coady
0,1,0.247324138879776,90,DC,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457422,0,0,0,0,0.247324138879776,0.042834676802158356,0.042834676802158356,Conor Coady
0,2,1.0825153589248657,90,DC,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454765,0.10697049647569656,0,1,0,1.0825153589248657,0.10697049647569656,0,Conor Coady
1,1,0.05068434402346611,90,DC,Manchester City,Wolverhampton Wanderers,4,1,2021-03-02,14720,2020,453564,0,0,0,1,0.05068434402346611,0,0,Conor Coady
0,0,0,90,DC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452602,0,0,0,0,0,0.4271641671657562,0.4271641671657562,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450375,0,0,0,0,0,0.06583701819181442,0.06583701819181442,Conor Coady
0,0,0,90,DC,Southampton,Wolverhampton Wanderers,1,2,2021-02-14,14672,2020,449450,0,0,0,0,0,0.025393733754754066,0.025393733754754066,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Leicester,0,0,2021-02-07,14664,2020,448319,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446686,0,0,0,0,0,0.5180037617683411,0.5180037617683411,Conor Coady
0,0,0,90,DC,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445694,0,0,0,0,0,0.1081961989402771,0.1081961989402771,Conor Coady
0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445078,0,0,0,0,0,0,0,Conor Coady
0,0,0,65,DC,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442075,0,0,0,0,0,0.09720532596111298,0.09720532596111298,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441877,0,0,0,0,0,0.01545677613466978,0.01545677613466978,Conor Coady
0,0,0,90,DC,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439240,0,0,0,0,0,0.054855186492204666,0.054855186492204666,Conor Coady
0,0,0,90,DC,Manchester United,Wolverhampton Wanderers,1,0,2020-12-29,14592,2020,438561,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Tottenham,1,1,2020-12-27,14584,2020,438297,0.03811393678188324,0,1,0,0,0.3548451066017151,0.3548451066017151,Conor Coady
0,0,0,90,DC,Burnley,Wolverhampton Wanderers,2,1,2020-12-21,14566,2020,437094,0,0,0,0,0,0.18728406727313995,0.18728406727313995,Conor Coady
0,1,0.010227358900010586,90,DC,Wolverhampton Wanderers,Chelsea,2,1,2020-12-15,14562,2020,434293,0,0,0,0,0.010227358900010586,0.05318206548690796,0.0429547093808651,Conor Coady
0,1,0.025156952440738678,90,DC,Wolverhampton Wanderers,Aston Villa,0,1,2020-12-12,14552,2020,432757,0,0,0,0,0.025156952440738678,0.09897375851869583,0.09897375851869583,Conor Coady
0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432304,0,0,0,0,0,0.14661921560764313,0.14661921560764313,Conor Coady
0,0,0,90,DC,Arsenal,Wolverhampton Wanderers,1,2,2020-11-29,14525,2020,430675,0,0,0,0,0,0.7283084988594055,0.7283084988594055,Conor Coady
0,0,0,90,DC,Leicester,Wolverhampton Wanderers,1,0,2020-11-08,14510,2020,427066,0,0,0,0,0,0.02522078901529312,0.02522078901529312,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424164,0,0,0,0,0,0.15343619883060455,0.15343619883060455,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25,14494,2020,423692,0,0,0,0,0,0.1501787155866623,0.1501787155866623,Conor Coady
0,0,0,90,DC,Leeds,Wolverhampton Wanderers,0,1,2020-10-19,14478,2020,422418,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Fulham,1,0,2020-10-04,14474,2020,420314,0,0,0,0,0,0.0857715904712677,0.0857715904712677,Conor Coady
0,0,0,90,DC,West Ham,Wolverhampton Wanderers,4,0,2020-09-27,14113,2020,418470,0,0,0,0,0,0,0,Conor Coady
0,0,0,90,DC,Wolverhampton Wanderers,Manchester City,1,3,2020-09-21,14105,2020,416984,0.051153868436813354,0,1,0,0,0.12267068028450012,0.07151681184768677,Conor Coady
0,0,0,90,DC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415316,0,0,0,0,0,0.044138405472040176,0.044138405472040176,Conor Coady
