,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,3,0.2709379494190216,90,AML,Borussia Dortmund,Bayer Leverkusen,3,1,2021-05-22,15438,2020,472874,0.16641516983509064,0,3,0,0.2709379494190216,0.42203307151794434,0.028904525563120842,Demarai Gray
1,0,0,0,4,Sub,Bayer Leverkusen,Union Berlin,1,1,2021-05-15,15430,2020,470802,0,0,0,0,0,0,0,Demarai Gray
2,0,0,0,42,Sub,Werder Bremen,Bayer Leverkusen,0,0,2021-05-08,15426,2020,468565,0.13503968715667725,0,1,0,0,0.3189406394958496,0.3189406394958496,Demarai Gray
3,0,1,0.05952494964003563,48,AML,Hertha Berlin,Bayer Leverkusen,3,0,2021-03-21,15369,2020,458699,0,0,0,0,0.05952494964003563,0.2806668281555176,0.22114187479019165,Demarai Gray
4,0,2,0.4076194167137146,46,FWL,Bayer Leverkusen,Arminia Bielefeld,1,2,2021-03-14,15358,2020,456778,0,0,0,0,0.4076194167137146,0.42811447381973267,0.020495060831308365,Demarai Gray
5,0,1,0.04650212079286575,90,FWL,Borussia M.Gladbach,Bayer Leverkusen,0,1,2021-03-06,15352,2020,454540,0,0,0,0,0.04650212079286575,0.13526737689971924,0.13526737689971924,Demarai Gray
6,0,3,0.11804094165563583,69,FWL,Bayer Leverkusen,Freiburg,1,2,2021-02-28,15341,2020,453242,0.03590045124292374,0,2,0,0.11804094165563583,0.1396641731262207,0.02162323147058487,Demarai Gray
7,0,1,0.018902640789747238,16,Sub,Augsburg,Bayer Leverkusen,1,1,2021-02-21,15336,2020,451113,0.08696738630533218,1,2,0,0.018902640789747238,0.10587002336978912,0.018902640789747238,Demarai Gray
8,0,1,0.044799406081438065,18,Sub,Bayer Leverkusen,Mainz 05,2,2,2021-02-13,15323,2020,448949,0.3504581153392792,1,1,0,0.044799406081438065,0.39525753259658813,0,Demarai Gray
9,1,3,0.5469026565551758,15,Sub,Bayer Leverkusen,VfB Stuttgart,5,2,2021-02-06,15312,2020,447619,0,0,0,1,0.5469026565551758,1.1547905206680298,0.607887864112854,Demarai Gray
10,0,1,0.05797205865383148,17,Sub,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438347,0,0,0,0,0.05797205865383148,0.02703343704342842,0.02703343704342842,Demarai Gray
