goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.3593751788139343,24,Sub,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473307,0.034779731184244156,0,1,0,0.3593751788139343,0.034779731184244156,0,Dwight Gayle
0,0,0,39,Sub,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472445,0,0,0,0,0,0.029017210006713867,0.029017210006713867,Dwight Gayle
0,0,0,1,Sub,Newcastle United,Manchester City,3,4,2021-05-14,14791,2020,470653,0,0,0,0,0,0,0,Dwight Gayle
0,0,0,4,Sub,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467618,0,0,0,0,0,0,0,Dwight Gayle
0,0,0,3,Sub,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465146,0.06816767156124115,1,1,0,0,0.10150977224111557,0.03334209695458412,Dwight Gayle
0,3,0.6687156558036804,60,FW,Burnley,Newcastle United,1,2,2021-04-11,14736,2020,461593,0,0,0,0,0.6687156558036804,0.6687156558036804,0,Dwight Gayle
0,4,1.2404149770736694,73,FW,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460244,0.07595016062259674,0,1,0,1.2404149770736694,1.2439275979995728,0.06375914812088013,Dwight Gayle
0,2,0.21401487290859222,90,FWL,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455945,0.019417332485318184,0,1,0,0.21401487290859222,0.4971187710762024,0.26368656754493713,Dwight Gayle
0,0,0,32,Sub,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,455012,0.061019767075777054,0,1,0,0,0.061019767075777054,0,Dwight Gayle
0,0,0,9,Sub,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451564,0,0,0,0,0,0,0,Dwight Gayle
0,1,0.06830359250307083,67,FWR,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450126,0,0,0,0,0.06830359250307083,0.06830359250307083,0,Dwight Gayle
0,0,0,11,Sub,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446779,0,0,0,0,0,0,0,Dwight Gayle
0,1,0.05691482871770859,8,Sub,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444963,0,0,0,0,0.05691482871770859,0,0,Dwight Gayle
0,1,0.1031462550163269,7,Sub,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444408,0,0,0,0,0.1031462550163269,0,0,Dwight Gayle
0,0,0,6,Sub,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438210,0,0,0,0,0,0,0,Dwight Gayle
0,0,0,14,Sub,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436281,0,0,0,0,0,0.040952861309051514,0.040952861309051514,Dwight Gayle
0,0,0,15,Sub,Leeds,Newcastle United,5,2,2020-12-16,14558,2020,434667,0,0,0,0,0,0,0,Dwight Gayle
1,3,0.218912273645401,20,Sub,Newcastle United,West Bromwich Albion,2,1,2020-12-12,14550,2020,433034,0.016220808029174805,0,1,1,0.218912273645401,0.29249686002731323,0.08329035341739655,Dwight Gayle
