,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.032036662101745605,90,DC,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473492,0,0,0,0,0.032036662101745605,0.677914559841156,0.677914559841156,Eric Bailly
1,0,0,0,90,DC,Manchester United,Liverpool,2,4,2021-05-13,14770,2020,470585,0,0,0,0,0,0.0638350322842598,0.0638350322842598,Eric Bailly
2,0,0,0,90,DC,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469898,0,0,0,0,0,0.031206071376800537,0.031206071376800537,Eric Bailly
3,0,0,0,11,Sub,Aston Villa,Manchester United,1,3,2021-05-09,14776,2020,469414,0,0,0,0,0,0,0,Eric Bailly
4,0,0,0,90,DC,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454154,0,0,0,0,0,0.31683188676834106,0.31683188676834106,Eric Bailly
5,0,0,0,90,DC,Fulham,Manchester United,1,2,2021-01-20,14607,2020,443644,0,0,0,0,0,0.1355125457048416,0.1355125457048416,Eric Bailly
6,0,0,0,90,DC,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441833,0,0,0,0,0,0.03544017672538757,0.03544017672538757,Eric Bailly
7,0,0,0,90,DC,Manchester United,Aston Villa,2,1,2021-01-01,14596,2020,438872,0,0,0,0,0,0.07253394275903702,0.07253394275903702,Eric Bailly
8,0,1,0.04878591373562813,90,DC,Manchester United,Wolverhampton Wanderers,1,0,2020-12-29,14592,2020,438548,0,0,0,0,0.04878591373562813,0.061484046280384064,0.061484046280384064,Eric Bailly
9,0,0,0,90,DC,Leicester,Manchester United,2,2,2020-12-26,14579,2020,438063,0,0,0,0,0,0.40202316641807556,0.40202316641807556,Eric Bailly
10,0,0,0,90,DC,Manchester United,Tottenham,1,6,2020-10-04,14471,2020,420486,0,0,0,0,0,0,0,Eric Bailly
11,0,0,0,5,Sub,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417154,0,0,0,0,0,0,0,Eric Bailly
