,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DL,Burnley,Newcastle United,1,2,2021-04-11,14736,2020,461575,0.13270923495292664,0,1,0,0,0.47376489639282227,0.34105566143989563,Erik Pieters
1,0,0,0,32,DL,Southampton,Burnley,3,2,2021-04-04,14733,2020,460047,0,0,0,0,0,0.055157583206892014,0.055157583206892014,Erik Pieters
2,0,0,0,90,DL,Everton,Burnley,1,2,2021-03-13,14707,2020,456561,0,0,0,0,0,0.10620567202568054,0.10620567202568054,Erik Pieters
3,0,1,0.00909247063100338,26,Sub,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454381,0,0,0,0,0.00909247063100338,0.00909247063100338,0,Erik Pieters
4,0,0,0,88,DL,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449043,0.08686058968305588,0,1,0,0,0.10652004927396774,0.019659463316202164,Erik Pieters
5,0,1,0.036650706082582474,90,DL,Burnley,Brighton,1,1,2021-02-06,14656,2020,447641,0,0,0,0,0.036650706082582474,0.7296600341796875,0.6930093169212341,Erik Pieters
6,0,0,0,90,DL,Burnley,Manchester City,0,2,2021-02-03,14646,2020,446982,0,0,0,0,0,0.04250529408454895,0.04250529408454895,Erik Pieters
7,0,0,0,90,DL,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446016,0,0,0,0,0,0,0,Erik Pieters
8,0,0,0,90,DL,Burnley,Aston Villa,3,2,2021-01-27,14626,2020,445094,0.11485937982797623,1,2,0,0,0.2013438194990158,0.08648443967103958,Erik Pieters
9,0,0,0,40,Sub,Liverpool,Burnley,0,1,2021-01-21,14613,2020,443741,0,0,0,0,0,0.10410936176776886,0.10410936176776886,Erik Pieters
10,0,0,0,90,DL,West Ham,Burnley,1,0,2021-01-16,14623,2020,442289,0,0,0,0,0,0,0,Erik Pieters
11,0,0,0,90,DL,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441820,0,0,0,0,0,0,0,Erik Pieters
12,0,0,0,90,ML,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438411,0,0,0,0,0,0,0,Erik Pieters
13,0,1,0.04355483502149582,75,ML,Leeds,Burnley,1,0,2020-12-27,14578,2020,438234,0,0,0,0,0.04355483502149582,0.017568938434123993,0.017568938434123993,Erik Pieters
14,0,0,0,19,Sub,Burnley,Wolverhampton Wanderers,2,1,2020-12-21,14566,2020,437088,0,0,0,0,0,0,0,Erik Pieters
15,0,0,0,1,Sub,Aston Villa,Burnley,0,0,2020-12-17,14556,2020,435585,0,0,0,0,0,0,0,Erik Pieters
16,0,0,0,21,Sub,Manchester City,Burnley,5,0,2020-11-28,14533,2020,429634,0.029186755418777466,0,1,0,0,0,0,Erik Pieters
17,0,0,0,6,Sub,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429093,0,0,0,0,0,0,0,Erik Pieters
18,0,0,0,90,DR,West Bromwich Albion,Burnley,0,0,2020-10-19,14484,2020,422359,0,0,0,0,0,0,0,Erik Pieters
19,0,1,0.06186991557478905,51,Sub,Leicester,Burnley,4,2,2020-09-20,14103,2020,416737,0,0,0,0,0.06186991557478905,0.0869586244225502,0.0869586244225502,Erik Pieters
