,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,4,Sub,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473514,0,0,0,0,0,0,0,Gabriel Martinelli
1,1,1,0.7641816735267639,9,Sub,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472539,0,0,0,1,0.7641816735267639,0.7641816735267639,0,Gabriel Martinelli
2,0,2,0.07575736194849014,61,FW,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469641,0.12166662514209747,0,1,0,0.07575736194849014,0.5339730381965637,0.3916875123977661,Gabriel Martinelli
3,0,1,0.018824849277734756,90,AML,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467628,1.0001388788223267,1,4,0,0.018824849277734756,1.0380743741989136,0.18895001709461212,Gabriel Martinelli
4,0,1,0.05764732137322426,15,Sub,Arsenal,Everton,0,1,2021-04-23,14755,2020,465045,0,0,0,0,0.05764732137322426,0.05764732137322426,0,Gabriel Martinelli
5,0,4,1.0702135562896729,90,AML,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463324,0.5579918622970581,0,2,0,1.0702135562896729,1.677531361579895,0.3512261211872101,Gabriel Martinelli
6,1,4,0.7904362082481384,84,AML,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462226,0.04722508043050766,0,1,1,0.7904362082481384,0.7860427498817444,0.016482343897223473,Gabriel Martinelli
7,0,0,0,10,Sub,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459954,0,0,0,0,0,0,0,Gabriel Martinelli
8,0,0,0,7,Sub,West Ham,Arsenal,3,3,2021-03-21,14724,2020,458728,0,0,0,0,0,0.11393329501152039,0.11393329501152039,Gabriel Martinelli
9,0,0,0,47,AML,Arsenal,Manchester United,0,0,2021-01-30,14635,2020,445862,0.01862845942378044,0,1,0,0,0.01862845942378044,0,Gabriel Martinelli
10,0,1,0.04425649717450142,8,Sub,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443045,0,0,0,0,0.04425649717450142,0.04425649717450142,0,Gabriel Martinelli
11,0,1,0.056193288415670395,66,AML,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438398,0,0,0,0,0.056193288415670395,0.7222816944122314,0.6660884022712708,Gabriel Martinelli
12,0,4,0.31772562861442566,72,AML,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438137,0,0,0,0,0.31772562861442566,0.31772562861442566,0,Gabriel Martinelli
13,0,1,0.05721409246325493,18,Sub,Everton,Arsenal,2,1,2020-12-19,14569,2020,436205,0,0,0,0,0.05721409246325493,0.08544375002384186,0.02822965383529663,Gabriel Martinelli
