,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.013912434689700603,90,DC,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473505,0,0,0,0,0.013912434689700603,0.1743001788854599,0.1743001788854599,Gabriel
1,0,0,0,90,DC,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472530,0,0,0,0,0,0.37555086612701416,0.37555086612701416,Gabriel
2,0,0,0,90,DC,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470422,0,0,0,0,0,0.11806613206863403,0.11806613206863403,Gabriel
3,0,1,0.034589365124702454,90,DC,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469633,0.025472408160567284,0,1,0,0.034589365124702454,0.41715991497039795,0.41715991497039795,Gabriel
4,0,2,0.08945979923009872,90,DC,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467622,0,0,0,0,0.08945979923009872,0.1543009728193283,0.1543009728193283,Gabriel
5,0,1,0.012751900590956211,90,DC,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463317,0,0,0,0,0.012751900590956211,0.6395822763442993,0.6395822763442993,Gabriel
6,0,0,0,90,DC,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459945,0,0,0,0,0,0,0,Gabriel
7,0,0,0,90,DC,Arsenal,Tottenham,2,1,2021-03-14,14705,2020,457187,0,0,0,0,0,0.5242101550102234,0.5242101550102234,Gabriel
8,0,0,0,90,DC,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449788,0,0,0,0,0,0.08052311092615128,0.08052311092615128,Gabriel
9,0,1,0.08097964525222778,90,DC,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447375,0,0,0,0,0.08097964525222778,0.0961020216345787,0.0961020216345787,Gabriel
10,0,0,0,40,Sub,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446708,0,0,0,0,0,0.02802002802491188,0.02802002802491188,Gabriel
11,0,0,0,64,DC,Arsenal,Southampton,1,1,2020-12-16,14555,2020,434820,0.030623579397797585,0,1,0,0,0.44434618949890137,0.44434618949890137,Gabriel
12,0,3,0.439365416765213,90,DC,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434056,0,0,0,0,0.439365416765213,0.5393447279930115,0.5249113440513611,Gabriel
13,0,0,0,90,DC,Tottenham,Arsenal,2,0,2020-12-06,14542,2020,432189,0,0,0,0,0,0.15266044437885284,0.15266044437885284,Gabriel
14,1,1,0.06681899726390839,90,DC,Arsenal,Wolverhampton Wanderers,1,2,2020-11-29,14525,2020,430661,0,0,0,1,0.06681899726390839,0.43396851420402527,0.43396851420402527,Gabriel
15,0,1,0.060162242501974106,90,DC,Leeds,Arsenal,0,0,2020-11-22,14518,2020,428835,0,0,0,0,0.060162242501974106,0,0,Gabriel
16,0,0,0,90,DC,Arsenal,Aston Villa,0,3,2020-11-08,14505,2020,427376,0,0,0,0,0,0.23957708477973938,0.23957708477973938,Gabriel
17,0,0,0,90,DC,Manchester United,Arsenal,0,1,2020-11-01,14500,2020,425374,0,0,0,0,0,0,0,Gabriel
18,0,2,0.16573648154735565,90,DC,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423810,0,0,0,0,0.16573648154735565,0.274532675743103,0.274532675743103,Gabriel
19,0,2,0.09467636048793793,90,DC,Manchester City,Arsenal,1,0,2020-10-17,14480,2020,421382,0,0,0,0,0.09467636048793793,0.04690073803067207,0.04690073803067207,Gabriel
20,0,0,0,90,DC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420287,0,0,0,0,0,0.1483873575925827,0.1483873575925827,Gabriel
21,0,0,0,90,DC,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416052,0,0,0,0,0,0.5281943678855896,0.5281943678855896,Gabriel
22,1,1,0.5060973167419434,90,DC,Fulham,Arsenal,0,3,2020-09-12,14086,2020,414517,0,0,0,1,0.5060973167419434,0.3469330966472626,0.3469330966472626,Gabriel
