,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.09616385400295258,28,Sub,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473334,0.07163763046264648,0,1,0,0.09616385400295258,0.16780148446559906,0,Grady Diangana
1,0,1,0.020731212571263313,18,Sub,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472580,0,0,0,0,0.020731212571263313,0.020731212571263313,0,Grady Diangana
2,0,0,0,78,ML,West Bromwich Albion,Liverpool,1,2,2021-05-16,14789,2020,471479,0,0,0,0,0,0,0,Grady Diangana
3,0,0,0,21,Sub,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469656,0,0,0,0,0,0,0,Grady Diangana
4,0,0,0,14,Sub,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452268,0,0,0,0,0,0,0,Grady Diangana
5,0,0,0,48,ML,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439287,0,0,0,0,0,0,0,Grady Diangana
6,0,1,0.3641103506088257,75,ML,West Bromwich Albion,Leeds,0,5,2020-12-29,14590,2020,438466,0,0,0,0,0.3641103506088257,0.3641103506088257,0,Grady Diangana
7,0,1,0.048126064240932465,90,ML,Liverpool,West Bromwich Albion,1,1,2020-12-27,14580,2020,438289,0,0,0,0,0.048126064240932465,0.048126064240932465,0,Grady Diangana
8,0,0,0,80,ML,West Bromwich Albion,Aston Villa,0,3,2020-12-20,14574,2020,436972,0,0,0,0,0,0,0,Grady Diangana
9,0,0,0,90,ML,Manchester City,West Bromwich Albion,1,1,2020-12-15,14564,2020,434461,0,0,0,0,0,0.020235497504472733,0.020235497504472733,Grady Diangana
10,0,0,0,48,FW,West Bromwich Albion,Crystal Palace,1,5,2020-12-06,14543,2020,431730,0,0,0,0,0,0.10545039176940918,0.10545039176940918,Grady Diangana
11,0,1,0.04263712838292122,63,ML,Manchester United,West Bromwich Albion,1,0,2020-11-21,14520,2020,428288,0,0,0,0,0.04263712838292122,0.06406554579734802,0.021428415551781654,Grady Diangana
12,0,0,0,22,Sub,West Bromwich Albion,Tottenham,0,1,2020-11-08,14513,2020,426732,0,0,0,0,0,0,0,Grady Diangana
13,0,2,0.07241334021091461,90,ML,Fulham,West Bromwich Albion,2,0,2020-11-02,14497,2020,425651,0,0,0,0,0.07241334021091461,0.07241334021091461,0,Grady Diangana
14,0,0,0,64,ML,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423981,0.025740427896380424,0,1,0,0,0.04773491621017456,0.021994486451148987,Grady Diangana
15,0,1,0.04332561790943146,90,ML,West Bromwich Albion,Burnley,0,0,2020-10-19,14484,2020,422353,0.027302639558911324,0,1,0,0.04332561790943146,0.16549944877624512,0.16549944877624512,Grady Diangana
16,0,1,0.040861185640096664,90,AML,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419975,0,0,0,0,0.040861185640096664,0,0,Grady Diangana
17,0,2,0.140981525182724,76,ML,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417593,0.01959310844540596,0,1,0,0.140981525182724,0.16057464480400085,0,Grady Diangana
18,1,2,0.08824430406093597,74,ML,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415592,0,0,0,1,0.08824430406093597,0.19807426631450653,0.10982996970415115,Grady Diangana
19,0,1,0.1402267962694168,90,ML,West Bromwich Albion,Leicester,0,3,2020-09-13,14092,2020,414985,0.017775053158402443,0,1,0,0.1402267962694168,0.1944541186094284,0.17667905986309052,Grady Diangana
