goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,3,0.06718121469020844,90,DMC,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473509,0.12550529837608337,0,3,0,0.06718121469020844,0.36129242181777954,0.32839661836624146,Granit Xhaka
0,0,0,9,Sub,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472541,0,0,0,0,0,0.7641816735267639,0.7641816735267639,Granit Xhaka
0,2,0.03942517936229706,90,DL,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467623,0,0,0,0,0.03942517936229706,0.3222951591014862,0.2969544231891632,Granit Xhaka
0,0,0,90,DL,Arsenal,Everton,0,1,2021-04-23,14755,2020,465037,0.05279296636581421,0,1,0,0,0.06895735114812851,0.06895735114812851,Granit Xhaka
0,1,0.014526739716529846,90,DL,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463319,0,0,0,0,0.014526739716529846,0.8237623572349548,0.8237623572349548,Granit Xhaka
0,0,0,90,DL,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462221,0,0,0,0,0,0.8844937682151794,0.8844937682151794,Granit Xhaka
0,0,0,76,DMC,West Ham,Arsenal,3,3,2021-03-21,14724,2020,458723,0.020775318145751953,0,1,0,0,0.21256698668003082,0.21256698668003082,Granit Xhaka
0,1,0.015314947813749313,90,DMC,Arsenal,Tottenham,2,1,2021-03-14,14705,2020,457190,0,0,0,0,0.015314947813749313,0.11877088248729706,0.10345593094825745,Granit Xhaka
0,0,0,90,DMC,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454389,0.07081128656864166,0,1,0,0,0.5897933840751648,0.5897933840751648,Granit Xhaka
0,0,0,90,DMC,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452715,0.0610850490629673,0,1,0,0,0.29933544993400574,0.29933544993400574,Granit Xhaka
0,0,0,90,DMC,Arsenal,Manchester City,0,1,2021-02-21,14675,2020,451424,0.06845704466104507,0,2,0,0,0.11787275224924088,0.10195108503103256,Granit Xhaka
0,0,0,90,DMC,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449791,0.1763027310371399,1,2,0,0,0.7610105872154236,0.5847078561782837,Granit Xhaka
