,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,4,0.43679460883140564,29,Sub,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473335,0,0,0,1,0.43679460883140564,0.3558218777179718,0,Hal Robson-Kanu
1,0,2,0.12438757717609406,90,FW,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472578,0.06562459468841553,0,2,0,0.12438757717609406,0.19001217186450958,0,Hal Robson-Kanu
2,1,3,0.8165062665939331,87,FW,West Bromwich Albion,Liverpool,1,2,2021-05-16,14789,2020,471481,0.04381445050239563,0,1,1,0.8165062665939331,0.8603206872940063,0,Hal Robson-Kanu
3,0,0,0,33,Sub,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469657,0,0,0,0,0,0.4688952565193176,0.4688952565193176,Hal Robson-Kanu
4,0,0,0,27,Sub,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464880,0,0,0,0,0,0,0,Hal Robson-Kanu
5,0,0,0,11,Sub,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462365,0,0,0,0,0,0,0,Hal Robson-Kanu
6,0,0,0,25,Sub,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456359,0,0,0,0,0,0.047224774956703186,0.047224774956703186,Hal Robson-Kanu
7,0,0,0,5,Sub,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,454999,0,0,0,0,0,0,0,Hal Robson-Kanu
8,0,0,0,11,Sub,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454204,0.1052483469247818,0,1,0,0,0.1052483469247818,0,Hal Robson-Kanu
9,0,0,0,3,Sub,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452269,0,0,0,0,0,0,0,Hal Robson-Kanu
10,0,0,0,20,Sub,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446738,0,0,0,0,0,0,0,Hal Robson-Kanu
11,0,0,0,23,Sub,West Bromwich Albion,Manchester City,0,5,2021-01-26,14629,2020,445047,0,0,0,0,0,0,0,Hal Robson-Kanu
12,0,0,0,8,Sub,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443181,0,0,0,0,0,0,0,Hal Robson-Kanu
13,0,0,0,20,Sub,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442098,0,0,0,0,0,0,0,Hal Robson-Kanu
14,0,1,0.03711637109518051,23,Sub,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429950,0,0,0,0,0.03711637109518051,0.09969161450862885,0.06257524341344833,Hal Robson-Kanu
15,0,0,0,27,Sub,Manchester United,West Bromwich Albion,1,0,2020-11-21,14520,2020,428292,0,0,0,0,0,0.026951130479574203,0.026951130479574203,Hal Robson-Kanu
16,0,1,0.01633552275598049,29,Sub,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419979,0,0,0,0,0.01633552275598049,0.01633552275598049,0,Hal Robson-Kanu
17,0,1,0.04716591164469719,22,Sub,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417597,0.028762802481651306,0,1,0,0.04716591164469719,0.0759287178516388,0.028762802481651306,Hal Robson-Kanu
18,0,1,0.017775053158402443,29,Sub,West Bromwich Albion,Leicester,0,3,2020-09-13,14092,2020,414989,0,0,0,0,0.017775053158402443,0.017775053158402443,0,Hal Robson-Kanu
