,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DMC,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473356,0,0,0,0,0,0.1023605614900589,0.1023605614900589,Harry Winks
1,0,1,0.013999978080391884,78,DMC,Tottenham,Aston Villa,1,2,2021-05-19,14803,2020,472465,0,0,0,0,0.013999978080391884,0.11148379743099213,0.11148379743099213,Harry Winks
2,0,0,0,20,Sub,Tottenham,Wolverhampton Wanderers,2,0,2021-05-16,14793,2020,471456,0.023652594536542892,0,1,0,0,0.023652594536542892,0.023652594536542892,Harry Winks
3,0,0,0,17,Sub,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467830,0,0,0,0,0,0.1746852546930313,0.1746852546930313,Harry Winks
4,0,0,0,16,Sub,Tottenham,Southampton,2,1,2021-04-21,14722,2020,464291,0,0,0,0,0,0,0,Harry Winks
5,0,0,0,72,DMC,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455401,0,0,0,0,0,0.48621875047683716,0.48621875047683716,Harry Winks
6,0,0,0,40,Sub,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445241,0,0,0,0,0,0,0,Harry Winks
7,0,2,0.02877591922879219,76,DMC,Tottenham,Fulham,1,1,2021-01-13,14589,2020,441935,0.08030308783054352,0,1,0,0.02877591922879219,1.2134466171264648,1.2134466171264648,Harry Winks
8,0,1,0.018695447593927383,77,DMC,Tottenham,Leeds,3,0,2021-01-02,14599,2020,438902,0.06542887538671494,0,1,0,0.018695447593927383,0.1330668330192566,0.04894251003861427,Harry Winks
9,0,0,0,90,MC,Wolverhampton Wanderers,Tottenham,1,1,2020-12-27,14584,2020,438314,0,0,0,0,0,0,0,Harry Winks
10,0,0,0,23,Sub,Tottenham,Leicester,0,2,2020-12-20,14573,2020,436736,0,0,0,0,0,0,0,Harry Winks
11,0,0,0,15,Sub,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422057,0,0,0,0,0,0,0,Harry Winks
12,0,0,0,90,DMC,Tottenham,Newcastle United,1,1,2020-09-27,14111,2020,418041,0.0205964595079422,0,1,0,0,1.1664574146270752,1.1458609104156494,Harry Winks
13,0,0,0,90,MC,Southampton,Tottenham,2,5,2020-09-20,14100,2020,416220,0,0,0,0,0,0,0,Harry Winks
14,0,0,0,60,DMC,Tottenham,Everton,0,1,2020-09-13,14093,2020,415125,0,0,0,0,0,0.33387234807014465,0.33387234807014465,Harry Winks
