,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.07600171864032745,90,DC,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460237,0,0,0,0,0.07600171864032745,0.28491801023483276,0.28491801023483276,Jamaal Lascelles
1,0,0,0,90,DC,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458338,0,0,0,0,0,0.07740829139947891,0.07740829139947891,Jamaal Lascelles
2,1,2,0.20415908098220825,90,DC,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455938,0,0,0,1,0.20415908098220825,0.3370201885700226,0.14736083149909973,Jamaal Lascelles
3,0,1,0.010299392975866795,90,DC,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,455003,0,0,0,0,0.010299392975866795,0,0,Jamaal Lascelles
4,1,1,0.11369600892066956,90,DC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452588,0,0,0,1,0.11369600892066956,0.8486495018005371,0.8486495018005371,Jamaal Lascelles
5,0,0,0,90,DC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451555,0,0,0,0,0,0,0,Jamaal Lascelles
6,0,2,0.06387478858232498,90,DC,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450121,0.0463670939207077,0,1,0,0.06387478858232498,0.0463670939207077,0,Jamaal Lascelles
7,0,0,0,57,DC,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445395,0,0,0,0,0,0,0,Jamaal Lascelles
8,0,4,0.11527013033628464,90,DC,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444954,0.02051568403840065,0,1,0,0.11527013033628464,0.5303339958190918,0.5098183155059814,Jamaal Lascelles
9,0,1,0.04821682721376419,90,DC,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444399,0,0,0,0,0.04821682721376419,0,0,Jamaal Lascelles
10,0,1,0.011511257849633694,90,DC,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443050,0,0,0,0,0.011511257849633694,0,0,Jamaal Lascelles
11,0,0,0,47,DC,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427647,0,0,0,0,0,0,0,Jamaal Lascelles
12,0,1,0.042982444167137146,90,DC,Southampton,Newcastle United,2,0,2020-11-06,14512,2020,425997,0,0,0,0,0.042982444167137146,0.03150734677910805,0.03150734677910805,Jamaal Lascelles
13,0,1,0.07068151235580444,90,DC,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425186,0,0,0,0,0.07068151235580444,0,0,Jamaal Lascelles
14,0,0,0,89,DC,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25,14494,2020,423708,0,0,0,0,0,0.017187360674142838,0.017187360674142838,Jamaal Lascelles
15,0,0,0,90,DC,Newcastle United,Manchester United,1,4,2020-10-17,14481,2020,421455,0,0,0,0,0,0,0,Jamaal Lascelles
16,0,0,0,90,DC,Tottenham,Newcastle United,1,1,2020-09-27,14111,2020,418053,0,0,0,0,0,0.053926028311252594,0.053926028311252594,Jamaal Lascelles
17,0,1,0.008661670610308647,90,DC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416323,0,0,0,0,0.008661670610308647,0.053897418081760406,0.053897418081760406,Jamaal Lascelles
18,0,0,0,90,DC,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414750,0,0,0,0,0,0.32523462176322937,0.32523462176322937,Jamaal Lascelles
