,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.014899364672601223,90,MC,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,444985,0.01721307635307312,0,1,0,0.014899364672601223,0.21740777790546417,0.20250840485095978,James McArthur
1,0,0,0,90,MC,Manchester City,Crystal Palace,4,0,2021-01-17,14621,2020,442939,0.00744904950261116,0,1,0,0,0.00744904950261116,0,James McArthur
2,0,1,0.12638123333454132,90,MC,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441977,0,0,0,0,0.12638123333454132,0.09261831641197205,0.09261831641197205,James McArthur
3,0,0,0,90,MC,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439112,0.1571195423603058,1,2,0,0,0.30060088634490967,0.20755888521671295,James McArthur
4,0,0,0,15,Sub,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438334,0,0,0,0,0,0,0,James McArthur
5,0,0,0,79,MC,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438121,0.08040621876716614,0,1,0,0,0.08040621876716614,0.08040621876716614,James McArthur
6,0,0,0,77,MC,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435743,0,0,0,0,0,0,0,James McArthur
7,0,0,0,90,MC,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435386,0,0,0,0,0,0.18777821958065033,0.18777821958065033,James McArthur
8,0,0,0,90,MC,Crystal Palace,Tottenham,1,1,2020-12-13,14545,2020,433765,0.46000027656555176,0,1,0,0,0.06846833974123001,0.06846833974123001,James McArthur
9,0,0,0,75,MC,West Bromwich Albion,Crystal Palace,1,5,2020-12-06,14543,2020,431741,0.08229732513427734,1,1,0,0,0.9152415990829468,0.8329442739486694,James McArthur
10,0,0,0,83,DMC,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429234,0.1048961952328682,0,2,0,0,0.14306873083114624,0.03817253187298775,James McArthur
11,0,2,0.054534681141376495,90,MC,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429101,0.04691144824028015,0,2,0,0.054534681141376495,0.12313728779554367,0.021691160276532173,James McArthur
12,0,0,0,90,MC,Crystal Palace,Leeds,4,1,2020-11-07,14508,2020,426317,0,0,0,0,0,0.40372511744499207,0.40372511744499207,James McArthur
13,0,0,0,90,MC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421908,0,0,0,0,0,0,0,James McArthur
14,0,1,0.020112819969654083,73,MC,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419267,0.06430080533027649,0,2,0,0.020112819969654083,0.08441362529993057,0,James McArthur
15,0,0,0,90,MC,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417377,0.08261279761791229,0,1,0,0,0.08261279761791229,0,James McArthur
16,0,0,0,90,MC,Manchester United,Crystal Palace,1,3,2020-09-19,14098,2020,415922,0,0,0,0,0,0.12151166796684265,0.12151166796684265,James McArthur
17,0,1,0.06632621586322784,90,MC,Crystal Palace,Southampton,1,0,2020-09-12,14087,2020,414566,0.41716399788856506,0,1,0,0.06632621586322784,0.41716399788856506,0,James McArthur
