goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,7,Sub,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473377,0,0,0,0,0,0,0,James Milner
0,0,0,2,Sub,Burnley,Liverpool,0,3,2021-05-19,14796,2020,472567,0,0,0,0,0,0,0,James Milner
0,2,0.030958181247115135,30,Sub,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465133,0,0,0,0,0.030958181247115135,0.02324567176401615,0.02324567176401615,James Milner
0,2,0.04391377419233322,90,MC,Leeds,Liverpool,1,1,2021-04-19,14749,2020,463996,0,0,0,0,0.04391377419233322,0.03764170780777931,0.014847059734165668,James Milner
0,1,0.02157352864742279,90,MC,Liverpool,Aston Villa,2,1,2021-04-10,14739,2020,461185,0.0490451455116272,0,1,0,0.02157352864742279,0.17228612303733826,0.15071259438991547,James Milner
0,2,0.10410603880882263,90,MC,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459964,0.0984107255935669,0,1,0,0.10410603880882263,0.7344159483909607,0.6303099393844604,James Milner
0,0,0,21,Sub,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457447,0.040296003222465515,0,1,0,0,0.040296003222465515,0,James Milner
0,1,0.05402810499072075,77,MC,Liverpool,Fulham,0,1,2021-03-07,14699,2020,455139,0,0,0,0,0.05402810499072075,0.3098519444465637,0.2558238208293915,James Milner
0,0,0,9,Sub,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454261,0,0,0,0,0,0,0,James Milner
0,0,0,14,Sub,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453350,0,0,0,0,0,0.0312390998005867,0.0312390998005867,James Milner
0,0,0,16,MC,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448841,0,0,0,0,0,0,0,James Milner
0,0,0,20,Sub,Liverpool,Manchester City,1,4,2021-02-07,14659,2020,448448,0,0,0,0,0,0,0,James Milner
0,1,0.02005123905837536,90,MC,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447192,0,0,0,0,0.02005123905837536,0.7767573595046997,0.7567061185836792,James Milner
0,0,0,58,MC,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446434,0,0,0,0,0,0.6306028962135315,0.6306028962135315,James Milner
0,0,0,90,MC,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445250,0.1318928450345993,0,4,0,0,0.5897606015205383,0.45786771178245544,James Milner
0,0,0,1,Sub,Liverpool,Manchester United,0,0,2021-01-17,14620,2020,442842,0,0,0,0,0,0,0,James Milner
0,0,0,9,Sub,Southampton,Liverpool,1,0,2021-01-04,14598,2020,439935,0,0,0,0,0,0,0,James Milner
0,2,0.029006030410528183,74,MC,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438743,0,0,0,0,0.029006030410528183,0.31155359745025635,0.2971617579460144,James Milner
0,0,0,76,MC,Brighton,Liverpool,1,1,2020-11-28,14528,2020,429367,0,0,0,0,0,0,0,James Milner
0,1,0.05293690413236618,90,DR,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428940,0.451474130153656,1,5,0,0.05293690413236618,1.4549638032913208,1.0643103122711182,James Milner
0,0,0,24,Sub,Manchester City,Liverpool,1,1,2020-11-08,14511,2020,427256,0,0,0,0,0,0,0,James Milner
0,0,0,1,Sub,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424654,0,0,0,0,0,0,0,James Milner
0,0,0,4,Sub,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423223,0,0,0,0,0,0.09695218503475189,0.09695218503475189,James Milner
0,0,0,19,Sub,Aston Villa,Liverpool,7,2,2020-10-04,14466,2020,420660,0.019440678879618645,0,1,0,0,0.09191205352544785,0.09191205352544785,James Milner
0,0,0,10,Sub,Liverpool,Arsenal,3,1,2020-09-28,14115,2020,418705,0,0,0,0,0,0.3835660517215729,0.3835660517215729,James Milner
0,0,0,25,Sub,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427519,0,0,0,0,0,0,0,James Milner
