goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
2,3,1.5890601873397827,90,FW,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473346,0,0,0,0,0.06672249734401703,0.06672249734401703,0,Jamie Vardy
0,2,0.16136696934700012,90,FW,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472429,0,0,0,0,0.16136696934700012,0.06503218412399292,0.017802270129323006,Jamie Vardy
0,0,0,81,FW,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469919,0,0,0,0,0,0,0,Jamie Vardy
0,4,0.535102128982544,90,FW,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468275,0.13429208099842072,1,3,0,0.535102128982544,0.6693941950798035,0,Jamie Vardy
0,2,0.4843430519104004,90,FW,Southampton,Leicester,1,1,2021-04-30,14772,2020,466702,0.07388801127672195,0,1,0,0.4843430519104004,0.7399041652679443,0.181673064827919,Jamie Vardy
0,3,0.4125504195690155,90,FW,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466537,0,0,0,0,0.4125504195690155,0.4125504195690155,0.27115416526794434,Jamie Vardy
1,4,0.6650213003158569,87,FW,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464863,0.6170768141746521,1,2,1,0.6650213003158569,1.2236706018447876,0.5732000470161438,Jamie Vardy
0,2,0.09114041924476624,90,FW,West Ham,Leicester,3,2,2021-04-11,14744,2020,461895,0.08922247588634491,0,1,0,0.09114041924476624,0.15587866306304932,0.06473825126886368,Jamie Vardy
0,0,0,90,FW,Leicester,Manchester City,0,2,2021-04-03,14730,2020,459864,0,0,0,0,0,0.24975702166557312,0.24975702166557312,Jamie Vardy
0,5,1.3911136388778687,90,FW,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456871,2.003427505493164,2,4,0,1.3911136388778687,3.468851089477539,0.0743100717663765,Jamie Vardy
0,1,0.07801053673028946,90,FW,Brighton,Leicester,1,2,2021-03-06,14696,2020,454924,0.02079845406115055,0,1,0,0.07801053673028946,0.09880899637937546,0,Jamie Vardy
0,1,0.059578292071819305,90,FW,Burnley,Leicester,1,1,2021-03-03,14716,2020,453778,0,0,0,0,0.059578292071819305,0.12159865349531174,0.06202036142349243,Jamie Vardy
0,0,0,90,FW,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452705,0,0,0,0,0,0,0,Jamie Vardy
0,3,0.22860805690288544,90,FW,Aston Villa,Leicester,1,2,2021-02-21,14676,2020,451171,0,0,0,0,0.22860805690288544,0.24863161146640778,0.08262831717729568,Jamie Vardy
1,5,1.3955789804458618,90,FW,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448831,0,0,0,1,1.3955789804458618,1.3955789804458618,0,Jamie Vardy
0,1,0.05881128087639809,28,Sub,Wolverhampton Wanderers,Leicester,0,0,2021-02-07,14664,2020,448343,0,0,0,0,0.05881128087639809,0,0,Jamie Vardy
0,1,0.3082246482372284,90,FW,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443281,0.30309951305389404,0,1,0,0.3082246482372284,0.6113241314888,0,Jamie Vardy
0,7,0.8403332233428955,90,FW,Leicester,Southampton,2,0,2021-01-16,14619,2020,442486,0,0,0,0,0.8403332233428955,0.8403332233428955,0,Jamie Vardy
0,0,0,90,FW,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439635,0.403274267911911,1,2,0,0,0.4668355882167816,0.06356130540370941,Jamie Vardy
0,0,0,23,Sub,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438348,0,0,0,0,0,0.10489729046821594,0.10489729046821594,Jamie Vardy
0,3,0.2228384166955948,90,FW,Leicester,Manchester United,2,2,2020-12-26,14579,2020,438058,0,0,0,0,0.2228384166955948,0.2228384166955948,0,Jamie Vardy
1,6,1.2272257804870605,90,FW,Tottenham,Leicester,0,2,2020-12-20,14573,2020,436748,0.14399509131908417,0,2,0,0.4660569727420807,0.5784987211227417,0.04942917823791504,Jamie Vardy
