goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.020702321082353592,90,DC,West Ham,Southampton,3,0,2021-05-23,14813,2020,473464,0,0,0,0,0.020702321082353592,0.6057946681976318,0.6057946681976318,Jan Bednarek
0,0,0,48,DC,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,469987,0,0,0,0,0,0.07146742194890976,0.07146742194890976,Jan Bednarek
0,0,0,90,DC,Liverpool,Southampton,2,0,2021-05-08,14780,2020,469008,0,0,0,0,0,0.8117491602897644,0.8117491602897644,Jan Bednarek
0,0,0,90,DC,Southampton,Leicester,1,1,2021-04-30,14772,2020,466681,0,0,0,0,0,0.021167626604437828,0.021167626604437828,Jan Bednarek
0,0,0,90,DC,Tottenham,Southampton,2,1,2021-04-21,14722,2020,464295,0,0,0,0,0,0.07103905826807022,0.07103905826807022,Jan Bednarek
0,0,0,90,DC,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462369,0,0,0,0,0,0.21140997111797333,0.21140997111797333,Jan Bednarek
0,0,0,90,DC,Southampton,Burnley,3,2,2021-04-04,14733,2020,460032,0.05210043489933014,0,1,0,0,0.7598209381103516,0.7598209381103516,Jan Bednarek
0,0,0,90,DC,Southampton,Brighton,1,2,2021-03-14,14713,2020,456743,0,0,0,0,0,0.0957532674074173,0.0957532674074173,Jan Bednarek
0,0,0,90,DC,Manchester City,Southampton,5,2,2021-03-10,14761,2020,455774,0,0,0,0,0,0.010723380371928215,0.010723380371928215,Jan Bednarek
0,0,0,90,DC,Sheffield United,Southampton,0,2,2021-03-06,14701,2020,454650,0,0,0,0,0,0.5223028659820557,0.5223028659820557,Jan Bednarek
0,0,0,90,DR,Everton,Southampton,1,0,2021-03-01,14686,2020,453453,0,0,0,0,0,0.06498685479164124,0.06498685479164124,Jan Bednarek
0,0,0,90,DR,Leeds,Southampton,3,0,2021-02-23,14608,2020,451761,0.45751050114631653,0,1,0,0,0.48683008551597595,0.48683008551597595,Jan Bednarek
0,1,0.049979373812675476,90,DR,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450491,0,0,0,0,0.049979373812675476,0.34414616227149963,0.34414616227149963,Jan Bednarek
0,0,0,90,DC,Southampton,Wolverhampton Wanderers,1,2,2021-02-14,14672,2020,449436,0,0,0,0,0,0.3306220769882202,0.3306220769882202,Jan Bednarek
0,1,0.06117832660675049,90,DC,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447679,0,0,0,0,0.06117832660675049,0.35157907009124756,0.35157907009124756,Jan Bednarek
0,0,0,88,DC,Manchester United,Southampton,9,0,2021-02-02,14651,2020,446755,0,0,0,0,0,0,0,Jan Bednarek
