,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,10,Sub,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,470009,0,0,0,0,0,0,0,Jean-Philippe Mateta
1,0,0,0,23,Sub,Crystal Palace,Manchester City,0,2,2021-05-01,14768,2020,466836,0,0,0,0,0,0,0,Jean-Philippe Mateta
2,0,1,0.06739218533039093,11,Sub,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460637,0,0,0,0,0.06739218533039093,0.06739218533039093,0,Jean-Philippe Mateta
3,0,1,0.08042054623365402,14,Sub,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455420,0,0,0,0,0.08042054623365402,0,0,Jean-Philippe Mateta
4,1,1,0.11963445693254471,76,FW,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451710,0,0,0,1,0.11963445693254471,0.11963445693254471,0,Jean-Philippe Mateta
5,0,1,0.05798369646072388,13,Sub,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449037,0,0,0,0,0.05798369646072388,0.05798369646072388,0,Jean-Philippe Mateta
6,0,0,0,66,FW,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448694,0.016295328736305237,0,1,0,0,0.1523461639881134,0.13605083525180817,Jean-Philippe Mateta
7,0,1,0.025982873514294624,12,Sub,Mainz 05,Eintracht Frankfurt,0,2,2021-01-09,15272,2020,440739,0,0,0,0,0.025982873514294624,0,0,Jean-Philippe Mateta
8,0,0,0,9,Sub,Bayern Munich,Mainz 05,5,2,2021-01-03,15257,2020,439754,0,0,0,0,0,0,0,Jean-Philippe Mateta
9,0,0,0,79,FW,Mainz 05,Werder Bremen,0,1,2020-12-19,15255,2020,435895,0,0,0,0,0,0,0,Jean-Philippe Mateta
10,0,0,0,10,Sub,Hertha Berlin,Mainz 05,0,0,2020-12-15,15239,2020,434405,0.02439802698791027,0,1,0,0,0.02439802698791027,0,Jean-Philippe Mateta
11,0,2,0.6238664984703064,90,FW,Mainz 05,FC Cologne,0,1,2020-12-12,15237,2020,432906,0,0,0,0,0.6238664984703064,0.611486554145813,0.043299175798892975,Jean-Philippe Mateta
12,0,2,1.3302083015441895,90,FW,Arminia Bielefeld,Mainz 05,2,1,2020-12-05,15229,2020,431186,0.011990473605692387,0,1,0,1.3302083015441895,1.4522160291671753,0.11001727730035782,Jean-Philippe Mateta
13,0,3,0.4876736104488373,90,FW,Mainz 05,Hoffenheim,1,1,2020-11-29,15218,2020,430577,0.05496599152684212,0,1,0,0.4876736104488373,1.127994418144226,0.6758894324302673,Jean-Philippe Mateta
14,3,6,2.2794618606567383,83,FW,Freiburg,Mainz 05,1,3,2020-11-22,15210,2020,428720,0.06709080189466476,0,1,3,2.2794618606567383,2.3780877590179443,0.03153511509299278,Jean-Philippe Mateta
15,1,6,2.0029642581939697,83,FW,Mainz 05,Schalke 04,2,2,2020-11-07,15198,2020,426195,0.018436914309859276,0,1,0,1.245187520980835,1.2535990476608276,0.018436914309859276,Jean-Philippe Mateta
16,0,0,0,58,FW,Augsburg,Mainz 05,3,1,2020-10-31,15187,2020,424426,0,0,0,0,0,0,0,Jean-Philippe Mateta
17,2,2,0.7061184644699097,90,FW,Mainz 05,Borussia M.Gladbach,2,3,2020-10-24,15178,2020,422676,0.41102132201194763,0,3,2,0.7061184644699097,1.535585641860962,0.4184458553791046,Jean-Philippe Mateta
18,0,0,0,78,FW,Mainz 05,Bayer Leverkusen,0,1,2020-10-17,15171,2020,421075,0.0638471394777298,0,2,0,0,0.0638471394777298,0,Jean-Philippe Mateta
19,0,2,0.0635165348649025,60,FW,Union Berlin,Mainz 05,4,0,2020-10-02,15158,2020,419123,0,0,0,0,0.0635165348649025,0.04599597677588463,0,Jean-Philippe Mateta
20,0,2,0.08354659378528595,86,FW,Mainz 05,VfB Stuttgart,1,4,2020-09-26,14183,2020,417349,0.6944307088851929,1,2,0,0.08354659378528595,0.6944307088851929,0,Jean-Philippe Mateta
21,1,2,0.8108201026916504,90,FW,RasenBallsport Leipzig,Mainz 05,3,1,2020-09-20,14180,2020,416494,0,0,0,1,0.8108201026916504,0.3178577423095703,0,Jean-Philippe Mateta
