goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.024282965809106827,90,DC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473421,0,0,0,0,0.024282965809106827,0.020060213282704353,0.020060213282704353,John Egan
0,1,0.015609106048941612,90,DC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472447,0.0619681254029274,0,1,0,0.015609106048941612,0.08105320483446121,0.08105320483446121,John Egan
0,2,0.05346587672829628,90,DC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471888,0,0,0,0,0.05346587672829628,0.017646947875618935,0.017646947875618935,John Egan
0,1,0.053669922053813934,90,DC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468689,0,0,0,0,0.053669922053813934,0.43903848528862,0.43903848528862,John Egan
0,0,0,90,DC,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467832,0,0,0,0,0,0.11768437922000885,0.11768437922000885,John Egan
0,0,0,90,DC,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465653,0,0,0,0,0,0,0,John Egan
0,0,0,90,DC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463115,0,0,0,0,0,0.061316799372434616,0.061316799372434616,John Egan
0,2,0.07385778427124023,90,DC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462205,0,0,0,0,0.07385778427124023,0.12565210461616516,0.09513957053422928,John Egan
0,0,0,9,Sub,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459669,0,0,0,0,0,0,0,John Egan
0,0,0,88,DC,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450035,0,0,0,0,0,0.03992612659931183,0.03992612659931183,John Egan
0,0,0,90,DC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448526,0,0,0,0,0,0,0,John Egan
0,0,0,90,DC,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446712,0.49005675315856934,1,1,0,0,0.7805708646774292,0.29051411151885986,John Egan
0,0,0,90,DC,Manchester City,Sheffield United,1,0,2021-01-30,14642,2020,445637,0,0,0,0,0,0.040355134755373,0.040355134755373,John Egan
0,0,0,90,DC,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442743,0,0,0,0,0,0.0724790096282959,0.0724790096282959,John Egan
0,0,0,90,DC,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441789,0,0,0,0,0,0.2904892563819885,0.2904892563819885,John Egan
0,0,0,90,DC,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439120,0,0,0,0,0,0.048733070492744446,0.048733070492744446,John Egan
0,1,0.01852375827729702,90,DC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438417,0,0,0,0,0.01852375827729702,0.24728649854660034,0.22876274585723877,John Egan
0,2,0.08287036418914795,90,DC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438157,0,0,0,0,0.08287036418914795,0,0,John Egan
0,0,0,90,DC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436432,0,0,0,0,0,0.09403901547193527,0.09403901547193527,John Egan
0,1,0.03633948788046837,90,DC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435621,0,0,0,0,0.03633948788046837,0.196233332157135,0.15989384055137634,John Egan
0,1,0.07843494415283203,90,DC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433447,0,0,0,0,0.07843494415283203,0,0,John Egan
0,0,0,90,DC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432026,0,0,0,0,0,0.010452328249812126,0.010452328249812126,John Egan
0,0,0,90,DC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429952,0,0,0,0,0,0.38977792859077454,0.38977792859077454,John Egan
0,0,0,90,DC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428523,0.06658007949590683,0,1,0,0,0.08711616694927216,0.020536093041300774,John Egan
0,0,0,90,DC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426501,0,0,0,0,0,0,0,John Egan
0,0,0,90,DC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424224,0,0,0,0,0,0.5717115998268127,0.5717115998268127,John Egan
0,1,0.01517111249268055,90,DC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423225,0,0,0,0,0.01517111249268055,0.17061497271060944,0.17061497271060944,John Egan
0,0,0,90,DC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421663,0,0,0,0,0,0.42931506037712097,0.42931506037712097,John Egan
0,0,0,90,DC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420299,0,0,0,0,0,0.007857529446482658,0.007857529446482658,John Egan
0,0,0,11,DC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416904,0,0,0,0,0,0,0,John Egan
0,1,0.03902285918593407,90,DC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415301,0,0,0,0,0.03902285918593407,0.047630708664655685,0.047630708664655685,John Egan
