goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,9,Sub,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468699,0,0,0,0,0,0,0,John Lundstram
0,0,0,8,Sub,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465663,0,0,0,0,0,0,0,John Lundstram
0,0,0,90,MC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462209,0,0,0,0,0,0.09513957053422928,0.09513957053422928,John Lundstram
0,0,0,90,MC,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459664,0,0,0,0,0,0.10851716250181198,0.10851716250181198,John Lundstram
0,0,0,90,MC,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456880,0,0,0,0,0,0,0,John Lundstram
0,1,0.016641775146126747,90,MC,Sheffield United,Southampton,0,2,2021-03-06,14701,2020,454639,0.0649862140417099,0,1,0,0.016641775146126747,0.0816279873251915,0.0649862140417099,John Lundstram
0,0,0,90,MC,Sheffield United,Aston Villa,1,0,2021-03-03,14721,2020,453788,0,0,0,0,0,0.12837307155132294,0.12837307155132294,John Lundstram
0,0,0,90,MC,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453330,0,0,0,0,0,0.5462313294410706,0.5462313294410706,John Lundstram
0,0,0,75,MC,Fulham,Sheffield United,1,0,2021-02-20,14679,2020,450987,0,0,0,0,0,0,0,John Lundstram
0,1,0.027497196570038795,90,MC,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450040,0,0,0,0,0.027497196570038795,0.8322682976722717,0.8047710657119751,John Lundstram
0,1,0.018530044704675674,90,MC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448531,0,0,0,0,0.018530044704675674,0.04680105298757553,0.028271010145545006,John Lundstram
0,1,0.09141948819160461,90,MC,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446717,0.0720282644033432,0,2,0,0.09141948819160461,0.4819068908691406,0.390487402677536,John Lundstram
0,0,0,90,MC,Manchester City,Sheffield United,1,0,2021-01-30,14642,2020,445641,0,0,0,0,0,0,0,John Lundstram
0,0,0,90,MC,Manchester United,Sheffield United,1,2,2021-01-27,14628,2020,445221,0.36151108145713806,1,2,0,0,0.40541958808898926,0.0439084991812706,John Lundstram
0,1,0.012601735070347786,90,MC,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442748,0,0,0,0,0.012601735070347786,0.5744693875312805,0.5618676543235779,John Lundstram
0,4,0.15304838120937347,90,MC,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441794,0.11066532880067825,0,2,0,0.15304838120937347,0.4987216293811798,0.43702107667922974,John Lundstram
0,1,0.016432108357548714,39,MC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436436,0,0,1,0,0.016432108357548714,0,0,John Lundstram
0,0,0,65,MC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432031,0.11653047800064087,1,1,0,0,0,0,John Lundstram
0,1,0.0716991275548935,25,Sub,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429964,0,0,0,0,0.0716991275548935,0.5645080208778381,0.5645080208778381,John Lundstram
0,1,0.07122988998889923,14,Sub,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428534,0,0,0,0,0.07122988998889923,0.07122988998889923,0,John Lundstram
0,1,0.02222561091184616,90,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426506,0,0,0,0,0.02222561091184616,0.07809585332870483,0.05587024241685867,John Lundstram
0,1,0.06696165353059769,35,Sub,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424233,0.39700597524642944,0,1,0,0.06696165353059769,0.46396762132644653,0,John Lundstram
0,0,0,79,MC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423231,0.01517111249268055,0,1,0,0,0.22886598110198975,0.22886598110198975,John Lundstram
0,1,0.02150309644639492,90,MC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421668,0.0635189414024353,0,1,0,0.02150309644639492,0.45081815123558044,0.36579611897468567,John Lundstram
0,1,0.011949984356760979,90,MC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420306,0.007857529446482658,0,1,0,0.011949984356760979,0.02922223135828972,0.009414717555046082,John Lundstram
0,3,0.5128649473190308,65,MC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417859,0.13261385262012482,0,4,0,0.5128649473190308,0.6866519451141357,0.09859243035316467,John Lundstram
0,1,0.7611688375473022,90,MC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416910,0.04783925414085388,0,1,0,0,0.04783925414085388,0.04783925414085388,John Lundstram
0,0,0,90,MC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415306,0.07017441093921661,0,2,0,0,0.7485361695289612,0.6783617734909058,John Lundstram
