,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.03729291632771492,90,DMC,Aston Villa,Chelsea,2,1,2021-05-23,14806,2020,473259,0.019961530342698097,0,1,0,0.03729291632771492,0.057254448533058167,0,John McGinn
1,0,2,0.028500854969024658,90,DMC,Tottenham,Aston Villa,1,2,2021-05-19,14803,2020,472479,0.19947443902492523,0,2,0,0.028500854969024658,0.6867335438728333,0.599604070186615,John McGinn
2,1,2,0.035085272043943405,90,AMC,Crystal Palace,Aston Villa,3,2,2021-05-16,14794,2020,471345,0,0,0,1,0.035085272043943405,0.054579153656959534,0.01949388161301613,John McGinn
3,0,1,0.05282220616936684,90,DMC,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470501,0.020976783707737923,0,1,0,0.05282220616936684,0.149159774184227,0.12818299233913422,John McGinn
4,0,0,0,90,DMC,Aston Villa,Manchester United,1,3,2021-05-09,14776,2020,469393,0.07286151498556137,0,2,0,0,0.3162926435470581,0.2531352639198303,John McGinn
5,0,2,0.04071144014596939,90,DMC,Everton,Aston Villa,1,2,2021-05-01,14769,2020,467204,0.20502260327339172,0,2,0,0.04071144014596939,0.3863397538661957,0.14060570299625397,John McGinn
6,0,2,0.0294654443860054,90,DMC,Aston Villa,West Bromwich Albion,2,2,2021-04-25,14756,2020,466346,0.22681663930416107,0,2,0,0.0294654443860054,0.669986367225647,0.4137042760848999,John McGinn
7,1,1,0.37904277443885803,90,MC,Aston Villa,Manchester City,1,2,2021-04-21,14746,2020,464710,0.08149351924657822,0,1,1,0.37904277443885803,0.48253947496414185,0.022003192454576492,John McGinn
8,0,0,0,90,AMC,Liverpool,Aston Villa,2,1,2021-04-10,14739,2020,461200,0.11124353855848312,1,2,0,0,0.18423792719841003,0.07299438118934631,John McGinn
9,0,3,0.046946994960308075,90,DMC,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460385,0.021543467417359352,0,1,0,0.046946994960308075,0.1172148659825325,0.06553700566291809,John McGinn
10,0,1,0.03506242111325264,90,MC,Aston Villa,Tottenham,0,2,2021-03-21,14606,2020,458948,0.11891046911478043,0,2,0,0.03506242111325264,0.2761595547199249,0.16591677069664001,John McGinn
11,0,3,0.06965295225381851,90,MC,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455956,0.04282189905643463,0,1,0,0.06965295225381851,0.18996496498584747,0.0946846529841423,John McGinn
12,0,0,0,90,MC,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454755,0.03793755918741226,0,2,0,0,0.12772208452224731,0.10827303677797318,John McGinn
13,0,4,0.38403454422950745,90,MC,Sheffield United,Aston Villa,1,0,2021-03-03,14721,2020,453803,0.06966998428106308,0,1,0,0.38403454422950745,0.5798831582069397,0.19584859907627106,John McGinn
14,0,0,0,90,MC,Leeds,Aston Villa,0,1,2021-02-27,14691,2020,452519,0,0,0,0,0,0.028990767896175385,0.028990767896175385,John McGinn
15,0,3,0.11591945588588715,90,DMC,Aston Villa,Leicester,1,2,2021-02-21,14676,2020,451153,0,0,0,0,0.11591945588588715,0.2887749969959259,0.2048628181219101,John McGinn
16,0,0,0,90,DMC,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449298,0.01336455624550581,0,1,0,0,0.031375255435705185,0.0180106982588768,John McGinn
17,0,1,0.01535547710955143,90,DMC,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447366,0,0,0,0,0.01535547710955143,0.01535547710955143,0.01535547710955143,John McGinn
18,0,0,0,90,DMC,Aston Villa,West Ham,1,3,2021-02-03,14645,2020,447219,0,0,0,0,0,0.3989139199256897,0.3989139199256897,John McGinn
19,0,0,0,90,DMC,Southampton,Aston Villa,0,1,2021-01-30,14641,2020,445961,0,0,0,0,0,0.40960267186164856,0.40960267186164856,John McGinn
20,0,1,0.017832636833190918,90,DMC,Burnley,Aston Villa,3,2,2021-01-27,14626,2020,445110,0.40866807103157043,0,2,0,0.017832636833190918,1.6229904890060425,1.2355605363845825,John McGinn
21,0,1,0.11054336279630661,90,DMC,Manchester City,Aston Villa,2,0,2021-01-20,14089,2020,443438,0,0,0,0,0.11054336279630661,0.1983369141817093,0.08779355138540268,John McGinn
22,0,1,0.036985475569963455,90,DMC,Manchester United,Aston Villa,2,1,2021-01-01,14596,2020,438889,0,0,0,0,0.036985475569963455,0.22005519270896912,0.18306972086429596,John McGinn
23,0,1,0.015930017456412315,90,DMC,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438368,0.07817207276821136,0,2,0,0.015930017456412315,0.09410209208726883,0,John McGinn
24,0,0,0,90,DMC,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438106,0,0,0,0,0,1.311998724937439,1.311998724937439,John McGinn
25,0,4,0.40710777044296265,90,DMC,West Bromwich Albion,Aston Villa,0,3,2020-12-20,14574,2020,436983,0,0,0,0,0.40710777044296265,1.1278064250946045,0.7508120536804199,John McGinn
26,0,0,0,90,DMC,Aston Villa,Burnley,0,0,2020-12-17,14556,2020,435567,0.045666176825761795,0,1,0,0,0.4603704512119293,0.4603704512119293,John McGinn
