goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.10734514147043228,90,DC,Manchester City,Everton,5,0,2021-05-23,14811,2020,473395,0,0,0,0,0.10734514147043228,0.5457156896591187,0.5457156896591187,John Stones
0,0,0,90,DC,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472364,0,0,0,0,0,0,0,John Stones
0,0,0,43,DC,Aston Villa,Manchester City,1,2,2021-04-21,14746,2020,464719,0,0,0,0,0,0.01609821617603302,0.01609821617603302,John Stones
0,4,0.12970800697803497,90,DC,Manchester City,Leeds,1,2,2021-04-10,14740,2020,460937,0.036550868302583694,0,1,0,0.12970800697803497,0.7216219902038574,0.6443553566932678,John Stones
1,1,0.5584115982055664,90,DC,Fulham,Manchester City,0,3,2021-03-13,14708,2020,456642,0,0,0,1,0.5584115982055664,0.38261547684669495,0.38261547684669495,John Stones
0,2,0.03890075534582138,90,DC,Manchester City,Manchester United,0,2,2021-03-07,14700,2020,455279,0,0,0,0,0.03890075534582138,0.587069571018219,0.5646671056747437,John Stones
1,2,0.13035693764686584,90,DC,Manchester City,West Ham,2,1,2021-02-27,14689,2020,452012,0,0,0,1,0.13035693764686584,0.14578381180763245,0.14578381180763245,John Stones
0,0,0,90,DC,Arsenal,Manchester City,0,1,2021-02-21,14675,2020,451436,0,0,0,0,0,1.5576199293136597,1.5576199293136597,John Stones
0,0,0,90,DC,Manchester City,Tottenham,3,0,2021-02-13,14671,2020,449170,0,0,0,0,0,0.9779638648033142,0.9779638648033142,John Stones
0,0,0,90,DC,Liverpool,Manchester City,1,4,2021-02-07,14659,2020,448452,0,0,0,0,0,0.11192264407873154,0.11192264407873154,John Stones
0,0,0,90,DC,Burnley,Manchester City,0,2,2021-02-03,14646,2020,446995,0,0,0,0,0,0.30469810962677,0.30469810962677,John Stones
0,0,0,90,DC,West Bromwich Albion,Manchester City,0,5,2021-01-26,14629,2020,445051,0,0,0,0,0,0.30398181080818176,0.30398181080818176,John Stones
0,1,0.6845390200614929,90,DC,Manchester City,Aston Villa,2,0,2021-01-20,14089,2020,443421,0,0,0,0,0.6845390200614929,0.4121687412261963,0.4121687412261963,John Stones
2,2,0.48479071259498596,90,DC,Manchester City,Crystal Palace,4,0,2021-01-17,14621,2020,442920,0,0,0,2,0.48479071259498596,0.06563306599855423,0.06563306599855423,John Stones
0,0,0,90,DC,Manchester City,Brighton,1,0,2021-01-13,14614,2020,441905,0,0,0,0,0,0.9057145118713379,0.9057145118713379,John Stones
0,0,0,90,DC,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439714,0,0,0,0,0,0.7339279651641846,0.7339279651641846,John Stones
0,1,0.3309881091117859,90,DC,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438187,0,0,0,0,0.3309881091117859,0.8429383635520935,0.8429383635520935,John Stones
0,0,0,90,DC,Southampton,Manchester City,0,1,2020-12-19,14572,2020,435991,0,0,0,0,0,0.14316321909427643,0.14316321909427643,John Stones
0,0,0,90,DC,Manchester United,Manchester City,0,0,2020-12-12,14549,2020,433188,0,0,0,0,0,1.1091299057006836,1.1091299057006836,John Stones
0,0,0,90,DC,Manchester City,Fulham,2,0,2020-12-05,14540,2020,431277,0,0,0,0,0,0.1328662931919098,0.1328662931919098,John Stones
0,1,0.03625839203596115,90,DC,Manchester City,Burnley,5,0,2020-11-28,14533,2020,429611,0.010288652963936329,0,1,0,0.03625839203596115,0.38754647970199585,0.38754647970199585,John Stones
0,0,0,90,DC,Wolverhampton Wanderers,Manchester City,1,3,2020-09-21,14105,2020,416997,0,0,0,0,0,0,0,John Stones
