goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
1,1,0.4631880819797516,90,DC,Southampton,Leicester,1,1,2021-04-30,14772,2020,466695,0,0,0,1,0.4631880819797516,1.4521968364715576,0.9890087842941284,Jonny Evans
0,0,0,90,DC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466530,0.14009635150432587,1,3,0,0,0.6572736501693726,0.6034893989562988,Jonny Evans
1,1,0.3896319270133972,90,DC,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464856,0.2010611891746521,0,1,1,0.3896319270133972,1.0047190189361572,0.8036577701568604,Jonny Evans
0,0,0,90,DC,West Ham,Leicester,3,2,2021-04-11,14744,2020,461888,0,0,0,0,0,0.20501898229122162,0.20501898229122162,Jonny Evans
0,1,0.00956189539283514,90,DC,Leicester,Manchester City,0,2,2021-04-03,14730,2020,459857,0,0,0,0,0.00956189539283514,0.15152320265769958,0.15152320265769958,Jonny Evans
0,1,0.6851808428764343,90,DC,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456864,0,0,0,0,0.6851808428764343,1.0127642154693604,1.0127642154693604,Jonny Evans
0,0,0,73,DC,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452698,0,0,0,0,0,0,0,Jonny Evans
0,0,0,90,DC,Aston Villa,Leicester,1,2,2021-02-21,14676,2020,451164,0.03152850642800331,0,1,0,0,0.12581536173820496,0.12581536173820496,Jonny Evans
0,0,0,90,DC,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448824,0,0,0,0,0,0.1711726188659668,0.1711726188659668,Jonny Evans
0,0,0,90,DC,Wolverhampton Wanderers,Leicester,0,0,2021-02-07,14664,2020,448334,0,0,0,0,0,0.033776987344026566,0.033776987344026566,Jonny Evans
0,0,0,90,DC,Fulham,Leicester,0,2,2021-02-03,14647,2020,446967,0,0,0,0,0,0.9919977188110352,0.9919977188110352,Jonny Evans
0,1,0.12559153139591217,90,DC,Leicester,Leeds,1,3,2021-01-31,14643,2020,446114,0.022390270605683327,0,1,0,0.12559153139591217,0.48304009437561035,0.46064984798431396,Jonny Evans
0,0,0,80,DC,Everton,Leicester,1,1,2021-01-27,14627,2020,445190,0,0,0,0,0,0,0,Jonny Evans
0,1,0.03460126370191574,90,DC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443274,0,0,0,0,0.03460126370191574,0.3256519138813019,0.3256519138813019,Jonny Evans
0,0,0,90,DC,Leicester,Southampton,2,0,2021-01-16,14619,2020,442479,0,0,0,0,0,0.4274384081363678,0.4274384081363678,Jonny Evans
0,0,0,90,DC,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439628,0,0,0,0,0,0.07111893594264984,0.07111893594264984,Jonny Evans
0,0,0,90,DC,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438338,0.08007154613733292,1,3,0,0,0.5094966292381287,0.4622776210308075,Jonny Evans
0,1,0.04162978008389473,90,DC,Leicester,Manchester United,2,2,2020-12-26,14579,2020,438051,0,0,0,0,0.04162978008389473,0.03385837748646736,0.03385837748646736,Jonny Evans
0,0,0,90,DC,Tottenham,Leicester,0,2,2020-12-20,14573,2020,436741,0,0,0,0,0,0,0,Jonny Evans
0,0,0,90,DC,Leicester,Brighton,3,0,2020-12-13,14553,2020,434084,0,0,0,0,0,0.7673123478889465,0.7673123478889465,Jonny Evans
0,0,0,90,DC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432041,0.06348321586847305,0,1,0,0,0.018589001148939133,0.018589001148939133,Jonny Evans
0,0,0,90,DC,Leicester,Fulham,1,2,2020-11-30,14532,2020,430809,0,0,0,0,0,0.019525036215782166,0.019525036215782166,Jonny Evans
0,0,0,90,DC,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428956,0,0,0,0,0,0.19729433953762054,0.19729433953762054,Jonny Evans
0,1,0.10632744431495667,90,DC,Leicester,Wolverhampton Wanderers,1,0,2020-11-08,14510,2020,427053,0,0,0,0,0.10632744431495667,0,0,Jonny Evans
0,0,0,90,DC,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423825,0,0,0,0,0,0,0,Jonny Evans
0,0,0,90,DC,Leicester,Aston Villa,0,1,2020-10-18,14479,2020,422226,0,0,0,0,0,0.07102583348751068,0.07102583348751068,Jonny Evans
0,0,0,90,DC,Leicester,West Ham,0,3,2020-10-04,14470,2020,419929,0,0,0,0,0,0,0,Jonny Evans
0,0,0,80,DC,Manchester City,Leicester,2,5,2020-09-27,14112,2020,418262,0,0,0,0,0,0,0,Jonny Evans
