,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.04415769875049591,29,DC,Liverpool,Everton,0,2,2021-02-20,14680,2020,450881,0,0,0,0,0.04415769875049591,0.0659468024969101,0.021789107471704483,Jordan Henderson
1,0,0,0,90,DC,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448838,0.10139421373605728,0,2,0,0,0.488112211227417,0.488112211227417,Jordan Henderson
2,0,0,0,90,DC,Liverpool,Manchester City,1,4,2021-02-07,14659,2020,448438,0,0,0,0,0,0.07399412244558334,0.07399412244558334,Jordan Henderson
3,0,0,0,90,DC,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447187,0.2904488146305084,0,1,0,0,0.38035184144973755,0.38035184144973755,Jordan Henderson
4,0,0,0,90,DC,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446429,0.04954904690384865,0,1,0,0,0.6376010179519653,0.6376010179519653,Jordan Henderson
5,0,0,0,90,DC,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445246,0,0,0,0,0,1.3728079795837402,1.3728079795837402,Jordan Henderson
6,0,1,0.04111509025096893,90,DC,Liverpool,Manchester United,0,0,2021-01-17,14620,2020,442833,0.026238851249217987,0,1,0,0.04111509025096893,0.317180335521698,0.317180335521698,Jordan Henderson
7,0,1,0.04608569294214249,90,DC,Southampton,Liverpool,1,0,2021-01-04,14598,2020,439926,0,0,0,0,0.04608569294214249,0.3066117763519287,0.3066117763519287,Jordan Henderson
8,0,1,0.02345188707113266,90,MC,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438742,0.2971617579460144,0,1,0,0.02345188707113266,0.3080636262893677,0.3080636262893677,Jordan Henderson
9,0,1,0.03967467322945595,90,MC,Liverpool,West Bromwich Albion,1,1,2020-12-27,14580,2020,438272,0.03590688109397888,0,1,0,0.03967467322945595,0.814376175403595,0.7747015357017517,Jordan Henderson
10,1,1,0.049920614808797836,90,MC,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435757,0,0,0,1,0.049920614808797836,1.2008154392242432,1.1508947610855103,Jordan Henderson
11,0,0,0,90,MC,Liverpool,Tottenham,2,1,2020-12-16,14563,2020,435346,0,0,0,0,0,0.6000608801841736,0.6000608801841736,Jordan Henderson
12,0,1,0.35483938455581665,90,MC,Fulham,Liverpool,1,1,2020-12-13,14547,2020,433954,0,0,0,0,0.35483938455581665,0.3720903992652893,0.017250996083021164,Jordan Henderson
13,0,0,0,84,MC,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432293,0.24470080435276031,1,3,0,0,0.8510094881057739,0.7261996269226074,Jordan Henderson
14,0,0,0,42,Sub,Brighton,Liverpool,1,1,2020-11-28,14528,2020,429372,0,0,0,0,0,0,0,Jordan Henderson
15,0,1,0.031245926395058632,90,DMC,Manchester City,Liverpool,1,1,2020-11-08,14511,2020,427250,0,0,0,0,0.031245926395058632,0.1027788445353508,0.07153292000293732,Jordan Henderson
16,0,1,0.02361372485756874,90,MC,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424647,0,0,0,0,0.02361372485756874,0.5173318386077881,0.49371811747550964,Jordan Henderson
17,0,1,0.025668516755104065,90,DMC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423217,0.30963215231895447,0,1,0,0.025668516755104065,1.574016809463501,1.548348307609558,Jordan Henderson
18,0,3,0.4369541108608246,90,MC,Everton,Liverpool,2,2,2020-10-17,14477,2020,420871,0.09925015270709991,0,2,0,0.4369541108608246,1.2397971153259277,0.9492108225822449,Jordan Henderson
19,0,0,0,47,MC,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427513,0.02942589297890663,0,1,0,0,0.1915426105260849,0.16211670637130737,Jordan Henderson
20,0,1,0.019070252776145935,68,MC,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414680,0,0,0,0,0.019070252776145935,0.07987149059772491,0.06080123782157898,Jordan Henderson
