,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,46,FWL,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473527,0,0,0,0,0,0,0,Leandro Trossard
1,1,1,0.17636503279209137,62,Sub,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472358,0.0743217021226883,0,3,1,0.17636503279209137,0.49106404185295105,0.29959118366241455,Leandro Trossard
2,0,3,0.09240442514419556,84,FWL,Brighton,West Ham,1,1,2021-05-15,14785,2020,471071,0.023455286398530006,0,1,0,0.09240442514419556,0.3200640082359314,0.25436314940452576,Leandro Trossard
3,0,1,0.10062804818153381,59,ML,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469103,0,0,0,0,0.10062804818153381,0.21072092652320862,0.11009287089109421,Leandro Trossard
4,0,3,0.5170493125915527,82,AMC,Brighton,Leeds,2,0,2021-05-01,14765,2020,466951,0.5095220804214478,0,3,0,0.5170493125915527,1.0473928451538086,0.020821351557970047,Leandro Trossard
5,0,0,0,83,AMC,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465673,0.08048422634601593,0,1,0,0,0.9525476098060608,0.872063398361206,Leandro Trossard
6,0,1,0.01756466180086136,62,FW,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464177,0,0,0,0,0.01756466180086136,0.08107990026473999,0.08107990026473999,Leandro Trossard
7,0,4,0.20856529474258423,90,AMC,Brighton,Everton,0,0,2021-04-12,14735,2020,462479,0.07198884338140488,0,1,0,0.20856529474258423,0.2277880758047104,0.055444907397031784,Leandro Trossard
8,0,0,0,65,AMC,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460517,0,0,0,0,0,0.4595474302768707,0.4595474302768707,Leandro Trossard
9,1,2,0.07806732505559921,84,AMC,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458329,0.19572268426418304,1,3,1,0.07806732505559921,0.5743025541305542,0.4478423595428467,Leandro Trossard
10,1,2,0.39805835485458374,88,ML,Southampton,Brighton,1,2,2021-03-14,14713,2020,456762,0,0,0,1,0.39805835485458374,0.7326118350028992,0.33455345034599304,Leandro Trossard
11,0,0,0,90,ML,Brighton,Leicester,1,2,2021-03-06,14696,2020,454908,0,0,0,0,0,0.09941261261701584,0.09941261261701584,Leandro Trossard
12,0,1,0.05118532478809357,90,AMR,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452277,0.03651837259531021,0,1,0,0.05118532478809357,0.23885416984558105,0.15115047991275787,Leandro Trossard
13,0,3,0.6162027716636658,90,AMC,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451696,0.018272899091243744,0,1,0,0.6162027716636658,0.9422397017478943,0.32603690028190613,Leandro Trossard
14,0,6,0.3171654939651489,90,FW,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449288,0.17924165725708008,0,2,0,0.3171654939651489,0.6715970039367676,0.2401839643716812,Leandro Trossard
15,0,0,0,27,Sub,Burnley,Brighton,1,1,2021-02-06,14656,2020,447659,0,0,0,0,0,0,0,Leandro Trossard
16,0,1,0.08981767296791077,88,AMC,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447207,0.6272255182266235,1,2,0,0.08981767296791077,0.7484623789787292,0.03141922876238823,Leandro Trossard
17,1,1,0.13788765668869019,80,FW,Brighton,Tottenham,1,0,2021-01-31,14636,2020,446539,0.12495369464159012,0,2,1,0.13788765668869019,0.723770797252655,0.5330527424812317,Leandro Trossard
18,0,2,0.6645136475563049,90,FW,Brighton,Fulham,0,0,2021-01-27,14625,2020,445127,0.12968775629997253,0,2,0,0.6645136475563049,1.4721992015838623,0.6779977679252625,Leandro Trossard
19,0,1,0.08848046511411667,75,AMC,Leeds,Brighton,0,1,2021-01-16,14618,2020,442322,0,0,0,0,0.08848046511411667,0.7845709919929504,0.6960905194282532,Leandro Trossard
20,0,1,0.0751536563038826,87,AMC,Manchester City,Brighton,1,0,2021-01-13,14614,2020,441923,0.05447663366794586,0,2,0,0.0751536563038826,0.12963028252124786,0,Leandro Trossard
21,0,1,0.06148334592580795,90,AMC,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439231,0.6694769263267517,2,3,0,0.06148334592580795,0.7788503170013428,0.09297674894332886,Leandro Trossard
22,0,0,0,15,Sub,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438386,0,0,0,0,0,0,0,Leandro Trossard
