,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,2,0.8544451594352722,67,MC,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,470004,0.04260445758700371,0,1,0,0.09327629953622818,0.04260445758700371,0.04260445758700371,Luka Milivojevic
1,0,1,0.016875803470611572,90,MC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468709,0.22968897223472595,0,5,0,0.016875803470611572,0.7117929458618164,0.7117929458618164,Luka Milivojevic
2,0,2,0.05003046616911888,90,MC,Crystal Palace,Manchester City,0,2,2021-05-01,14768,2020,466832,0,0,0,0,0.05003046616911888,0.05003046616911888,0,Luka Milivojevic
3,0,0,0,85,MC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466547,0,0,0,0,0,0.04314514994621277,0.04314514994621277,Luka Milivojevic
4,0,0,0,90,MC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461399,0,0,0,0,0,0.6021665334701538,0.6021665334701538,Luka Milivojevic
5,0,0,0,90,MC,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460632,0,0,0,0,0,0.4529915153980255,0.4529915153980255,Luka Milivojevic
6,1,1,0.7611688375473022,90,MC,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456341,0,0,0,0,0,0.030887801200151443,0.030887801200151443,Luka Milivojevic
7,0,0,0,90,MC,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455416,0.4305565059185028,1,2,0,0,0.3501359522342682,0,Luka Milivojevic
8,0,1,0.07418951392173767,90,MC,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454145,0.336028516292572,0,1,0,0.07418951392173767,0.336028516292572,0.336028516292572,Luka Milivojevic
9,0,1,0.050579529255628586,90,MC,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452676,0.019834645092487335,0,1,0,0.050579529255628586,0.050579529255628586,0,Luka Milivojevic
10,0,0,0,90,MC,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451708,0.029475361108779907,0,1,0,0,0.029475361108779907,0,Luka Milivojevic
11,0,0,0,90,MC,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449033,0.0591493584215641,0,1,0,0,0.09065817296504974,0.03150881081819534,Luka Milivojevic
12,0,0,0,90,MC,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448692,0,0,0,0,0,0.11551240086555481,0.11551240086555481,Luka Milivojevic
13,0,0,0,90,DMC,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446786,0,0,0,0,0,0.12500444054603577,0.12500444054603577,Luka Milivojevic
14,0,1,0.04878077656030655,90,DMC,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445683,0,0,0,0,0.04878077656030655,0.6469578146934509,0.6469578146934509,Luka Milivojevic
15,0,0,0,75,MC,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,444984,0,0,0,0,0,0.053006164729595184,0.053006164729595184,Luka Milivojevic
16,0,0,0,69,DMC,Manchester City,Crystal Palace,4,0,2021-01-17,14621,2020,442936,0,0,0,0,0,0,0,Luka Milivojevic
17,0,0,0,90,MC,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441976,0,0,0,0,0,0.11747150123119354,0.11747150123119354,Luka Milivojevic
18,0,0,0,90,MC,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439111,0.062067728489637375,0,2,0,0,0.104094959795475,0.08635058999061584,Luka Milivojevic
19,0,0,0,90,MC,Crystal Palace,Leicester,1,1,2020-12-28,14594,2020,438329,0,0,0,0,0,0.11469162255525589,0.11469162255525589,Luka Milivojevic
20,0,3,0.12106093019247055,73,MC,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438120,0,0,0,0,0.12106093019247055,0.08040621876716614,0.08040621876716614,Luka Milivojevic
21,0,1,0.007613336201757193,90,MC,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435742,0.3510114252567291,0,1,0,0.007613336201757193,0.007613336201757193,0,Luka Milivojevic
22,0,1,0.029575498774647713,90,MC,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435385,0.01646529883146286,0,1,0,0.029575498774647713,0.36201581358909607,0.3324403166770935,Luka Milivojevic
23,0,2,0.04024628922343254,74,MC,Crystal Palace,Tottenham,1,1,2020-12-13,14545,2020,433764,0.00878065638244152,0,1,0,0.04024628922343254,0.10871463268995285,0.06846833974123001,Luka Milivojevic
24,0,1,0.02494291216135025,90,MC,West Bromwich Albion,Crystal Palace,1,5,2020-12-06,14543,2020,431740,0.0274946466088295,0,1,0,0.02494291216135025,1.0201525688171387,0.9926578998565674,Luka Milivojevic
25,0,1,0.0622505284845829,88,MC,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424183,0,0,0,0,0.0622505284845829,0.3555351495742798,0.3555351495742798,Luka Milivojevic
26,0,1,0.0717015191912651,90,MC,Fulham,Crystal Palace,1,2,2020-10-24,14489,2020,422870,0.04925265535712242,0,1,0,0.0717015191912651,0.3656288683414459,0.3656288683414459,Luka Milivojevic
27,0,0,0,6,Sub,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421913,0,0,0,0,0,0,0,Luka Milivojevic
28,0,0,0,22,Sub,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419272,0,0,0,0,0,0,0,Luka Milivojevic
29,0,0,0,1,Sub,Manchester United,Crystal Palace,1,3,2020-09-19,14098,2020,415928,0,0,0,0,0,0,0,Luka Milivojevic
30,0,0,0,14,Sub,Crystal Palace,Southampton,1,0,2020-09-12,14087,2020,414571,0.11105407774448395,0,2,0,0,0,0,Luka Milivojevic
