,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.02605387568473816,90,DL,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472295,0,0,0,0,0.02605387568473816,0.17391949892044067,0.14786562323570251,Luke Shaw
1,0,0,0,90,DL,Manchester United,Liverpool,2,4,2021-05-13,14770,2020,470586,0.11401943117380142,0,3,0,0,0.4998437762260437,0.4998437762260437,Luke Shaw
2,0,2,0.0898863822221756,90,DL,Aston Villa,Manchester United,1,3,2021-05-09,14776,2020,469405,0.18697263300418854,0,3,0,0.0898863822221756,0.5119112133979797,0.4133262634277344,Luke Shaw
3,0,0,0,90,DL,Leeds,Manchester United,0,0,2021-04-25,14758,2020,466024,0.34871551394462585,0,5,0,0,0.28772035241127014,0.10016026347875595,Luke Shaw
4,0,0,0,90,DL,Manchester United,Burnley,3,1,2021-04-18,14751,2020,463678,0.318503737449646,0,6,0,0,1.115807056427002,1.077495813369751,Luke Shaw
5,0,0,0,90,DL,Tottenham,Manchester United,1,3,2021-04-11,14742,2020,462069,0.09637632220983505,0,2,0,0,0.8404607176780701,0.8404607176780701,Luke Shaw
6,0,0,0,90,DL,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460499,0.012808937579393387,0,1,0,0,0.17008328437805176,0.17008328437805176,Luke Shaw
7,0,0,0,90,DL,Manchester United,West Ham,1,0,2021-03-14,14711,2020,457308,0.15226104855537415,0,2,0,0,0.6224652528762817,0.6224652528762817,Luke Shaw
8,1,2,0.2185763567686081,90,DL,Manchester City,Manchester United,0,2,2021-03-07,14700,2020,455293,0,0,0,1,0.2185763567686081,0.2185763567686081,0,Luke Shaw
9,0,1,0.031576987355947495,90,DL,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454155,0.16546165943145752,0,2,0,0.031576987355947495,0.3331676125526428,0.26773539185523987,Luke Shaw
10,0,0,0,90,DL,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453224,0.05817224085330963,0,3,0,0,0.0995030403137207,0.06088913604617119,Luke Shaw
11,0,0,0,90,DL,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451542,0.29256516695022583,0,5,0,0,0.2611725330352783,0.2611725330352783,Luke Shaw
12,0,0,0,90,DL,West Bromwich Albion,Manchester United,1,1,2021-02-14,14673,2020,449655,0.17966409027576447,1,4,0,0,0.20738928020000458,0.08681128174066544,Luke Shaw
13,0,1,0.11162280291318893,90,DL,Manchester United,Everton,3,3,2021-02-06,14660,2020,447930,0.03677608445286751,1,1,0,0.11162280291318893,0.3211458921432495,0.3211458921432495,Luke Shaw
14,0,1,0.019085945561528206,48,DL,Manchester United,Southampton,9,0,2021-02-02,14651,2020,446743,1.1466081142425537,2,5,0,0.019085945561528206,1.6871092319488525,1.1736948490142822,Luke Shaw
15,0,1,0.09913071990013123,90,DL,Arsenal,Manchester United,0,0,2021-01-30,14635,2020,445871,0.7513329982757568,0,3,0,0.09913071990013123,1.2926673889160156,0.4569844603538513,Luke Shaw
16,0,0,0,5,Sub,Manchester United,Sheffield United,1,2,2021-01-27,14628,2020,445214,0.02079056017100811,0,1,0,0,0,0,Luke Shaw
17,0,1,0.05062418431043625,90,DL,Fulham,Manchester United,1,2,2021-01-20,14607,2020,443645,0.13630300760269165,0,2,0,0.05062418431043625,0.230479434132576,0.12614330649375916,Luke Shaw
18,0,0,0,90,DL,Liverpool,Manchester United,0,0,2021-01-17,14620,2020,442848,0.5711211562156677,0,2,0,0,0.48609915375709534,0.48609915375709534,Luke Shaw
19,0,0,0,90,DL,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441834,0.11134256422519684,0,2,0,0,0.376606285572052,0.376606285572052,Luke Shaw
