,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,6,0.9449899792671204,90,AMC,Aston Villa,Chelsea,2,1,2021-05-23,14806,2020,473275,0.3825546205043793,0,3,0,0.9449899792671204,1.4993730783462524,0.5503287315368652,Mason Mount
1,0,2,0.1568962037563324,90,AMC,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472414,0.449876070022583,0,2,0,0.1568962037563324,0.7215291261672974,0.5477431416511536,Mason Mount
2,0,3,0.2178768664598465,90,AMC,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470416,0.2616325914859772,0,4,0,0.2178768664598465,0.40210697054862976,0.14053180813789368,Mason Mount
3,0,0,0,77,MC,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467100,0.3431519865989685,1,1,0,0,0.9857859015464783,0.6426339149475098,Mason Mount
4,0,6,0.3066159188747406,90,AMC,West Ham,Chelsea,0,1,2021-04-24,14763,2020,465586,0.9311753511428833,0,3,0,0.3066159188747406,1.7588270902633667,0.5621297955513,Mason Mount
5,0,0,0,90,MC,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464161,0.01156335324048996,0,1,0,0,0.5537616014480591,0.5537616014480591,Mason Mount
6,0,5,0.3759588301181793,90,AMC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461415,0.924056887626648,1,4,0,0.3759588301181793,1.8093106746673584,1.0420156717300415,Mason Mount
7,1,4,0.5196144580841064,39,Sub,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459169,0,0,0,1,0.5196144580841064,0.48503226041793823,0,Mason Mount
8,0,1,0.022982940077781677,80,AML,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456111,0.06945110112428665,0,1,0,0.022982940077781677,0.3805178701877594,0.3575349450111389,Mason Mount
9,0,2,0.05918781831860542,23,Sub,Chelsea,Everton,2,0,2021-03-08,14698,2020,455558,0.362170547246933,0,2,0,0.05918781831860542,0.4019424319267273,0.034877922385931015,Mason Mount
10,1,3,0.11471844464540482,82,AMC,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454272,0.44407811760902405,0,3,1,0.11471844464540482,0.6870174407958984,0.3905387818813324,Mason Mount
11,0,3,0.16274593770503998,90,AMC,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453215,0.016900191083550453,0,1,0,0.16274593770503998,0.3770495355129242,0.3218710124492645,Mason Mount
12,1,2,0.7784675359725952,90,AMC,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450513,0.11402644962072372,0,2,0,0.017298709601163864,0.1633981317281723,0.08066876232624054,Mason Mount
13,0,2,0.1118408814072609,73,AMC,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450113,0.17413243651390076,0,5,0,0.1118408814072609,1.0019183158874512,0.8900774121284485,Mason Mount
14,1,1,0.3408529758453369,90,AMC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448547,0,0,0,1,0.3408529758453369,0.4604662358760834,0.11961325258016586,Mason Mount
15,0,3,0.4574839770793915,90,AMC,Tottenham,Chelsea,0,1,2021-02-04,14653,2020,447262,0.5264819264411926,0,3,0,0.4574839770793915,1.0442248582839966,0.09264982491731644,Mason Mount
16,0,4,0.2064233422279358,81,AMC,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446007,0.1413939744234085,0,3,0,0.2064233422279358,0.8852421045303345,0.5912710428237915,Mason Mount
17,0,0,0,5,Sub,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445075,0.04553087055683136,0,1,0,0,0.0409674346446991,0.0409674346446991,Mason Mount
18,0,1,0.16622968018054962,90,MC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443292,0.27172285318374634,0,4,0,0.16622968018054962,0.1661912202835083,0.0833793357014656,Mason Mount
19,1,4,0.22657939791679382,90,MC,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442438,0.37466171383857727,0,7,1,0.22657939791679382,0.7033583521842957,0.5176771879196167,Mason Mount
20,0,0,0,90,MC,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439704,0.04285682365298271,0,3,0,0,0.3930753469467163,0.35930687189102173,Mason Mount
21,0,2,0.09916066378355026,90,MC,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438356,0.22912557423114777,0,3,0,0.09916066378355026,0.4720446467399597,0.29319843649864197,Mason Mount
22,0,3,0.11982809007167816,90,MC,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438149,0.1947471648454666,0,4,0,0.11982809007167816,0.8964176177978516,0.7807865738868713,Mason Mount
23,0,1,0.012834903784096241,90,MC,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437112,1.050318717956543,1,4,0,0.012834903784096241,0.792905867099762,0.7334009408950806,Mason Mount
24,0,0,0,90,MC,Wolverhampton Wanderers,Chelsea,2,1,2020-12-15,14562,2020,434311,0.08942387253046036,0,1,0,0,0.09371074289083481,0.09371074289083481,Mason Mount
25,0,2,0.07267294824123383,90,MC,Everton,Chelsea,1,0,2020-12-12,14546,2020,433308,0,0,0,0,0.07267294824123383,0.19704651832580566,0.17732353508472443,Mason Mount
