,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,16,Sub,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,470008,0,0,0,0,0,0,0,Michy Batshuayi
1,1,1,0.06292817741632462,4,Sub,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460636,0,0,0,1,0.06292817741632462,0.06292817741632462,0,Michy Batshuayi
2,0,0,0,63,FW,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449036,0,0,0,0,0,0.24924618005752563,0.24924618005752563,Michy Batshuayi
3,0,0,0,24,Sub,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448697,0.08737657219171524,0,1,0,0,0.08737657219171524,0,Michy Batshuayi
4,0,1,0.01157460268586874,75,FW,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446790,0,0,0,0,0.01157460268586874,0.13657905161380768,0.12500444054603577,Michy Batshuayi
5,0,2,0.506585419178009,82,FW,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445687,0.6197724938392639,0,2,0,0.506585419178009,1.126357913017273,0.025327278301119804,Michy Batshuayi
6,1,1,0.11096576601266861,22,Sub,Crystal Palace,West Ham,2,3,2021-01-26,14634,2020,444989,0,0,0,1,0.11096576601266861,0.12817884981632233,0.01721307635307312,Michy Batshuayi
7,0,0,0,10,Sub,Manchester City,Crystal Palace,4,0,2021-01-17,14621,2020,442942,0,0,0,0,0,0,0,Michy Batshuayi
8,0,0,0,11,Sub,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438125,0.031088553369045258,0,2,0,0,0.17167291045188904,0.1533956229686737,Michy Batshuayi
9,0,0,0,19,Sub,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435747,0,0,0,0,0,0,0,Michy Batshuayi
10,0,0,0,7,Sub,West Bromwich Albion,Crystal Palace,1,5,2020-12-06,14543,2020,431745,0,0,0,0,0,0,0,Michy Batshuayi
11,0,0,0,7,Sub,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429240,0.09245601296424866,0,1,0,0,0.09245601296424866,0,Michy Batshuayi
12,0,2,0.2557987570762634,90,FW,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429103,0.07657446712255478,0,2,0,0.2557987570762634,0.3729889988899231,0.040615763515233994,Michy Batshuayi
13,0,1,0.15865367650985718,86,FW,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424185,0,0,0,0,0.15865367650985718,0.2268775999546051,0.06822392344474792,Michy Batshuayi
14,0,3,0.23355531692504883,90,FW,Fulham,Crystal Palace,1,2,2020-10-24,14489,2020,422872,0.7474531531333923,1,1,0,0.23355531692504883,1.0302611589431763,0.7967057824134827,Michy Batshuayi
15,0,0,0,84,FW,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421910,0,0,0,0,0,0,0,Michy Batshuayi
16,0,0,0,11,Sub,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417382,0,0,0,0,0,0,0,Michy Batshuayi
17,0,1,0.02308344841003418,5,Sub,Manchester United,Crystal Palace,1,3,2020-09-19,14098,2020,415926,0,0,0,0,0.02308344841003418,0.02308344841003418,0,Michy Batshuayi
