goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.04541013017296791,81,FW,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473304,0,0,0,0,0.04541013017296791,0.1174212396144867,0.07201110571622849,Miguel Almirón
0,2,0.05139557272195816,90,MC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472438,0.01330676581710577,0,1,0,0.05139557272195816,0.6173962950706482,0.5526939034461975,Miguel Almirón
0,0,0,90,MC,Newcastle United,Manchester City,3,4,2021-05-14,14791,2020,470647,0.04787839949131012,0,1,0,0,0.17740550637245178,0.12952710688114166,Miguel Almirón
0,1,0.058552779257297516,89,MC,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468285,0.49063166975975037,0,1,0,0.058552779257297516,0.49063166975975037,0.49063166975975037,Miguel Almirón
0,0,0,75,MC,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467611,0,0,0,0,0,0,0,Miguel Almirón
0,0,0,87,MC,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465140,0,0,0,0,0,0.2527158260345459,0.2527158260345459,Miguel Almirón
0,2,0.09727158397436142,90,MC,Newcastle United,West Ham,3,2,2021-04-17,14752,2020,462654,0.5005947351455688,0,3,0,0.09727158397436142,0.7418039441108704,0.20414075255393982,Miguel Almirón
0,1,0.3263077139854431,90,MC,Burnley,Newcastle United,1,2,2021-04-11,14736,2020,461589,0,0,0,0,0.3263077139854431,0.4607618451118469,0.1344541311264038,Miguel Almirón
0,2,0.6266574263572693,90,MC,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460240,0,0,0,0,0.6266574263572693,0.6266574263572693,0,Miguel Almirón
0,0,0,82,FW,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458344,0.07740829139947891,0,1,0,0,0.07740829139947891,0,Miguel Almirón
0,2,0.385425865650177,47,FW,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452594,0.046700626611709595,0,1,0,0.385425865650177,0.44035807251930237,0.008231580257415771,Miguel Almirón
0,1,0.011940883472561836,81,AMC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451560,0.08103608340024948,0,1,0,0.011940883472561836,0.1064782589673996,0.013501289300620556,Miguel Almirón
0,1,0.0463670939207077,90,FW,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450127,0,0,0,0,0.0463670939207077,0.14171753823757172,0.09535044431686401,Miguel Almirón
2,2,0.1395203322172165,90,AMC,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447670,0,0,0,2,0.1395203322172165,0.2814536988735199,0.1419333517551422,Miguel Almirón
0,3,0.19627201557159424,90,AMC,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446774,0.05384884402155876,0,2,0,0.19627201557159424,0.3536933958530426,0.2267729938030243,Miguel Almirón
