goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
1,2,0.1693926900625229,12,Sub,Paris Saint Germain,Reims,4,0,2021-05-16,16125,2020,472210,0,0,0,1,0.1693926900625229,0.1693926900625229,0,Moise Kean
0,2,0.17293158173561096,90,FW,Rennes,Paris Saint Germain,1,1,2021-05-09,16113,2020,469741,0.07657800614833832,0,1,0,0.17293158173561096,0.36995574831962585,0.12044616043567657,Moise Kean
0,0,0,1,Sub,Paris Saint Germain,Lens,2,1,2021-05-01,16104,2020,467015,0,0,0,0,0,0,0,Moise Kean
0,1,0.03381982445716858,69,AML,Paris Saint Germain,Saint-Etienne,3,2,2021-04-18,16077,2020,463198,0,0,0,0,0.03381982445716858,0.06259510666131973,0.028775282204151154,Moise Kean
1,4,0.9361615777015686,75,FW,Strasbourg,Paris Saint Germain,1,4,2021-04-10,16075,2020,461263,0.036901265382766724,0,1,1,0.9361615777015686,1.0907986164093018,0.11773580312728882,Moise Kean
0,1,0.055033959448337555,66,FW,Paris Saint Germain,Lille,0,1,2021-04-03,16056,2020,459715,0,0,0,0,0.055033959448337555,0.0745028629899025,0.01946890540421009,Moise Kean
0,3,0.5050667524337769,90,FW,Lyon,Paris Saint Germain,2,4,2021-03-21,16055,2020,459027,0,0,0,0,0.5050667524337769,0.6006575226783752,0.0955907478928566,Moise Kean
1,1,0.49161407351493835,73,FW,Dijon,Paris Saint Germain,0,4,2021-02-27,16018,2020,452370,0,0,0,1,0.49161407351493835,0.8011241555213928,0.30951008200645447,Moise Kean
0,3,0.7376255989074707,90,FWR,Paris Saint Germain,Monaco,0,2,2021-02-21,16013,2020,451633,0,0,0,0,0.7376255989074707,0.7376255989074707,0,Moise Kean
1,2,0.636916995048523,84,AMR,Paris Saint Germain,Nice,2,1,2021-02-13,16003,2020,449092,0,0,0,1,0.636916995048523,1.1475844383239746,0.5106675028800964,Moise Kean
0,0,0,1,Sub,Marseille,Paris Saint Germain,0,2,2021-02-07,15995,2020,448645,0,0,0,0,0,0,0,Moise Kean
0,2,0.10354636609554291,80,FW,Paris Saint Germain,Nimes,3,0,2021-02-03,15981,2020,447070,0,0,0,0,0.10354636609554291,0.05965808406472206,0.041054900735616684,Moise Kean
0,1,0.14985516667366028,69,FW,Angers,Paris Saint Germain,0,1,2021-01-16,15946,2020,442529,0.21494360268115997,0,1,0,0.14985516667366028,0.36479875445365906,0,Moise Kean
1,2,0.7831774950027466,66,FW,Paris Saint Germain,Brest,3,0,2021-01-09,15943,2020,441217,0,0,0,1,0.7831774950027466,0.119903065264225,0,Moise Kean
1,3,0.8687142133712769,90,FW,Saint-Etienne,Paris Saint Germain,1,1,2021-01-06,15933,2020,440455,0.09367018193006516,0,1,1,0.8687142133712769,1.0089055299758911,0.046521127223968506,Moise Kean
1,1,0.6481419801712036,6,Sub,Paris Saint Germain,Strasbourg,4,0,2020-12-23,15924,2020,437941,0,0,0,1,0.6481419801712036,0.6481419801712036,0,Moise Kean
0,4,0.36109769344329834,90,FW,Lille,Paris Saint Germain,0,0,2020-12-20,15915,2020,437070,0,0,0,0,0.36109769344329834,0.36109769344329834,0,Moise Kean
1,2,0.4350201189517975,71,FW,Paris Saint Germain,Lorient,2,0,2020-12-16,15904,2020,435222,0.4382961690425873,0,1,1,0.4350201189517975,0.8994764089584351,0.026160119101405144,Moise Kean
0,0,0,74,FW,Paris Saint Germain,Lyon,0,1,2020-12-13,15895,2020,434179,0,0,0,0,0,0,0,Moise Kean
1,4,0.32964029908180237,78,FW,Montpellier,Paris Saint Germain,1,3,2020-12-05,15881,2020,431596,0,0,0,1,0.32964029908180237,0.3840629458427429,0.05442264303565025,Moise Kean
1,2,0.6676563620567322,82,FW,Paris Saint Germain,Bordeaux,2,2,2020-11-28,15874,2020,429885,0,0,0,1,0.6676563620567322,0.6410804986953735,0.24928103387355804,Moise Kean
0,2,0.43805238604545593,90,FW,Monaco,Paris Saint Germain,3,2,2020-11-20,15861,2020,427608,0.07069744914770126,0,1,0,0.43805238604545593,1.042661190032959,0.5339112877845764,Moise Kean
1,2,0.4925781488418579,64,FW,Paris Saint Germain,Rennes,3,0,2020-11-07,15846,2020,426639,0,0,0,1,0.4925781488418579,0.39559271931648254,0.35148921608924866,Moise Kean
0,0,0,48,FW,Nantes,Paris Saint Germain,0,3,2020-10-31,15839,2020,424815,0,0,0,0,0,0,0,Moise Kean
2,4,1.2165099382400513,74,FW,Paris Saint Germain,Dijon,4,0,2020-10-24,15831,2020,423190,0,0,0,2,1.2165099382400513,1.2165099382400513,0,Moise Kean
0,4,0.5707823634147644,90,FW,Nimes,Paris Saint Germain,0,4,2020-10-16,15822,2020,420780,0.02484867535531521,0,1,0,0.5707823634147644,1.1868112087249756,0.591180145740509,Moise Kean
0,1,0.02234572172164917,9,Sub,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415581,0,0,0,0,0.02234572172164917,0.02234572172164917,0,Moise Kean
0,0,0,1,Sub,Tottenham,Everton,0,1,2020-09-13,14093,2020,415145,0,0,0,0,0,0,0,Moise Kean
