,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,21,Sub,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457445,0.21344093978405,0,2,0,0,0.21344093978405,0,Naby Keita
1,0,2,0.04716718941926956,90,MC,Liverpool,Fulham,0,1,2021-03-07,14699,2020,455137,0.01988077536225319,0,1,0,0.04716718941926956,0.22739173471927643,0.18724244832992554,Naby Keita
2,0,0,0,10,Sub,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453349,0,0,0,0,0,0,0,Naby Keita
3,0,0,0,90,MC,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435755,0.5408951044082642,0,1,0,0,0.6626079678535461,0.12171291559934616,Naby Keita
4,0,0,0,6,Sub,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432298,0,0,0,0,0,0.05734026059508324,0.05734026059508324,Naby Keita
5,0,2,0.04590272530913353,54,MC,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428944,0.07992877066135406,0,1,0,0.04590272530913353,0.3785908818244934,0.27156370878219604,Naby Keita
6,0,2,0.15191784501075745,49,MC,Aston Villa,Liverpool,7,2,2020-10-04,14466,2020,420654,0,0,0,0,0.15191784501075745,0.7949989438056946,0.6430810689926147,Naby Keita
7,0,2,0.05420515686273575,80,MC,Liverpool,Arsenal,3,1,2020-09-28,14115,2020,418698,0.058805402368307114,0,1,0,0.05420515686273575,0.46786966919898987,0.3548591136932373,Naby Keita
8,0,0,0,65,MC,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427511,0,0,0,0,0,0.4055541455745697,0.4055541455745697,Naby Keita
9,0,1,0.09406596422195435,60,MC,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414678,0,0,0,0,0.09406596422195435,0.38242650032043457,0.2883605360984802,Naby Keita
