,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DC,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470423,0,0,0,0,0,0.11806613206863403,0.11806613206863403,Pablo Marí
1,0,0,0,90,DC,Arsenal,Everton,0,1,2021-04-23,14755,2020,465035,0,0,0,0,0,0.11544333398342133,0.11544333398342133,Pablo Marí
2,0,0,0,90,DC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462219,0,0,0,0,0,0.9609586000442505,0.9609586000442505,Pablo Marí
3,0,0,0,90,DC,West Ham,Arsenal,3,3,2021-03-21,14724,2020,458720,0,0,0,0,0,0.6361372470855713,0.6361372470855713,Pablo Marí
4,0,1,0.014236511662602425,90,DC,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454386,0,0,0,0,0.014236511662602425,0.10063055902719498,0.0863940492272377,Pablo Marí
5,0,0,0,90,DC,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452712,0,0,0,0,0,0.0610850490629673,0.0610850490629673,Pablo Marí
6,0,0,0,90,DC,Arsenal,Manchester City,0,1,2021-02-21,14675,2020,451420,0,0,0,0,0,0.0494157038629055,0.0494157038629055,Pablo Marí
7,0,0,0,90,DC,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439295,0,0,0,0,0,0.6652371883392334,0.6652371883392334,Pablo Marí
8,0,1,0.026286231353878975,90,DC,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438391,0.05424394831061363,0,1,0,0.026286231353878975,0.8325956463813782,0.8325956463813782,Pablo Marí
9,0,0,0,90,DC,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438130,0,0,0,0,0,0.06540512293577194,0.06540512293577194,Pablo Marí
