,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.036619629710912704,88,DML,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473480,0,0,0,0,0.036619629710912704,0.036619629710912704,0,Rayan Ait Nouri
1,0,0,0,90,ML,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472508,0,0,0,0,0,0,0,Rayan Ait Nouri
2,0,1,0.019747208803892136,90,DL,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469085,0.09929832071065903,0,3,0,0.019747208803892136,0.27159589529037476,0.2369275987148285,Rayan Ait Nouri
3,0,2,0.08588279783725739,84,DL,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467982,0.10191058367490768,0,3,0,0.08588279783725739,0.25346705317497253,0.22824010252952576,Rayan Ait Nouri
4,0,1,0.014625873416662216,90,ML,Wolverhampton Wanderers,Burnley,0,4,2021-04-25,14764,2020,465775,0.02102934755384922,0,1,0,0.014625873416662216,0.03447294235229492,0.03447294235229492,Rayan Ait Nouri
5,0,1,0.03383593261241913,90,DML,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463106,0,0,0,0,0.03383593261241913,0.03383593261241913,0,Rayan Ait Nouri
6,0,0,0,90,DL,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460837,0.033809058368206024,0,1,0,0,0.03287230059504509,0.03287230059504509,Rayan Ait Nouri
7,0,1,0.043353788554668427,90,DL,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460673,0,0,0,0,0.043353788554668427,0.7963297367095947,0.7529759407043457,Rayan Ait Nouri
8,0,0,0,1,Sub,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452610,0,0,0,0,0,0,0,Rayan Ait Nouri
9,0,0,0,8,Sub,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450384,0,0,0,0,0,0,0,Rayan Ait Nouri
10,0,0,0,49,ML,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445083,0,0,0,0,0,0.05718730762600899,0.05718730762600899,Rayan Ait Nouri
11,0,1,0.022856922820210457,25,Sub,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442083,0,0,0,0,0.022856922820210457,0.022856922820210457,0.022856922820210457,Rayan Ait Nouri
12,0,1,0.012327124364674091,90,DL,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441878,0.32651716470718384,1,2,0,0.012327124364674091,0.07425440102815628,0.01545677613466978,Rayan Ait Nouri
13,0,0,0,90,DL,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439241,0,0,0,0,0,0.19095616042613983,0.19095616042613983,Rayan Ait Nouri
14,0,2,0.09209144115447998,90,DML,Manchester United,Wolverhampton Wanderers,1,0,2020-12-29,14592,2020,438564,0,0,0,0,0.09209144115447998,0.1291491985321045,0.03705775365233421,Rayan Ait Nouri
15,0,0,0,13,Sub,Wolverhampton Wanderers,Tottenham,1,1,2020-12-27,14584,2020,438305,0,0,0,0,0,0.030869171023368835,0.030869171023368835,Rayan Ait Nouri
16,0,1,0.03290243819355965,62,ML,Burnley,Wolverhampton Wanderers,2,1,2020-12-21,14566,2020,437098,0.04367421939969063,0,1,0,0.03290243819355965,0.03290243819355965,0,Rayan Ait Nouri
17,0,1,0.030498741194605827,16,Sub,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432312,0,0,0,0,0.030498741194605827,0.030498741194605827,0,Rayan Ait Nouri
18,0,1,0.009649237617850304,90,DL,Wolverhampton Wanderers,Southampton,1,1,2020-11-23,14524,2020,429143,0.16420002281665802,0,3,0,0.009649237617850304,0.3846856951713562,0.37503644824028015,Rayan Ait Nouri
19,0,0,0,78,DML,Leicester,Wolverhampton Wanderers,1,0,2020-11-08,14510,2020,427069,0,0,0,0,0,0,0,Rayan Ait Nouri
20,1,2,0.07777535915374756,90,DML,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424167,0,0,0,1,0.07777535915374756,0.31616920232772827,0.27014434337615967,Rayan Ait Nouri
21,0,0,0,84,DL,Paris Saint Germain,Angers,6,1,2020-10-02,15806,2020,419179,0.10368038713932037,0,3,0,0,0.5050166845321655,0.4923347532749176,Rayan Ait Nouri
22,0,0,0,80,DL,Angers,Brest,3,2,2020-09-27,14219,2020,417945,0.10606665909290314,1,2,0,0,0.10606665909290314,0,Rayan Ait Nouri
23,0,1,0.06650060415267944,26,Sub,Montpellier,Angers,4,1,2020-09-20,14210,2020,416285,0,0,0,0,0.06650060415267944,0.1878824681043625,0.12138187140226364,Rayan Ait Nouri
