goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473506,0,0,0,0,0,0.05992523580789566,0.05992523580789566,Rob Holding
0,0,0,90,DC,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472531,0,0,0,0,0,0.37555086612701416,0.37555086612701416,Rob Holding
0,0,0,90,DC,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470424,0,0,0,0,0,0.11806613206863403,0.11806613206863403,Rob Holding
0,0,0,90,DC,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469634,0,0,0,0,0,0.3916875123977661,0.3916875123977661,Rob Holding
0,0,0,90,DC,Arsenal,Everton,0,1,2021-04-23,14755,2020,465036,0,0,0,0,0,0.16178062558174133,0.16178062558174133,Rob Holding
0,0,0,90,DC,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463318,0,0,0,0,0,0.8237623572349548,0.8237623572349548,Rob Holding
0,0,0,90,DC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462220,0,0,0,0,0,0.5150157809257507,0.5150157809257507,Rob Holding
0,0,0,90,DC,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459946,0,0,0,0,0,0,0,Rob Holding
0,0,0,83,DC,Arsenal,Manchester City,0,1,2021-02-21,14675,2020,451421,0,0,0,0,0,0.0494157038629055,0.0494157038629055,Rob Holding
0,0,0,1,Sub,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449798,0,0,0,0,0,0,0,Rob Holding
0,2,0.057072319090366364,90,DC,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447376,0.04470866918563843,0,1,0,0.057072319090366364,0.14081069827079773,0.0961020216345787,Rob Holding
0,0,0,90,DC,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446700,0,0,0,0,0,0.33190804719924927,0.33190804719924927,Rob Holding
0,0,0,90,DC,Arsenal,Manchester United,0,0,2021-01-30,14635,2020,445856,0,0,0,0,0,0,0,Rob Holding
0,1,0.06697502732276917,90,DC,Southampton,Arsenal,1,3,2021-01-26,14632,2020,445023,0,0,0,0,0.06697502732276917,0.9138370156288147,0.9138370156288147,Rob Holding
0,0,0,90,DC,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443036,0,0,0,0,0,0.4948630630970001,0.4948630630970001,Rob Holding
0,2,0.07413995265960693,90,DC,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441959,0.0996384397149086,0,2,0,0.07413995265960693,0.055270954966545105,0,Rob Holding
0,1,0.04632124304771423,90,DC,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439296,0.05633566901087761,1,1,0,0.04632124304771423,0.5857772827148438,0.5857772827148438,Rob Holding
0,1,0.016041822731494904,90,DC,Brighton,Arsenal,0,1,2020-12-29,14585,2020,438392,0,0,0,0,0.016041822731494904,0.23967988789081573,0.22363807260990143,Rob Holding
0,1,0.05131062865257263,90,DC,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438131,0,0,0,0,0.05131062865257263,0.06540512293577194,0.06540512293577194,Rob Holding
0,0,0,90,DC,Everton,Arsenal,2,1,2020-12-19,14569,2020,436196,0,0,0,0,0,0.23658019304275513,0.23658019304275513,Rob Holding
0,1,0.02447856217622757,90,DC,Arsenal,Southampton,1,1,2020-12-16,14555,2020,434821,0,0,0,0,0.02447856217622757,0.4054446816444397,0.4054446816444397,Rob Holding
0,3,0.16632767021656036,90,DC,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434057,0,0,0,0,0.16632767021656036,0.2503862977027893,0.12624798715114594,Rob Holding
0,0,0,90,DC,Tottenham,Arsenal,2,0,2020-12-06,14542,2020,432190,0,0,0,0,0,0.18744485080242157,0.18744485080242157,Rob Holding
0,1,0.12252183258533478,34,Sub,Arsenal,Wolverhampton Wanderers,1,2,2020-11-29,14525,2020,430670,0,0,0,0,0.12252183258533478,0.056917089968919754,0.056917089968919754,Rob Holding
0,0,0,90,DC,Leeds,Arsenal,0,0,2020-11-22,14518,2020,428836,0,0,0,0,0,0,0,Rob Holding
0,1,0.10873187333345413,90,DC,Arsenal,Aston Villa,0,3,2020-11-08,14505,2020,427377,0,0,0,0,0.10873187333345413,0.23957708477973938,0.23957708477973938,Rob Holding
0,0,0,90,DC,Manchester United,Arsenal,0,1,2020-11-01,14500,2020,425375,0,0,0,0,0,0,0,Rob Holding
0,0,0,90,DC,Liverpool,Arsenal,3,1,2020-09-28,14115,2020,418708,0,0,0,0,0,0,0,Rob Holding
0,0,0,90,DC,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416053,0,0,0,0,0,0.5281943678855896,0.5281943678855896,Rob Holding
0,0,0,90,DC,Fulham,Arsenal,0,3,2020-09-12,14086,2020,414515,0,0,0,0,0,0.17604674398899078,0.17604674398899078,Rob Holding
