,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,2,0.055717505514621735,90,DMC,Leeds,Tottenham,3,1,2021-05-08,14778,2020,468391,0,0,0,0,0.055717505514621735,0.645119309425354,0.630020022392273,Robin Koch
1,0,0,0,90,DMC,Brighton,Leeds,2,0,2021-05-01,14765,2020,466962,0,0,0,0,0,0.072817862033844,0.072817862033844,Robin Koch
2,0,0,0,12,Sub,Leeds,Manchester United,0,0,2021-04-25,14758,2020,466017,0,0,0,0,0,0,0,Robin Koch
3,0,0,0,22,Sub,Manchester City,Leeds,1,2,2021-04-10,14740,2020,460958,0,0,0,0,0,0,0,Robin Koch
4,0,0,0,1,Sub,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459655,0,0,0,0,0,0,0,Robin Koch
5,0,0,0,1,Sub,Fulham,Leeds,1,2,2021-03-19,14718,2020,457871,0,0,0,0,0,0,0,Robin Koch
6,0,0,0,8,DC,Chelsea,Leeds,3,1,2020-12-05,14538,2020,431618,0,0,0,0,0,0,0,Robin Koch
7,0,0,0,90,DC,Everton,Leeds,0,1,2020-11-28,14531,2020,429863,0,0,0,0,0,0.08121263980865479,0.08121263980865479,Robin Koch
8,0,1,0.03603041172027588,90,DC,Leeds,Arsenal,0,0,2020-11-22,14518,2020,428822,0.11662594228982925,0,3,0,0.03603041172027588,0.5179415345191956,0.41916391253471375,Robin Koch
9,0,1,0.07970656454563141,90,DC,Crystal Palace,Leeds,4,1,2020-11-07,14508,2020,426325,0.009182261303067207,0,1,0,0.07970656454563141,0.29690665006637573,0.2877243757247925,Robin Koch
10,0,1,0.04177567735314369,90,DC,Leeds,Leicester,1,4,2020-11-02,14498,2020,425720,0,0,0,0,0.04177567735314369,1.0371081829071045,1.0371081829071045,Robin Koch
11,0,1,0.07193483412265778,90,DC,Aston Villa,Leeds,0,3,2020-10-23,14486,2020,422506,0,0,0,0,0.07193483412265778,0.8837954998016357,0.8837954998016357,Robin Koch
12,0,0,0,90,DC,Leeds,Wolverhampton Wanderers,0,1,2020-10-19,14478,2020,422404,0,0,0,0,0,0.038241513073444366,0.038241513073444366,Robin Koch
13,0,0,0,90,DC,Leeds,Manchester City,1,1,2020-10-03,14469,2020,419634,0,0,0,0,0,0.5077201128005981,0.5077201128005981,Robin Koch
14,0,0,0,90,DC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417866,0,0,0,0,0,0.437570184469223,0.437570184469223,Robin Koch
15,0,2,0.1979825347661972,90,DC,Leeds,Fulham,4,3,2020-09-19,14097,2020,415781,0,0,0,0,0.1979825347661972,0.12778238952159882,0.12778238952159882,Robin Koch
16,0,1,0.03137226775288582,90,DC,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414689,0,0,0,0,0.03137226775288582,0.03137226775288582,0,Robin Koch
