,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,43,Sub,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473293,0.036282729357481,0,1,0,0,0.18758328258991241,0.1513005495071411,Ruben Loftus-Cheek
1,0,0,0,26,Sub,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472318,0,0,0,0,0,0,0,Ruben Loftus-Cheek
2,0,1,0.03458094596862793,15,Sub,Fulham,Burnley,0,2,2021-05-10,14777,2020,469819,0,0,0,0,0.03458094596862793,0.07325772196054459,0.038676779717206955,Ruben Loftus-Cheek
3,0,0,0,12,Sub,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463340,0,0,0,0,0,0,0,Ruben Loftus-Cheek
4,0,1,0.23930081725120544,66,AMC,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460827,0,0,0,0,0.23930081725120544,0.23930081725120544,0,Ruben Loftus-Cheek
5,0,1,0.017154229804873466,87,AMC,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460401,0.04120736941695213,0,1,0,0.017154229804873466,0.10473689436912537,0.04637529328465462,Ruben Loftus-Cheek
6,0,0,0,23,Sub,Fulham,Leeds,1,2,2021-03-19,14718,2020,457859,0,0,0,0,0,0,0,Ruben Loftus-Cheek
7,0,0,0,64,FW,Fulham,Manchester City,0,3,2021-03-13,14708,2020,456634,0,0,0,0,0,0,0,Ruben Loftus-Cheek
8,0,0,0,22,Sub,Liverpool,Fulham,0,1,2021-03-07,14699,2020,455159,0.048435598611831665,0,1,0,0,0.048435598611831665,0,Ruben Loftus-Cheek
9,0,2,0.06638239324092865,66,AMC,Fulham,Tottenham,0,1,2021-03-04,14757,2020,454172,0,0,0,0,0.06638239324092865,0.06638239324092865,0,Ruben Loftus-Cheek
10,0,2,0.04483232647180557,90,AMC,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452689,0.08169957250356674,0,1,0,0.04483232647180557,0.25703224539756775,0.21219991147518158,Ruben Loftus-Cheek
11,0,4,0.5832864046096802,90,AMC,Fulham,Sheffield United,1,0,2021-02-20,14679,2020,450975,0.043164920061826706,0,2,0,0.5832864046096802,0.6544818878173828,0.0625896006822586,Ruben Loftus-Cheek
12,0,1,0.11958292126655579,90,MR,Burnley,Fulham,1,1,2021-02-17,14602,2020,450182,0.10349012166261673,0,1,0,0.11958292126655579,0.24276991188526154,0.019696857780218124,Ruben Loftus-Cheek
13,0,0,0,90,MR,Everton,Fulham,0,2,2021-02-14,14669,2020,449920,0.10356854647397995,0,1,0,0,1.0745840072631836,0.971015453338623,Ruben Loftus-Cheek
14,0,5,0.45492568612098694,90,AMC,Fulham,West Ham,0,0,2021-02-06,14657,2020,447818,0.06988399475812912,0,1,0,0.45492568612098694,0.6390711069107056,0.21649448573589325,Ruben Loftus-Cheek
15,0,0,0,72,FWR,Fulham,Leicester,0,2,2021-02-03,14647,2020,446958,0.061995457857847214,0,1,0,0,0.24436047673225403,0.18236501514911652,Ruben Loftus-Cheek
16,0,3,0.1474711000919342,90,FWR,West Bromwich Albion,Fulham,2,2,2021-01-30,14640,2020,445671,0.40464332699775696,0,2,0,0.1474711000919342,0.5521144270896912,0.3582552969455719,Ruben Loftus-Cheek
