goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,61,MC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468694,0,0,0,0,0,0.05423903837800026,0.05423903837800026,Sander Berge
0,0,0,41,Sub,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467843,0.037914667278528214,0,1,0,0,0.19570676982402802,0.1577921062707901,Sander Berge
0,0,0,11,MC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435625,0,0,0,0,0,0,0,Sander Berge
0,2,0.14067977666854858,90,MC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433451,0,0,0,0,0.14067977666854858,0.14067977666854858,0,Sander Berge
0,0,0,90,MC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432030,0.010452328249812126,0,1,0,0,0.09647392481565475,0.08602159470319748,Sander Berge
0,1,0.035901233553886414,90,MC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429957,0.6590346097946167,0,2,0,0.035901233553886414,1.4776103496551514,1.441709041595459,Sander Berge
0,0,0,90,MC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428528,0.020536093041300774,0,1,0,0,0.19843317568302155,0.19843317568302155,Sander Berge
0,1,0.05147629603743553,90,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426505,0.5657672882080078,1,1,0,0.05147629603743553,0.07809585332870483,0.07809585332870483,Sander Berge
0,1,0.04887041449546814,90,MC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424227,0.24166730046272278,0,2,0,0.04887041449546814,0.2905377149581909,0,Sander Berge
1,2,0.8443896770477295,90,MC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423230,0.06326749175786972,0,2,0,0.08322085440158844,0.2538358271121979,0.1284535825252533,Sander Berge
0,1,0.020562997087836266,90,MC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421667,0.026348892599344254,0,1,0,0.020562997087836266,0.7882151007652283,0.7413032054901123,Sander Berge
0,0,0,90,MC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420304,0,0,0,0,0,0.009414717555046082,0.009414717555046082,Sander Berge
0,0,0,90,MC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417857,0.1047111377120018,0,2,0,0,0.22804619371891022,0.12333506345748901,Sander Berge
0,2,0.07453618943691254,90,MC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416909,0,0,0,0,0.07453618943691254,0.04783925414085388,0,Sander Berge
0,0,0,13,Sub,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415312,0.047630708664655685,0,1,0,0,0.047630708664655685,0.047630708664655685,Sander Berge
