goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,3,0.2653542160987854,90,FW,Aston Villa,Chelsea,2,1,2021-05-23,14806,2020,473276,0.3658348619937897,0,3,0,0.2653542160987854,1.0303449630737305,0.48001620173454285,Timo Werner
0,4,0.3822631239891052,90,FW,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472415,0.09466461092233658,0,1,0,0.3822631239891052,0.4209042489528656,0,Timo Werner
0,1,0.08610724657773972,90,FW,Manchester City,Chelsea,1,2,2021-05-08,14781,2020,468862,0.191536545753479,1,2,0,0.08610724657773972,0.3266355097293854,0.10012602061033249,Timo Werner
0,3,0.2009747177362442,90,AMC,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467102,1.0927067995071411,1,2,0,0.2009747177362442,0.6374110579490662,0,Timo Werner
1,6,1.3336111307144165,88,FW,West Ham,Chelsea,0,1,2021-04-24,14763,2020,465587,0.1528044044971466,0,2,1,1.3336111307144165,1.4864155054092407,0,Timo Werner
0,0,0,21,Sub,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464166,0,0,0,0,0,0.06123775988817215,0.06123775988817215,Timo Werner
0,1,0.021281253546476364,90,FW,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459166,0.8978095650672913,1,2,0,0.021281253546476364,0.49323195219039917,0.04206940531730652,Timo Werner
0,1,0.09941495954990387,20,Sub,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456113,0,0,0,0,0.09941495954990387,0.09941495954990387,0,Timo Werner
0,3,0.6801018118858337,90,AMC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455553,0.1285826712846756,0,2,0,0.6801018118858337,1.2688963413238525,0.5040339827537537,Timo Werner
0,3,0.5802167654037476,90,FW,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454273,0.01123648602515459,0,1,0,0.5802167654037476,0.8745726943016052,0.28311946988105774,Timo Werner
0,1,0.03617040812969208,10,Sub,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453217,0,0,0,0,0.03617040812969208,0.03617040812969208,0,Timo Werner
0,1,0.05987720191478729,90,AMC,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450512,0,0,0,0,0.05987720191478729,0.14955711364746094,0.08967991173267365,Timo Werner
