goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,3,0.22356738150119781,66,AMC,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436291,0.09636078029870987,0,1,0,0.22356738150119781,0.19340501725673676,0.008645502850413322,Tom Cairney
0,0,0,6,Sub,Manchester City,Fulham,2,0,2020-12-05,14540,2020,431298,0,0,0,0,0,0,0,Tom Cairney
0,1,0.02462860569357872,60,AMC,Fulham,Everton,2,3,2020-11-22,14517,2020,428360,0.38577428460121155,1,1,0,0.02462860569357872,0.5199292302131653,0.49530062079429626,Tom Cairney
0,1,0.04560814052820206,90,AMC,West Ham,Fulham,1,0,2020-11-07,14514,2020,426594,0.15653884410858154,0,3,0,0.04560814052820206,0.18488912284374237,0.17204774916172028,Tom Cairney
0,2,0.11553402245044708,90,AMC,Fulham,West Bromwich Albion,2,0,2020-11-02,14497,2020,425636,0.06820666044950485,0,1,0,0.11553402245044708,0.8721283078193665,0.6883875727653503,Tom Cairney
1,3,0.1378980129957199,90,MC,Fulham,Crystal Palace,1,2,2020-10-24,14489,2020,422856,0.16019338369369507,0,5,1,0.1378980129957199,0.29494091868400574,0.21990154683589935,Tom Cairney
0,1,0.02526000887155533,90,DMC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421681,0.049148719757795334,0,3,0,0.02526000887155533,0.30099281668663025,0.2757328152656555,Tom Cairney
0,0,0,90,DMC,Wolverhampton Wanderers,Fulham,1,0,2020-10-04,14474,2020,420332,0,0,0,0,0,0.6979374289512634,0.6979374289512634,Tom Cairney
0,1,0.011468413285911083,90,MC,Fulham,Aston Villa,0,3,2020-09-28,14114,2020,418639,0.07262977212667465,0,3,0,0.011468413285911083,0.30081185698509216,0.2714262902736664,Tom Cairney
0,0,0,90,DMC,Fulham,Arsenal,0,3,2020-09-12,14086,2020,414506,0,0,0,0,0,0.020527511835098267,0.020527511835098267,Tom Cairney
