goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,20,DC,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473338,0,0,0,0,0,0.018925316631793976,0.018925316631793976,Wesley Fofana
0,0,0,90,DC,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472421,0,0,0,0,0,0.36169883608818054,0.36169883608818054,Wesley Fofana
0,0,0,90,DC,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469911,0,0,0,0,0,0.018384942784905434,0.018384942784905434,Wesley Fofana
0,2,0.31892943382263184,90,DC,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468267,0.05186695232987404,0,1,0,0.31892943382263184,0.3323576748371124,0.2804907262325287,Wesley Fofana
0,0,0,49,DC,Southampton,Leicester,1,1,2021-04-30,14772,2020,466693,0,0,0,0,0,0.08635792136192322,0.08635792136192322,Wesley Fofana
0,0,0,90,DC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466528,0,0,0,0,0,0.5848240852355957,0.5848240852355957,Wesley Fofana
0,0,0,64,DC,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464854,0,0,0,0,0,0.9073562622070312,0.9073562622070312,Wesley Fofana
0,2,0.10991986840963364,90,DC,West Ham,Leicester,3,2,2021-04-11,14744,2020,461886,0,0,0,0,0.10991986840963364,0.09692841023206711,0.09692841023206711,Wesley Fofana
0,0,0,90,DC,Leicester,Manchester City,0,2,2021-04-03,14730,2020,459855,0,0,0,0,0,0,0,Wesley Fofana
0,0,0,90,DC,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456862,0.01675090752542019,0,1,0,0,2.067344903945923,2.0505940914154053,Wesley Fofana
0,0,0,90,DC,Brighton,Leicester,1,2,2021-03-06,14696,2020,454915,0.05108366534113884,0,1,0,0,0.07188212126493454,0.07188212126493454,Wesley Fofana
0,0,0,23,Sub,Burnley,Leicester,1,1,2021-03-03,14716,2020,453779,0,0,0,0,0,0.059578292071819305,0.059578292071819305,Wesley Fofana
0,1,0.13055987656116486,83,DC,Leicester,Leeds,1,3,2021-01-31,14643,2020,446113,0,0,0,0,0.13055987656116486,0.4397597312927246,0.4397597312927246,Wesley Fofana
0,0,0,90,DC,Everton,Leicester,1,1,2021-01-27,14627,2020,445189,0.05579054728150368,0,1,0,0,0.13205289840698242,0.13205289840698242,Wesley Fofana
0,0,0,90,DC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443273,0,0,0,0,0,0.022552398964762688,0.022552398964762688,Wesley Fofana
0,0,0,55,DC,Leicester,Southampton,2,0,2021-01-16,14619,2020,442478,0,0,0,0,0,0.0342046394944191,0.0342046394944191,Wesley Fofana
0,1,0.05211014673113823,90,DC,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439627,0,0,0,0,0.05211014673113823,0.07111893594264984,0.07111893594264984,Wesley Fofana
0,0,0,90,DC,Leicester,Manchester United,2,2,2020-12-26,14579,2020,438050,0,0,0,0,0,0,0,Wesley Fofana
0,2,0.13955360651016235,90,DC,Tottenham,Leicester,0,2,2020-12-20,14573,2020,436740,0.08098255097866058,0,1,0,0.13955360651016235,0,0,Wesley Fofana
0,1,0.07529616355895996,90,DC,Leicester,Everton,0,2,2020-12-16,14559,2020,434670,0,0,0,0,0.07529616355895996,0.23698730766773224,0.23698730766773224,Wesley Fofana
0,0,0,90,DC,Leicester,Brighton,3,0,2020-12-13,14553,2020,434083,0,0,0,0,0,0.361037939786911,0.361037939786911,Wesley Fofana
0,0,0,90,DC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432040,0,0,0,0,0,0.27451348304748535,0.27451348304748535,Wesley Fofana
0,1,0.49909093976020813,90,DC,Leicester,Fulham,1,2,2020-11-30,14532,2020,430808,0,0,0,0,0.49909093976020813,0.12286490201950073,0.12286490201950073,Wesley Fofana
0,1,0.05086936801671982,90,DC,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428955,0,0,0,0,0.05086936801671982,0.530153751373291,0.530153751373291,Wesley Fofana
0,0,0,90,DC,Leicester,Wolverhampton Wanderers,1,0,2020-11-08,14510,2020,427052,0.02638091892004013,0,1,0,0,0.02638091892004013,0,Wesley Fofana
0,0,0,90,DC,Leeds,Leicester,1,4,2020-11-02,14498,2020,425734,0,0,0,0,0,0,0,Wesley Fofana
0,0,0,90,DC,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423824,0,0,0,0,0,0.2893429696559906,0.2893429696559906,Wesley Fofana
0,0,0,90,DC,Leicester,Aston Villa,0,1,2020-10-18,14479,2020,422225,0,0,0,0,0,0.1478603035211563,0.1478603035211563,Wesley Fofana
0,0,0,42,Sub,Saint-Etienne,Rennes,0,3,2020-09-26,14215,2020,417441,0.01770050823688507,0,1,0,0,0.01770050823688507,0,Wesley Fofana
0,0,0,90,DC,Marseille,Saint-Etienne,0,2,2020-09-17,14203,2020,415464,0,0,0,0,0,0.36812716722488403,0.36812716722488403,Wesley Fofana
0,0,0,90,DC,Saint-Etienne,Strasbourg,2,0,2020-09-12,14193,2020,414794,0,0,0,0,0,0,0,Wesley Fofana
0,1,0.0179172120988369,90,DC,Saint-Etienne,Lorient,2,0,2020-08-30,13995,2020,414204,0,0,0,0,0.0179172120988369,0.23351378738880157,0.23351378738880157,Wesley Fofana
