goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,2,0.035647109150886536,90,DC,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472489,0,0,0,0,0.035647109150886536,0.17367756366729736,0.17367756366729736,Yerry Mina
0,1,0.11938131600618362,64,DC,West Ham,Everton,0,1,2021-05-09,14783,2020,469525,0,0,0,0,0.11938131600618362,0,0,Yerry Mina
0,0,0,1,Sub,Arsenal,Everton,0,1,2021-04-23,14755,2020,465058,0,0,0,0,0,0,0,Yerry Mina
0,0,0,59,DC,Brighton,Everton,0,0,2021-04-12,14735,2020,462486,0,0,0,0,0,0,0,Yerry Mina
0,1,0.09131491929292679,90,DC,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460612,0,0,0,0,0.09131491929292679,0.5785222053527832,0.5785222053527832,Yerry Mina
0,0,0,17,DC,Everton,Manchester City,1,3,2021-02-17,14593,2020,450254,0,0,0,0,0,0,0,Yerry Mina
0,0,0,90,DC,Leeds,Everton,1,2,2021-02-03,14648,2020,447020,0,0,0,0,0,0,0,Yerry Mina
0,3,0.5553008913993835,90,DC,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445382,0,0,0,0,0.5553008913993835,0.15107722580432892,0.06310915946960449,Yerry Mina
0,0,0,90,DC,Everton,Leicester,1,1,2021-01-27,14627,2020,445175,0,0,0,0,0,0,0,Yerry Mina
0,1,0.012730343267321587,90,DC,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441890,0,0,0,0,0.012730343267321587,0.29151269793510437,0.29151269793510437,Yerry Mina
0,1,0.05525772646069527,90,DC,Everton,West Ham,0,1,2021-01-01,14595,2020,438843,0.01959897391498089,0,1,0,0.05525772646069527,0.053275059908628464,0.053275059908628464,Yerry Mina
0,0,0,90,DC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438172,0,0,0,0,0,0.01913999207317829,0.01913999207317829,Yerry Mina
1,1,0.07992582023143768,90,DC,Everton,Arsenal,2,1,2020-12-19,14569,2020,436182,0,0,0,1,0.07992582023143768,0.09032288938760757,0.09032288938760757,Yerry Mina
0,2,0.06386223435401917,90,DC,Leicester,Everton,0,2,2020-12-16,14559,2020,434683,0,0,0,0,0.06386223435401917,0.13247281312942505,0.13247281312942505,Yerry Mina
0,2,0.16092218458652496,90,DC,Everton,Chelsea,1,0,2020-12-12,14546,2020,433289,0,0,0,0,0.16092218458652496,0.07210493832826614,0.07210493832826614,Yerry Mina
0,0,0,90,DC,Burnley,Everton,1,1,2020-12-05,14537,2020,431057,0,0,0,0,0,0.7386111617088318,0.7386111617088318,Yerry Mina
0,0,0,90,DC,Fulham,Everton,2,3,2020-11-22,14517,2020,428367,0,0,0,0,0,0.13871316611766815,0.13871316611766815,Yerry Mina
0,0,0,90,DC,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425198,0,0,0,0,0,0.09103909879922867,0.09103909879922867,Yerry Mina
0,1,0.01103514339774847,90,DC,Southampton,Everton,2,0,2020-10-25,14492,2020,423557,0,0,0,0,0.01103514339774847,0.18853111565113068,0.18853111565113068,Yerry Mina
0,0,0,90,DC,Everton,Liverpool,2,2,2020-10-17,14477,2020,420852,0,0,0,0,0,0.4554906487464905,0.4554906487464905,Yerry Mina
1,1,0.5516024231910706,90,DC,Everton,Brighton,4,2,2020-10-03,14468,2020,419518,0,0,0,1,0.5516024231910706,0.07615125924348831,0.07615125924348831,Yerry Mina
0,0,0,90,DC,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417386,0,0,0,0,0,0.628084123134613,0.628084123134613,Yerry Mina
0,0,0,90,DC,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415571,0,0,0,0,0,0.1832984834909439,0.1832984834909439,Yerry Mina
0,1,0.012454084120690823,90,DC,Tottenham,Everton,0,1,2020-09-13,14093,2020,415135,0,0,0,0,0.012454084120690823,0.25111639499664307,0.23866230249404907,Yerry Mina
