name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW
Aaron Connolly,FWD,Brighton,72,2,5,0,False,2021-08-14T14:00:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,15789,0,0,1
Aaron Cresswell,DEF,West Ham,411,9,14,7,False,2021-08-15T13:00:00Z,2,4,1,90,1,0,0,2,0,0,0,0,0,0,0,30,55.8,17.5,18.0,9.1,55,0,1213434,0,0,1
Aaron Ramsey,MID,Aston Villa,496,8,18,0,False,2021-08-14T14:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8453,0,0,1
Aaron Wan-Bissaka,DEF,Man Utd,288,6,10,2,True,2021-08-14T11:30:00Z,5,1,1,90,0,0,0,1,0,0,0,0,0,0,0,8,4.8,2.3,2.0,0.9,55,0,704348,0,0,1
Abdoulaye Doucouré,MID,Everton,173,4,16,8,True,2021-08-14T14:00:00Z,3,1,1,90,1,0,0,1,0,0,0,1,0,0,2,31,41.8,4.6,37.0,8.3,55,0,19357,0,0,1
Adama Traoré,MID,Wolves,435,5,9,2,False,2021-08-14T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,10,20.6,13.4,87.0,12.1,60,0,71206,0,0,1
Adam Armstrong,FWD,Southampton,525,4,8,6,False,2021-08-14T14:00:00Z,3,1,1,90,1,0,0,3,0,0,0,0,0,0,0,24,33.2,1.0,40.0,7.4,60,0,65676,0,0,1
Adam Forshaw,MID,Leeds,552,6,13,0,False,2021-08-14T11:30:00Z,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,1
Adam Idah,FWD,Norwich,329,7,11,1,True,2021-08-14T16:30:00Z,0,3,1,13,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.5,33.0,3.7,50,0,31923,0,0,1
Adam Lallana,MID,Brighton,53,2,5,1,False,2021-08-14T14:00:00Z,1,2,1,45,0,0,0,0,0,0,0,0,0,0,0,7,1.6,3.0,2.0,0.7,55,0,17460,0,0,1
Adam Masina,DEF,Watford,390,8,2,1,True,2021-08-14T14:00:00Z,3,2,1,90,0,0,0,2,0,0,0,0,0,0,0,8,7.2,0.3,0.0,0.8,45,0,7697,0,0,1
Adam Webster,DEF,Brighton,61,2,5,2,False,2021-08-14T14:00:00Z,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,2.8,0.0,2.6,45,0,38441,0,0,1
Adedapo Awokoya-Mebude,FWD,Watford,469,8,2,0,True,2021-08-14T14:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,20264,0,0,1
Adrián San Miguel del Castillo,GK,Liverpool,223,7,15,0,False,2021-08-14T16:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17548,0,0,1
Ainsley Maitland-Niles,MID,Arsenal,13,1,3,0,False,2021-08-13T19:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,6271,0,0,1
Albert Sambi Lokonga,MID,Arsenal,478,1,3,2,False,2021-08-13T19:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,13,19.4,34.3,8.0,6.2,50,0,15087,0,0,1
Alex Nicolao Telles,DEF,Man Utd,279,6,10,0,True,2021-08-14T11:30:00Z,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1436,0,0,1
Alexandre Lacazette,FWD,Arsenal,6,1,3,0,False,2021-08-13T19:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,192345,0,0,1
Alexis Mac Allister,MID,Brighton,74,2,5,9,False,2021-08-14T14:00:00Z,1,2,1,14,1,0,0,0,0,0,0,0,0,0,3,28,38.2,0.4,17.0,5.6,55,0,3931,0,0,1
Alex Iwobi,MID,Everton,174,4,16,4,True,2021-08-14T14:00:00Z,3,1,1,20,0,1,0,0,0,0,0,0,0,0,0,7,20.6,11.0,23.0,5.5,60,0,12093,0,0,1
Alex McCarthy,GK,Southampton,334,4,8,2,False,2021-08-14T14:00:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,3,0,16,22.0,0.0,0.0,2.2,45,0,105810,0,0,1
Alex Oxlade-Chamberlain,MID,Liverpool,227,7,15,3,False,2021-08-14T16:30:00Z,0,3,1,60,0,0,1,0,0,0,0,0,0,0,0,3,0.0,5.3,4.0,0.7,60,0,9191,0,0,1
