element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
171,4,16,2,True,2021-08-14T14:00:00Z,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,6,11.4,2.0,7.0,2.0,45,0,78248,0,0
171,14,10,2,False,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,30.8,22.3,0.0,5.3,45,12209,114757,25387,13178
171,22,4,8,False,2021-08-28T14:00:00Z,0,2,3,90,0,1,1,0,0,0,0,0,0,0,2,32,40.2,36.9,0.0,7.7,45,4364,124951,22181,17817
171,35,5,2,True,2021-09-13T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,14,11.8,3.1,0.0,1.5,46,320185,505355,455346,135161
171,41,2,2,False,2021-09-18T16:30:00Z,3,0,5,72,0,0,0,2,0,0,0,0,0,0,0,5,11.6,1.2,0.0,1.3,46,38966,533577,96491,57525
171,55,15,6,True,2021-09-25T14:00:00Z,2,0,6,90,0,1,1,0,0,0,0,0,0,0,0,18,5.8,1.5,4.0,1.1,46,16052,556727,66019,49967
171,67,13,2,False,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,10,11.0,0.9,0.0,1.2,46,14826,575262,58332,43506
171,74,19,2,True,2021-10-17T13:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,18,20.2,5.3,0.0,2.6,46,11928,593475,59941,48013
171,86,18,1,True,2021-10-23T14:00:00Z,2,5,9,90,0,0,0,5,0,0,0,1,0,0,0,13,9.8,12.3,26.0,4.8,46,-747,595425,40554,41301
171,100,20,2,False,2021-11-01T20:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,9,9.6,3.2,0.0,1.3,46,-42624,553275,22500,65124
