element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
503,4,16,1,True,2021-08-14T14:00:00Z,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.1,45,0,2025,0,0
503,14,10,0,False,2021-08-21T14:00:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,75,3233,431,356
503,22,4,0,False,2021-08-28T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-223,3349,243,466
503,35,5,0,True,2021-09-13T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,151,4138,840,689
503,41,2,1,False,2021-09-18T16:30:00Z,3,0,5,18,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.1,45,216,4763,823,607
503,55,15,0,True,2021-09-25T14:00:00Z,2,0,6,14,0,0,0,0,0,0,0,1,0,0,0,1,0.0,2.0,0.0,0.2,45,130,5254,711,581
503,67,13,2,False,2021-10-02T11:30:00Z,1,1,7,71,0,0,0,1,0,0,0,0,0,0,0,10,14.2,26.7,0.0,4.1,45,-153,5271,364,517
503,74,19,1,True,2021-10-17T13:00:00Z,0,1,8,11,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,45,400,5971,894,494
503,86,18,1,True,2021-10-23T14:00:00Z,2,5,9,59,0,0,0,1,0,0,0,0,0,0,0,6,11.6,23.4,38.0,7.3,45,46,6159,485,439
503,100,20,1,False,2021-11-01T20:00:00Z,2,1,10,12,0,0,0,0,0,0,0,0,0,0,0,6,7.4,4.8,35.0,4.7,45,134,6491,675,541
