element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
518,4,8,0,False,2021-08-14T14:00:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,50205,0,0
518,19,13,0,True,2021-08-22T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4395,52467,6021,10416
518,25,14,1,False,2021-08-28T14:00:00Z,2,2,3,19,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.6,0.0,0.1,50,-6525,47482,4154,10679
518,39,19,1,True,2021-09-11T14:00:00Z,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,37.0,3.6,50,-4633,45686,8820,13453
518,45,12,1,False,2021-09-18T14:00:00Z,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,10.0,1.1,50,3690,51075,12092,8402
518,59,20,1,True,2021-09-26T13:00:00Z,0,1,6,26,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.8,0.0,0.3,50,-262,51677,6270,6532
518,63,6,0,False,2021-10-02T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7730,43630,1387,9117
518,79,10,8,True,2021-10-16T14:00:00Z,1,0,8,80,1,0,1,0,0,0,0,0,0,0,2,27,35.2,13.4,70.0,11.9,50,-426,44407,3938,4364
518,89,5,8,True,2021-10-23T14:00:00Z,2,2,9,78,1,0,0,2,0,0,0,0,0,0,2,28,33.6,1.2,41.0,7.6,50,50958,101480,57469,6511
518,99,18,0,False,2021-10-30T14:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,5171,103445,30099,24928
