element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
363,10,12,3,True,2021-08-15T15:30:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,6,12.4,2.2,0.0,1.5,65,0,84222,0,0
363,17,20,9,False,2021-08-22T13:00:00Z,0,1,2,90,1,0,1,0,0,0,0,0,0,0,1,27,56.6,3.5,25.0,8.5,65,5723,108881,18886,13163
363,27,18,2,True,2021-08-29T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,1,0,0,0,5,8.2,3.3,21.0,3.3,65,127144,266000,156547,29403
363,34,7,2,False,2021-09-11T11:30:00Z,3,0,4,90,0,0,0,3,0,0,0,0,0,0,0,9,11.8,1.7,0.0,1.4,65,17461,297733,103736,86275
363,48,6,2,True,2021-09-19T15:30:00Z,0,3,5,90,0,0,0,3,0,0,0,0,0,0,0,11,19.2,3.8,4.0,2.7,65,-58572,240787,20660,79232
363,51,1,1,False,2021-09-26T15:30:00Z,3,1,6,45,0,0,0,3,0,0,0,0,0,0,0,1,1.4,1.5,2.0,0.5,65,-37961,208203,13195,51156
363,68,2,0,True,2021-10-03T13:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-34985,175681,5221,40206
363,77,14,0,False,2021-10-17T15:30:00Z,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-27219,150445,3394,30613
363,90,19,0,False,2021-10-24T13:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-19793,131615,1558,21351
363,98,13,1,True,2021-10-30T16:30:00Z,0,3,10,17,0,0,0,1,0,0,0,0,0,0,0,3,0.8,2.1,2.0,0.5,64,-17524,115159,1077,18601
