element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
135,3,7,0,True,2021-08-14T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,896206,0,0
135,18,1,0,False,2021-08-22T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-195660,742264,9406,205066
135,23,11,0,False,2021-08-28T16:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-236742,516090,4576,241318
135,33,2,0,True,2021-09-11T16:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-123509,403399,9393,132902
135,48,17,0,False,2021-09-19T15:30:00Z,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-65084,343766,2235,67319
135,53,12,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-42324,304618,1794,44118
135,63,16,8,True,2021-10-02T14:00:00Z,3,1,7,90,1,0,0,1,0,0,0,0,0,0,0,17,40.0,41.6,75.0,15.7,56,-14250,292935,11270,25520
135,73,3,15,False,2021-10-16T16:30:00Z,0,1,8,90,1,0,1,0,0,0,0,0,0,0,3,38,53.4,4.8,19.0,7.7,56,56480,355311,78678,22198
135,84,15,12,True,2021-10-23T11:30:00Z,7,0,9,90,1,0,1,0,0,0,0,0,0,0,0,30,37.0,15.5,20.0,7.3,57,331462,710915,344190,12728
135,96,14,8,False,2021-10-30T14:00:00Z,0,3,10,90,0,0,1,0,0,0,0,0,0,0,2,29,8.6,32.2,6.0,4.7,59,712440,1458239,727058,14618
