element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
96,1,1,3,True,2021-08-13T19:00:00Z,2,0,1,85,0,0,1,0,0,0,0,0,0,0,0,4,2.4,13.3,22.0,3.8,55,0,73833,0,0
96,13,7,3,False,2021-08-21T14:00:00Z,0,0,2,76,0,0,1,0,0,0,0,0,0,0,0,5,3.2,40.3,8.0,5.2,55,18310,100186,28817,10507
96,21,2,2,False,2021-08-28T14:00:00Z,1,1,3,79,0,0,0,1,0,0,0,0,0,0,0,3,4.8,0.8,21.0,2.7,55,-8688,91818,11690,20378
96,32,4,1,True,2021-09-11T14:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,-3,0.6,23.4,17.0,4.1,55,-19206,74008,11331,30537
96,50,20,8,False,2021-09-18T11:30:00Z,0,2,5,90,1,0,1,0,0,0,0,0,0,0,0,21,36.0,16.1,38.0,9.0,55,-16263,58393,2676,18939
96,52,11,2,True,2021-09-25T16:30:00Z,3,3,6,90,0,0,0,3,0,0,0,0,0,0,0,6,7.2,22.8,30.0,6.0,55,3423,63867,11994,8571
96,69,19,8,False,2021-10-03T13:00:00Z,1,2,7,81,1,0,0,1,0,0,0,0,0,0,1,23,38.4,6.4,48.0,9.3,55,17390,82390,27645,10255
96,73,6,2,True,2021-10-16T16:30:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,4,6.0,8.3,14.0,2.8,55,125917,213236,150224,24307
96,82,9,1,True,2021-10-24T13:00:00Z,1,2,9,56,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.3,19.0,2.0,56,143734,361586,155397,11663
96,92,5,0,False,2021-10-30T14:00:00Z,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-7424,349210,40639,48063
