element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
77,1,1,8,True,2021-08-13T19:00:00Z,2,0,1,90,1,0,1,0,0,0,0,0,0,0,0,25,38.4,1.8,40.0,8.0,50,0,13090,0,0
77,13,7,2,False,2021-08-21T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,1,0,0,0,6,7.6,3.9,0.0,1.2,50,48513,91042,59866,11353
77,21,2,1,False,2021-08-28T14:00:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,0,0,2,7.6,1.4,0.0,0.9,50,10633,103755,31333,20700
77,32,4,2,True,2021-09-11T14:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,14.0,1.1,2.0,1.7,50,-2245,104389,26520,28765
77,50,20,3,False,2021-09-18T11:30:00Z,0,2,5,90,0,0,1,0,0,0,0,0,0,0,0,17,17.8,11.8,0.0,3.0,50,-8962,95895,8091,17053
77,52,11,2,True,2021-09-25T16:30:00Z,3,3,6,77,0,0,0,3,0,0,0,0,0,0,0,9,6.2,11.1,2.0,1.9,50,-4835,92659,7989,12824
77,69,19,1,False,2021-10-03T13:00:00Z,1,2,7,90,0,0,0,1,0,0,0,1,0,0,0,5,12.4,1.3,2.0,1.6,50,-6502,86437,2529,9031
77,73,6,2,True,2021-10-16T16:30:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,14,10.8,12.8,96.0,12.0,50,-5604,81366,2562,8166
77,82,9,3,True,2021-10-24T13:00:00Z,1,2,9,90,0,0,0,2,0,0,0,0,0,0,1,22,24.2,13.8,33.0,7.1,50,-1840,79945,3891,5731
77,92,5,5,False,2021-10-30T14:00:00Z,3,1,10,90,0,1,0,3,0,0,0,0,0,0,0,22,33.4,15.1,10.0,5.9,50,-955,79662,6435,7390
