element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
528,7,11,0,True,2021-08-14T16:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,4851,0,0
528,16,12,0,False,2021-08-21T14:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-398,5251,348,746
528,26,9,0,True,2021-08-28T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,191,5802,1387,1196
528,31,1,2,False,2021-09-11T14:00:00Z,1,0,4,68,0,0,0,1,0,0,0,0,0,0,0,13,9.2,21.6,6.0,3.7,50,-470,5502,1100,1570
528,47,18,1,True,2021-09-18T14:00:00Z,1,3,5,20,0,0,0,1,0,0,0,0,0,0,0,3,2.4,10.7,2.0,1.5,50,341,6109,1029,688
528,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,21,0,0,0,1,0,0,0,0,0,0,0,3,3.4,14.8,6.0,2.4,50,-459,5743,282,741
528,62,5,0,False,2021-10-02T14:00:00Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-470,5376,161,631
528,78,4,0,True,2021-10-16T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-429,5044,97,526
528,84,6,0,False,2021-10-23T11:30:00Z,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-309,4765,95,404
528,97,10,1,True,2021-10-31T14:00:00Z,1,2,10,21,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.1,0.0,0.1,49,-405,4433,41,446
