element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
494,10,12,1,True,2021-08-15T15:30:00Z,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,50,0,22135,0,0
494,17,20,0,False,2021-08-22T13:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,1205,31517,4428,3223
494,27,18,0,True,2021-08-29T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-5264,28093,2685,7949
494,34,7,0,False,2021-09-11T11:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-6052,23596,2906,8958
494,48,6,1,True,2021-09-19T15:30:00Z,0,3,5,82,0,0,0,2,0,0,0,0,0,0,0,14,20.8,0.3,4.0,2.5,49,-2568,21582,520,3088
494,51,1,0,False,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,212,22794,1852,1640
494,68,2,1,True,2021-10-03T13:00:00Z,2,1,7,90,0,0,0,1,0,0,0,1,0,0,0,15,27.0,0.3,0.0,2.7,49,-356,23092,1175,1531
494,77,14,1,False,2021-10-17T15:30:00Z,2,3,8,90,0,0,0,2,0,0,0,0,0,0,0,13,22.2,3.3,8.0,3.4,49,-371,23323,1235,1606
494,90,19,1,False,2021-10-24T13:00:00Z,1,0,9,90,0,0,0,1,0,0,0,1,0,0,0,15,19.0,1.7,0.0,2.1,49,125,23855,1113,988
494,98,13,0,True,2021-10-30T16:30:00Z,0,3,10,90,0,0,0,3,0,0,0,1,0,0,0,10,16.0,0.4,2.0,1.8,49,704,25543,2003,1299
