element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
438,5,9,0,False,2021-08-14T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,710,0,0
438,17,17,0,True,2021-08-22T13:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-150,673,61,211
438,30,13,1,True,2021-08-29T15:30:00Z,0,1,3,20,0,0,0,1,0,0,0,0,0,0,0,4,1.2,0.1,0.0,0.1,55,535,1575,968,433
438,40,18,1,False,2021-09-11T14:00:00Z,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0,7,3.8,11.0,2.0,1.7,55,2112,4727,4742,2630
438,50,3,1,True,2021-09-18T11:30:00Z,0,2,5,18,0,0,0,0,0,0,0,0,0,0,0,5,2.4,2.3,2.0,0.7,55,925,6138,2495,1570
438,59,16,3,False,2021-09-26T13:00:00Z,0,1,6,70,0,0,1,0,0,0,0,0,0,0,0,10,5.8,13.3,2.0,2.1,55,197,6787,1749,1552
438,70,14,0,True,2021-10-02T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,1076,8292,2348,1272
438,72,2,4,False,2021-10-16T14:00:00Z,2,3,8,16,0,1,0,0,0,0,0,0,0,0,0,17,18.6,11.8,4.0,3.4,55,-1248,7156,712,1960
438,87,10,1,False,2021-10-23T14:00:00Z,1,1,9,14,0,0,0,1,0,0,0,0,0,0,0,3,5.2,0.5,25.0,3.1,55,481,7965,1385,904
438,100,8,1,True,2021-11-01T20:00:00Z,2,1,10,11,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.3,0.0,0.1,55,-834,7286,586,1420
